league_ss,season_ss,id_ss,name_ss,slug_ss,short_name_ss,full_name,code_ss,manager,venue_ss,country,primary_colour,secondary_colour,text_colour,foundation,club_name,league_sw,season_sw,id_sw,code_sw,slug_sw,name_sw,short_name_sw,venue_sw
73,2526,2829,Real Madrid,real-madrid,Real Madrid,Real Madrid,RMA,Álvaro Arbeloa,Bernabéu,Spain,#ffffff,#004996,#004996,-2140387200,Real Madrid,73,2526,3kq9cckrnlogidldtdie2fkbl,RMA,rma,Real Madrid CF,Real Madrid,Estadio Bernabéu
73,2526,2851,Real Oviedo,real-oviedo,Real Oviedo,Real Oviedo,OVI,Guillermo Almada,Carlos Tartiere,Spain,#3300ff,#ffffff,#ffffff,-1381276800,Real Oviedo,73,2526,clo928vcczjp0mczavs5o7p5k,OVI,ovi,Real Oviedo,Oviedo,Estadio Municipal Carlos Tartiere
73,2526,2885,Deportivo Alavés,deportivo-alaves,Alavés,Deportivo Alavés,ALA,Eduardo Coudet,Estadio de Mendizorroza,Spain,#0232a0,#ffffff,#ffffff,-1544400000,Alavés,73,2526,4dtdjgnpdq9uw4sdutti0vaar,ALA,ala,Deportivo Alavés,Alavés,Estadio de Mendizorroza
73,2526,2821,Celta Vigo,celta-vigo,Celta,Celta Vigo,CEL,Claudio Giráldez,Estadio Abanca Balaídos,Spain,#6cace4,#ffffff,#ffffff,-1463011200,Celta de Vigo,73,2526,6f27yvbqcngegwsg2ozxxdj4,CEL,cel,Real Club Celta de Vigo,Celta,Estadio Abanca-Balaídos
73,2526,2816,Real Betis,real-betis,Real Betis,Real Betis,BET,Manuel Pellegrini,Benito Villamarin,Spain,#ffffff,#006633,#006633,-1966204800,Real Betis,73,2526,ah8dala7suqqkj04n2l8xz4zd,BET,bet,Real Betis Balompié,Betis,Estadio La Cartuja de Sevilla
73,2526,2814,Espanyol,espanyol,Espanyol,Espanyol,ESP,Manolo Gonzalez,RCDE Stadium,Spain,#ffffff,#1369d2,#1369d2,-2183760000,Espanyol,73,2526,c8llrezkm3b3op4afrou6b487,ESP,esp,Reial Club Deportiu Espanyol de Barcelona,Espanyol,RCDE Stadium
73,2526,2859,Getafe,getafe,Getafe,Getafe,GET,José Bordalás,Coliseum Alfonso Pérez,Spain,#00369e,#ffffff,#ffffff,426470400,Getafe,73,2526,1n1j0wsl763lq7ee1k0c11c02,GET,get,Getafe CF,Getafe,Estadio Coliseum
73,2526,2828,Valencia,valencia,Valencia,Valencia,VAL,Carlos Corberán,Mestalla,Spain,#ffffff,#000000,#000000,-1602892800,Valencia,73,2526,ba5e91hjacvma2sjvixn00pjo,VAL,val,Valencia CF,Valencia,Estadio de Mestalla
73,2526,2836,Atlético Madrid,atletico-madrid,Atl. Madrid,Atlético Madrid,ATM,Diego Simeone,Riyadh Air Metropolitano,Spain,#ffffff,#c40000,#c40000,-2104444800,Atlético de Madrid,73,2526,4ku8o6uf87yd8iecdalipo6wd,ATM,atm,Club Atlético de Madrid,Atlético,Riyadh Air Metropolitano
73,2526,24264,Girona FC,girona-fc,Girona,Girona FC,GIR,Michel,Estadi Montilivi,Spain,#ffffff,#ff0000,#ff0000,-1244592000,Girona,73,2526,7h7eg7q7dbwvzww78h9d5eh0h,GIR,gir,Girona FC,Girona,Estadi Municipal de Montilivi
