league,season,id,name,slug,short_name,team,pref_formation,country,date_birth,matches,wins,draws,losses,goals_for,goals_against,points,match_name,first_name,last_name,nationality,type,def_team
73,2526,2kiaodquh4o2i5z2yotrbxivp,Eduardo Germán Coudet,eduardo-coudet,Eduardo Coudet,Alavés,4-1-3-2,Argentina,148176000.0,460.0,207.0,123.0,130.0,680.0,514.0,744.0,E. Coudet,Eduardo Germán,Coudet,Argentina,coach,Alavés
73,2526,dbdq6fyl44p43la2s5q9suehh,Ernesto Valverde Tejedor,ernesto-valverde,Ernesto Valverde,Athletic Club,4-2-3-1,Spain,-186019200.0,927.0,485.0,198.0,244.0,1580.0,1007.0,1653.0,Ernesto Valverde,Ernesto,Valverde Tejedor,Spain,coach,Athletic Club
73,2526,b50ny8f8cz813cd7t9kknif9x,Diego Pablo Simeone González,diego-simeone,Diego Simeone,Atlético de Madrid,4-4-2,Argentina,10108800.0,985.0,556.0,220.0,209.0,1632.0,894.0,1888.0,D. Simeone,Diego Pablo,Simeone González,Argentina,coach,Atlético de Madrid
73,2526,ebm098y98ctdw0zs1l1kvnt62,Hans-Dieter Flick,hans-dieter-flick,Hansi Flick,Barcelona,4-2-3-1,Germany,-153100800.0,405.0,244.0,70.0,91.0,941.0,500.0,802.0,H. Flick,Hans-Dieter,Flick,Germany,coach,Barcelona
73,2526,e2ntrys15j912zpqy0xb4lg45,Claudio Giráldez González,,Claudio Giráldez,Celta de Vigo,,,,,,,,,,,Claudio Giráldez,Claudio,Giráldez González,Spain,coach,Celta de Vigo
73,2526,2alwgmgcud4guwkmcnxbtpy7e,Eder Sarabia Armesto,eder-sarabia-armesto,Eder Sarabia,Elche,4-3-3,Spain,338860800.0,211.0,86.0,53.0,72.0,269.0,222.0,311.0,Eder Sarabia,Eder,Sarabia Armesto,Spain,coach,Elche
73,2526,2e0sebn7a8mcnfa90kdn7ckb9,José Manuel González Álvarez,,José Manuel González Álvarez,Espanyol,,,,,,,,,,,Manolo González,José Manuel,González Álvarez,Spain,coach,Espanyol
73,2526,b13nybopqc740af2uybp1pdcl,José Bordalás Jiménez,jose-bordalas,José Bordalás,Getafe,4-4-2,Spain,-183859200.0,717.0,290.0,191.0,236.0,895.0,787.0,1061.0,José Bordalás,José,Bordalás Jiménez,Spain,coach,Getafe
73,2526,jkox030vlb7xszen474w83px,Miguel Ángel Sánchez Muñoz,michel,Míchel Sánchez,Girona,4-2-3-1,Spain,183859200.0,362.0,147.0,81.0,134.0,508.0,475.0,522.0,Míchel,Miguel Ángel,Sánchez Muñoz,Spain,coach,Girona
73,2526,8529f9juq33g6w59a1jpddysq,Luís Manuel Ferreira de Castro,luis-castro,Luís Manuel Ferreira de Castro,Levante,4-1-4-1,Portugal,326505600.0,236.0,109.0,44.0,83.0,388.0,319.0,371.0,Luís Castro,Luís Manuel,Ferreira de Castro,Portugal,coach,Levante
73,2526,7wzgbd27ywkxx9ooquepk43x1,Martín Gastón Demichelis,,Martín Demichelis,Mallorca,,,,,,,,,,,M. Demichelis,Martín Gastón,Demichelis,Argentina,coach,Mallorca
73,2526,i48ozgngttqqy2su617b6mzt,Alessio Lisci,,Alessio Lisci,Osasuna,,,,,,,,,,,A. Lisci,Alessio,Lisci,Italy,coach,Osasuna
73,2526,26h5p70ffxotb1mv82ut6qx91,Iñigo Pérez Soto,,Iñigo Pérez,Rayo Vallecano,,,,,,,,,,,Iñigo Pérez,Iñigo,Pérez Soto,Spain,coach,Rayo Vallecano
73,2526,dazth1gr1i3s9s13b8ry48atx,Manuel Luis Pellegrini Ripamonti,manuel-pellegrini,Manuel Pellegrini,Real Betis,4-2-3-1,Chile,-514166400.0,1205.0,596.0,273.0,336.0,2052.0,1463.0,2061.0,M. Pellegrini,Manuel Luis,Pellegrini Ripamonti,Chile,coach,Real Betis
73,2526,4nclyvzibmrs9tt903ccbythx,Álvaro Arbeloa Coca,alvaro-arbeloa,Álvaro Arbeloa,Real Madrid,4-3-3,Spain,411609600.0,58.0,36.0,6.0,16.0,114.0,63.0,114.0,Álvaro Arbeloa,Álvaro,Arbeloa Coca,Spain,coach,Real Madrid
73,2526,8kfldbd8rbvb27eywepajhivp,Jorge Guillermo Almada Álves,,Guillermo Almada,Real Oviedo,,,,,,,,,,,G. Almada,Jorge Guillermo,Almada Álves,Uruguay,coach,Real Oviedo
73,2526,b3tuy4l2g97qd67kz5pu5rp3p,Pellegrino Matarazzo,pellegrino-matarazzo,Pellegrino Matarazzo,Real Sociedad,3-4-2-1,USA,249523200.0,301.0,115.0,80.0,106.0,502.0,454.0,425.0,P. Matarazzo,Pellegrino,Matarazzo,USA,coach,Real Sociedad
73,2526,d5e7y68x8mfgki7ukvx7na0np,Matías Jesús Almeyda,,Matías Almeyda,Sevilla,,,,,,,,,,,M. Almeyda,Matías Jesús,Almeyda,Argentina,coach,Sevilla
73,2526,e6vbc7hgm4rz3o95vckqwx8fd,Carlos Corberán Vallet,carlos-corberan,Carlos Corberán,Valencia,4-2-3-1,Spain,418521600.0,298.0,119.0,79.0,100.0,396.0,370.0,436.0,Carlos Corberán,Carlos,Corberán Vallet,Spain,coach,Valencia
73,2526,5si50dq9be9264rxt7td0padx,Marcelino García Toral,,Marcelino García,Villarreal,,,,,,,,,,,Marcelino,Marcelino,García Toral,Spain,coach,Villarreal
73,2526,e0mwy06fc9p7nr8vg7ox7e6s5,Patricio Andrés Graff,,Patricio Graff,Alavés,,,,,,,,,,,P. Graff,Patricio Andrés,Graff,Argentina,assistant coach,Alavés
73,2526,926zov9ym2r4gmmo2k3jyxxat,Jon Iñaki Aspiazu San Emeterio,,Jon Aspiazu,Athletic Club,,,,,,,,,,,Aspiazu,Jon Iñaki,Aspiazu San Emeterio,Spain,assistant coach,Athletic Club
73,2526,5dipetqgrtvfknjkpiiz0cfdh,Nelson David Vivas,,Nelson Vivas,Atlético de Madrid,,,,,,,,,,,N. Vivas,Nelson David,Vivas,Argentina,assistant coach,Atlético de Madrid
73,2526,6bgvxtaatjlnusg4cssxzthhx,Marcus Sorg,,Marcus Sorg,Barcelona,,,,,,,,,,,M. Sorg,Marcus,Sorg,Germany,assistant coach,Barcelona
73,2526,75d79ehx97h0oj79vjaxb69jp,Heiko Westermann,,Heiko Westermann,Barcelona,,,,,,,,,,,H. Westermann,Heiko,Westermann,Germany,assistant coach,Barcelona
