league;season;team;pos;pts;played;wins;draws;losses;goalsScored;goalsConceded;goalDiff;home_pos;home_pts;home_played;home_wins;home_draws;home_losses;home_goalsScored;home_goalsConceded;home_goalDiff;away_pos;away_pts;away_played;away_wins;away_draws;away_losses;away_goalsScored;away_goalsConceded;away_goalDiff;xG;xGA;xGDiff;xGADiff;xPos;xPosDiff;xPts;xPtsDiff
73;2425;Barcelona;1;88;38;28;4;6;0;39;63;3;43;19;14;1;4;52;20;32;1;45;19;14;3;2;50;19;31;92.39839977025986;41.92679975926876;9.601600229740143;-2.9267997592687607;1;0;81.90776934829685;6.092230651703147
73;2425;Real Madrid;2;84;38;26;6;6;0;38;40;1;49;19;16;1;2;45;19;26;3;35;19;10;5;4;33;19;14;76.82119983434677;44.134200017899275;1.1788001656532288;-6.134200017899275;2;0;70.96199253758255;13.038007462417454
73;2425;Atletico Madrid;3;76;38;22;10;6;0;30;38;2;46;19;14;4;1;42;15;27;5;30;19;8;6;5;26;15;11;65.43649965524673;33.674299793317914;2.5635003447532654;-3.674299793317914;3;0;70.62812552064355;5.37187447935645
73;2425;Athletic Club;4;70;38;19;13;6;0;29;25;4;39;19;11;6;2;32;13;19;4;31;19;8;7;4;22;16;6;53.80789986252785;38.36569995060563;0.1921001374721527;-9.36569995060563;5;-1;61.511147450496736;8.488852549503264
73;2425;Villarreal;5;70;38;20;10;8;0;51;20;7;34;19;9;7;3;43;27;16;2;36;19;11;3;5;28;24;4;66.0928997695446;45.113199919462204;4.907100230455399;5.886800080537796;4;1;66.94521596984774;3.0547840301522626
73;2425;Real Betis;6;60;38;16;12;10;0;50;7;8;34;19;9;7;3;32;21;11;7;26;19;7;5;7;25;29;-4;55.45669969916344;51.63110010325909;1.543300300836563;-1.6311001032590866;7;-1;56.63143389399316;3.3685661060068384
73;2425;Celta Vigo;7;55;38;16;7;15;0;57;2;5;36;19;11;3;5;32;21;11;10;19;19;5;4;10;27;36;-9;55.41049973666668;43.63220000267029;3.5895002633333206;13.367799997329712;6;1;60.685222611388895;-5.685222611388895
73;2425;Rayo Vallecano;8;52;38;13;13;12;0;45;-4;13;26;19;6;8;5;24;26;-2;6;26;19;7;5;7;17;19;-2;46.06369923055172;49.378600120544434;-5.06369923055172;-4.378600120544434;10;-2;49.966187543779434;2.0338124562205664
73;2425;Osasuna;9;52;38;12;16;10;0;52;-4;6;36;19;10;6;3;33;23;10;15;16;19;2;10;7;15;29;-14;45.140100087970495;54.629200249910355;2.8598999120295048;-2.6292002499103546;15;-6;46.64752897241061;5.352471027589388
73;2425;Mallorca;10;48;38;13;9;16;0;44;-9;12;27;19;7;6;6;20;21;-1;9;21;19;6;3;10;15;23;-8;38.78810039162636;47.838199853897095;-3.788100391626358;-3.8381998538970947;14;-4;47.69182778644439;0.30817221355560775
73;2425;Real Sociedad;11;46;38;13;7;18;0;46;-11;11;27;19;8;3;8;20;20;0;11;19;19;5;4;10;15;26;-11;43.18630008585751;44.21010002493858;-8.18630008585751;1.7898999750614166;8;3;51.56808762906088;-5.5680876290608765
73;2425;Valencia;12;46;38;11;13;14;0;54;-10;9;31;19;9;4;6;26;20;6;18;15;19;2;9;8;18;34;-16;43.31289976835251;52.22729995846748;0.6871002316474915;1.7727000415325165;12;0;49.024217256637556;-3.024217256637556
73;2425;Getafe;13;42;38;11;9;18;0;39;-5;18;19;19;4;7;8;15;19;-4;8;23;19;7;2;10;19;20;-1;37.6552000194788;46.50159935839474;-3.655200019478798;-7.501599358394742;16;-3;46.63096537458042;-4.63096537458042
73;2425;Espanyol;14;42;38;11;9;18;0;51;-11;10;30;19;8;6;5;23;20;3;19;12;19;3;3;13;17;31;-14;34.879999935626984;54.72219967842102;5.120000064373016;-3.7221996784210205;17;-3;39.35510543240976;2.644894567590242
73;2425;Deportivo Alaves;15;42;38;10;12;16;0;48;-10;16;24;19;6;6;7;14;17;-3;12;18;19;4;6;9;24;31;-7;43.69660012423992;47.40150035917759;-5.696600124239922;0.5984996408224106;9;6;50.231176167617626;-8.231176167617626
73;2425;Girona;16;41;38;11;8;19;0;60;-16;15;24;19;7;3;9;27;30;-3;14;17;19;4;5;10;17;30;-13;43.05519996583462;50.332999711856246;0.9448000341653824;9.667000288143754;13;3;47.7711732722553;-6.771173272255297
73;2425;Sevilla;17;41;38;10;11;17;0;55;-13;17;24;19;6;6;7;17;23;-6;13;17;19;4;5;10;25;32;-7;43.16700029373169;48.15380010008812;-1.1670002937316895;6.8461998999118805;11;6;49.21035427383116;-8.210354273831157
73;2425;Leganes;18;40;38;9;13;16;0;56;-17;14;25;19;7;4;8;23;27;-4;17;15;19;2;9;8;16;29;-13;36.642200008034706;60.66619962453842;2.357799991965294;-4.666199624538422;18;0;37.54016390092817;2.459836099071829
73;2425;Las Palmas;19;32;38;8;8;22;0;61;-21;19;17;19;4;5;10;21;29;-8;16;15;19;4;3;12;19;32;-13;36.18610001169145;68.18459987640381;3.813899988308549;-7.184599876403809;20;-1;31.84517301648231;0.1548269835176903
73;2425;Real Valladolid;20;16;38;4;4;30;0;90;-64;20;13;19;3;4;12;11;32;-21;20;3;19;1;0;18;15;58;-43;34.73419982753694;69.20789961516857;-8.73419982753694;20.79210038483143;19;1;33.96094986864358;-17.96094986864358
