League;Season;Manager;Slug;ShortName;MatchName;BirthDate;Nationality;Role;PreferredFormation;Team;Matches;Wins;Draws;Losses;GoalsFor;GoalsAgainst;Points
73;2526;Adrián López Álvarez;adrian_lopez_alvarez;Adrián López;Adrián López;;Spain;Assistant;;Rayo Vallecano;;;;;;;
73;2526;Alessio Lisci;alessio_lisci;Alessio Lisci;A. Lisci;;Italy;Coach;;Osasuna;;;;;;;
73;2526;Bittor Alkiza Fernández;bittor_alkiza_fernandez;Bittor Alkiza;Bittor Alkiza;;Spain;Assistant;;Mallorca;;;;;;;
73;2526;Carlos Corberán Vallet;carlos_corberan_vallet;Carlos Corberán;Carlos Corberán;07/04/1983;Spain;Coach;4-2-3-1;Valencia;298;119;79;100;396;370;436
73;2526;Carlos Garcia Navarro;carlos_garcia_navarro;Carlos Garcia;Carlos Garcia;;Spain;Assistant;;Levante;;;;;;;
73;2526;Claudio David Arzeno Pessuto;claudio_david_arzeno_pessuto;Claudio Arzeno;Claudio Arzeno;;Argentina;Assistant;;Real Oviedo;;;;;;;
73;2526;Claudio Giráldez González;claudio_giraldez_gonzalez;Claudio Giráldez;Claudio Giráldez;;Spain;Coach;;Celta de Vigo;;;;;;;
73;2526;Darwin Ariel Quintana Mestrallet;darwin_ariel_quintana_mestrallet;Darwin Quintana;D. Quintana;;Uruguay;Assistant;;Real Oviedo;;;;;;;
73;2526;Diego Pablo Simeone González;diego_pablo_simeone_gonzalez;Diego Simeone;D. Simeone;28/04/1970;Argentina;Coach;4-4-2;Atlético de Madrid;985;556;220;209;1632;894;1888
73;2526;Eder Sarabia Armesto;eder_sarabia_armesto;Eder Sarabia;Eder Sarabia;27/09/1980;Spain;Coach;4-3-3;Elche;211;86;53;72;269;222;311
73;2526;Eduardo Germán Coudet;eduardo_german_coudet;Eduardo Coudet;E. Coudet;12/09/1974;Argentina;Coach;4-1-3-2;Alavés;460;207;123;130;680;514;744
73;2526;Ernesto Valverde Tejedor;ernesto_valverde_tejedor;Ernesto Valverde;Ernesto Valverde;09/02/1964;Spain;Coach;4-2-3-1;Athletic Club;927;485;198;244;1580;1007;1653
73;2526;Francisco Javier Martínez Rodríguez;francisco_javier_martinez_rodriguez;Francisco Javier Martínez Rodríguez;Javi Martínez;;Spain;Assistant;;Sevilla;;;;;;;
73;2526;Gerard Garrido;gerard_garrido;Gerard Garrido;Gerard Garrido;;Spain;Assistant;;Espanyol;;;;;;;
73;2526;Gustavo Lionel Siviero;gustavo_lionel_siviero;Gustavo Siviero;G. Siviero;;Argentina;Assistant;;Mallorca;;;;;;;
73;2526;Hans-Dieter Flick;hansdieter_flick;Hansi Flick;H. Flick;24/02/1965;Germany;Coach;4-2-3-1;Barcelona;405;244;70;91;941;500;802
