League;Season;Position;Team;Status;Matches;Points;Wins;Draws;Losses;GoalsFor;GoalsAgainst;GoalsDiff;HomePosition;HomeMatches;HomePoints;HomeWins;HomeDraws;HomeLosses;HomeGoalsFor;HomeGoalsAgainst;HomeGoalsDiff;AwayPosition;AwayMatches;AwayPoints;AwayWins;AwayDraws;AwayLosses;AwayGoalsFor;AwayGoalsAgainst;AwayGoalsDiff;HalfTimePosition;HalfTimePoints;HalfTimeWins;HalfTimeDraws;HalfTimeLosses;HalfTimeGoalsFor;HalfTimeGoalsAgainst;xG;xGA;xGDiff;xGADiff;xPosition;xPositionDiff;xPoints;xPointsDiff
73;2526;1;Barcelona;UEFA Champions League;26;64;21;4;1;71;26;45;1;13;39;13;0;0;41;6;35;2;13;25;8;1;4;30;20;10;1;49;14;5;7;32;17;67.70200026035309;33.370899990201;3.2979997396469116;-7.3708999902010035;1;0;55.73598059981085;8.264019400189149
73;2526;2;Real Madrid;UEFA Champions League;26;60;19;4;3;54;22;32;3;12;33;11;0;1;29;8;21;1;13;27;8;3;2;25;13;12;2;49;13;3;10;24;8;57.78409993648529;28.43119987845421;-3.7840999364852905;-6.431199878454208;2;0;53.56344304729631;6.43655695270369
73;2526;3;Atlético de Madrid;UEFA Champions League;26;51;15;5;6;43;23;20;2;13;34;11;1;1;30;10;20;6;13;17;4;5;4;13;13;0;6;40;8;2;16;19;11;40.15409988164902;28.907100051641464;2.8459001183509827;-5.907100051641464;3;0;42.862648283624296;8.137351716375704
73;2526;4;Villarreal;UEFA Champions League;26;51;16;7;3;48;31;17;4;13;31;10;1;2;29;11;18;4;13;20;6;2;5;19;20;-1;4;44;12;6;8;21;11;40.19540029764176;33.218099638819695;7.804599702358239;-2.2180996388196945;6;-2;41.166908790559965;9.833091209440035
73;2526;5;Real Betis;UEFA Europa League;26;43;11;5;10;42;32;10;5;13;24;7;3;3;25;15;10;5;13;19;4;7;2;17;17;0;7;36;9;8;9;19;16;40.34970000386238;31.83369991183281;1.650299996137619;0.16630008816719055;5;0;41.8880191381665;1.1119808618335014
73;2526;6;Celta de Vigo;UEFA Conference League Qualifiers;26;40;10;6;10;36;28;8;14;13;17;4;5;4;19;15;4;3;13;23;6;5;2;17;13;4;12;30;6;8;12;10;12;36.17500026524067;31.40450017899275;-0.17500026524066925;-3.4045001789927483;7;-1;39.78216103582613;0.21783896417387183
73;2526;7;Espanyol;;26;36;10;10;6;33;39;-6;11;13;20;6;2;5;16;18;-2;7;13;16;4;4;5;17;21;-4;16;25;4;9;13;10;16;34.233500093221664;36.35469947755337;-1.2335000932216644;2.6453005224466324;12;-5;33.58248554205937;2.4175144579406265
73;2526;8;Real Sociedad;;26;35;9;9;8;38;38;0;9;13;21;6;3;4;24;20;4;9;13;14;3;5;5;14;18;-4;8;36;9;8;9;15;17;36.99739980697632;37.08820013701916;1.0026001930236816;0.9117998629808426;8;0;36.69092250345402;-1.6909225034540185
73;2526;9;Athletic Club;;26;35;10;11;5;30;36;-6;7;13;23;7;2;4;17;15;2;12;13;12;3;3;7;13;21;-8;13;29;5;7;14;13;14;37.61960017681122;28.70999976247549;-7.619600176811218;7.290000237524509;4;5;42.12846506211994;-7.128465062119943
73;2526;10;Osasuna;;26;33;9;11;6;30;30;0;6;12;24;7;3;2;22;14;8;15;14;9;2;3;9;8;16;-8;3;48;12;2;12;17;7;29.47800025343895;35.56219983100891;0.5219997465610504;-5.562199831008911;13;-3;31.589776907968943;1.4102230920310568
