League;Season;Abbreviation;Team;Slug;LongName;ShortName;Country;FoundationYear;Manager;PrimaryColour;SecondaryColour;TextColour;Venue
73;2526;ALA;Alavés;alaves;Deportivo Alavés;Alavés;Spain;23/01/1921;Eduardo Coudet;#0232A0;#FFFFFF;#FFFFFF;Estadio de Mendizorroza
73;2526;ATH;Athletic Club;athletic_club;Athletic Club;Athletic;Spain;30/11/1897;Ernesto Valverde;#AA0000;#FFFFFF;#FFFFFF;Estadio de San Mamés
73;2526;ATM;Atlético de Madrid;atletico_de_madrid;Club Atlético de Madrid;Atlético;Spain;26/04/1903;Diego Simeone;#FFFFFF;#C40000;#C40000;Riyadh Air Metropolitano
73;2526;BAR;Barcelona;barcelona;FC Barcelona;Barcelona;Spain;29/11/1899;Hans-Dieter Flick;#154284;#9D1009;#9D1009;Spotify Camp Nou
73;2526;CEL;Celta de Vigo;celta_de_vigo;Real Club Celta de Vigo;Celta;Spain;23/08/1923;Claudio Giráldez;#6CACE4;#FFFFFF;#FFFFFF;Estadio Abanca-Balaídos
73;2526;ELC;Elche;elche;Elche CF;Elche;Spain;28/08/1922;Eder Sarabia;#FFFFFF;#336600;#336600;Estadio Manuel Martínez Valero
73;2526;ESP;Espanyol;espanyol;Reial Club Deportiu Espanyol de Barcelona;Espanyol;Spain;20/10/1900;Manolo Gonzalez;#FFFFFF;#1369D2;#1369D2;RCDE Stadium
73;2526;GET;Getafe;getafe;Getafe CF;Getafe;Spain;08/07/1983;José Bordalás;#00369E;#FFFFFF;#FFFFFF;Estadio Coliseum
73;2526;GIR;Girona;girona;Girona FC;Girona;Spain;25/07/1930;Michel;#FFFFFF;#FF0000;#FF0000;Estadi Municipal de Montilivi
73;2526;LEV;Levante;levante;Levante UD;Levante;Spain;30/11/1908;Luís Castro;#0E3B68;#D70000;#D70000;Estadio Ciudad de Valencia
73;2526;MLL;Mallorca;mallorca;Real Club Deportivo Mallorca;Mallorca;Spain;05/03/1916;Martín Demichelis;#CC0000;#000000;#000000;Estadi Mallorca Son Moix
73;2526;OSA;Osasuna;osasuna;CA Osasuna;Osasuna;Spain;17/11/1920;Alessio Lisci;#CC0000;#14213D;#14213D;Estadio El Sadar
73;2526;RAY;Rayo Vallecano;rayo_vallecano;Rayo Vallecano de Madrid;Rayo;Spain;29/05/1924;Iñigo Pérez;#FFFFFF;#FFFFFF;#FFFFFF;Estadio de Vallecas
73;2526;BET;Real Betis;real_betis;Real Betis Balompié;Betis;Spain;12/09/1907;Manuel Pellegrini;#FFFFFF;#006633;#006633;Estadio La Cartuja de Sevilla
73;2526;RMA;Real Madrid;real_madrid;Real Madrid CF;Real Madrid;Spain;06/03/1902;Álvaro Arbeloa;#FFFFFF;#004996;#004996;Estadio Bernabéu
73;2526;OVI;Real Oviedo;real_oviedo;Real Oviedo;Oviedo;Spain;26/03/1926;Guillermo Almada;#3300FF;#FFFFFF;#FFFFFF;Estadio Municipal Carlos Tartiere
73;2526;RSO;Real Sociedad;real_sociedad;Real Sociedad de Fútbol;Real Sociedad;Spain;30/11/1908;Pellegrino Matarazzo;#FFFFFF;#0077C7;#0077C7;Estadio Municipal de Anoeta
73;2526;SEV;Sevilla;sevilla;Sevilla FC;Sevilla;Spain;25/01/1890;Matías Almeyda;#FFFFFF;#CC1020;#CC1020;Estadio Ramón Sánchez Pizjuán
73;2526;VAL;Valencia;valencia;Valencia CF;Valencia;Spain;18/03/1919;Carlos Corberán;#FFFFFF;#000000;#000000;Estadio de Mestalla
73;2526;VIL;Villarreal;villarreal;Villarreal CF;Villarreal;Spain;10/03/1923;Marcelino;#FFFF00;#013765;#013765;Estadio de la Cerámica
