League;Season;Venue;Slug;City;Country;Latitude;Longitude;Team;Capacity;MinAttendance;MaxAttendance;AvgAttendance;TotalAttendance;PercentSold;AttendancePosition;HomeGoals;AwayGoals;HomeWinsPerc;AwayWinsPerc;DrawsPerc;AvgRedCardsGame;AvgCornersGame
73;2526;Estadi Johan Cruyff;estadi_johan_cruyff;Barcelona;Spain;41.3742;2.050553;Barcelona;6000;5711;5862;5787;11573;96;22;464;84;75.93984962406;8.2706766917293;11.278195488722;0.1203007518797;4.1654135338346
73;2526;Estadi Municipal de Montilivi;estadi_municipal_de_montilivi;Girona;Spain;41.9611;2.8278;Girona;14500;10050;14043;11808;153510;81;20;383;270;47.761194029851;28.731343283582;20.522388059701;0.25;15.787313432836
73;2526;Estadi Olímpic Lluís Companys;estadi_olimpic_lluis_companys;Barcelona;Spain;41.36472;2.155645;Barcelona;55926;43172;50103;45882;137645;82;5;155;66;75.438596491228;15.789473684211;8.7719298245614;0.14035087719298;21.19298245614
73;2526;Estadio Abanca-Balaídos;estadio_abancabalaidos;Vigo;Spain;42.211122;-8.739231;Celta de Vigo;24791;18705;21887;20152;261972;81;15;453;388;40.694006309148;30.599369085173;26.182965299685;0.26182965299685;14.16403785489
73;2526;Estadio Bernabéu;estadio_bernabeu;Madrid;Spain;40.453;-3.6883;Real Madrid;83186;65104;78107;72684;944889;87;1;922;332;72.176308539945;9.9173553719008;14.876033057851;0.1763085399449;17.539944903581
73;2526;Estadio Ciudad de Valencia;estadio_ciudad_de_valencia;Valencia;Spain;39.4946;-0.3633;Levante;25534;17346;23415;20368;264780;80;14;370;322;41.851851851852;25.555555555556;28.518518518519;0.2962962962963;16.933333333333
73;2526;Estadio Coliseum;estadio_coliseum;Getafe;Spain;40.325725;-3.714933;Getafe;17393;7223;10090;8172;106233;47;21;317;237;41.044776119403;29.477611940299;27.238805970149;0.30597014925373;15.597014925373
73;2526;Estadio El Sadar;estadio_el_sadar;Pamplona;Spain;42.796662;-1.637131;Osasuna;23576;18160;22480;20559;246713;87;13;376;337;41.721854304636;27.483443708609;27.152317880795;0.28476821192053;13.814569536424
73;2526;Estadio Manuel Martínez Valero;estadio_manuel_martinez_valero;Elche;Spain;38.267044;-0.663305;Elche;31388;21253;31233;26436;370097;84;11;379;303;40.484429065744;26.989619377163;30.449826989619;0.29757785467128;14.937716262976
73;2526;Estadio Municipal Carlos Tartiere;estadio_municipal_carlos_tartiere;Oviedo;Spain;43.360872;-5.870332;Real Oviedo;30500;20085;29850;25168;327180;83;12;319;206;48.347107438017;18.181818181818;30.578512396694;0.26446280991736;17.553719008264
