match_id;player_idss;teamss;opponent;player;positionss;shirt_number;totalPassss;accuratePassss;totalLongBalls;accurateLongBalls;goalAssistss;accurateOwnHalfPasses;totalOwnHalfPasses;accurateOppositionHalfPasses;totalOppositionHalfPasses;ballRecovery;savedShotsFromInsideTheBox;penaltyFaced;savesss;totalKeeperSweeper;accurateKeeperSweeper;minutesPlayed;touches;rating;possessionLostCtrl;expectedAssists;totalBallCarriesDistance;ballCarriesCount;totalProgression;keeperSaveValue;totalShots;goalsPrevented;passValueNormalized;dribbleValueNormalized;defensiveValueNormalized;goalkeeperValueNormalized;totalCross;aerialLost;aerialWon;duelLost;duelWon;totalContest;shotOffTargetss;totalClearancess;outfielderBlock;interceptionWon;wasFouledss;foulsss;totalOffsidess;expectedGoals;bestBallCarryProgression;totalProgressiveBallCarriesDistance;progressiveBallCarriesCount;shotValueNormalized;challengeLost;totalTackless;wonTackless;unsuccessfulTouch;dispossessed;onTargetScoringAttempt;penaltyConceded;expectedGoalsOnTarget;keyPass;wonContest;accurateCross;bigChanceCreated;bigChanceMissed;goodHighClaim;blockedScoringAttempt;goalsss;penaltyWon;errorLeadToAShot;lastManTackle;hitWoodwork;errorLeadToAGoal;punches;ownGoals;penaltySave;penaltyMiss;league;season;match;match_slug;teamsw;player_idsw;name;short_name;match_name;positionsw;pos_side;formation_place;accuratePasssw;cleanSheet;gameStarted;goalKicks;lostCorners;minsPlayed;savessw;totalPasssw;formationPlace;totalClearancesw;totalThrows;wonCorners;totalTacklesw;wonTacklesw;foulssw;ontargetScoringAtt;shotOffTargetsw;totalScoringAtt;wasFouledsw;blockedScoringAtt;goalAssistsw;totalSubOff;cornerTaken;goalssw;totalSubOn;goalsConceded;totalOffsidesw;Venue
14083269;930267;Barcelona;Mallorca;Joan García;G;13;22.0;21.0;6.0;5.0;0.0;19.0;20.0;2.0;2.0;6.0;2.0;0.0;4.0;0.0;0.0;90.0;30.0;7.8;1.0;0.00034384;26.817488648892;4.0;19.949343517261;0.4549;0;0.9672;0.07;0.03;0.21;0.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;Barcelona;5f8kjgsaabn2li5r7bvpebbsa;Joan García Pons;Joan García;Joan García;Goalkeeper;Centre;1;21;1;1;4;1;90;4;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Home
14083269;827212;Barcelona;Mallorca;Jules Koundé;D;23;84.0;76.0;4.0;1.0;0.0;37.0;37.0;39.0;47.0;4.0;0.0;0.0;0.0;0.0;0.0;90.0;104.0;6.7;12.0;0.0236987;179.93355815408;30.0;29.659994817241;0.0;2;0.0;0.22;0.08;0.0;0.0;1.0;2.0;0.0;5.0;1.0;1.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0901;0.0;0.0;0.0;0.02;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;Barcelona;cscn06kwqfzo09h0dc5ybt1pl;Jules Olivier Koundé;Jules Koundé;J. Koundé;Defender;Right;2;76;1;1;0;0;90;0;84;2;1;9;1;1;1;0;0;1;2;0;1;0;0;0;0;0;0;0;Home
14083269;1402913;Barcelona;Mallorca;Pau Cubarsí;D;5;108.0;100.0;5.0;2.0;0.0;41.0;45.0;59.0;63.0;3.0;0.0;0.0;0.0;0.0;0.0;90.0;123.0;7.5;9.0;0.0375234;380.77664404194;45.0;194.51222309749;0.0;2;0.0;0.35;0.3;0.24;0.0;0.0;3.0;3.0;5.0;5.0;0.0;1.0;4.0;1.0;1.0;1.0;3.0;0.0;0.1603;14.277942470262;60.522346449281;3.0;-0.09;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.2686;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;Barcelona;bkwxem45cf48k14euwqe7rs44;Pau Cubarsí Paredes;Pau Cubarsí;Pau Cubarsí;Defender;Centre/Right;5;100;1;1;0;0;90;0;108;5;4;0;1;1;0;3;1;1;2;1;0;0;0;0;0;0;0;0;Home
14083269;876214;Barcelona;Mallorca;Eric García;D;24;104.0;98.0;5.0;3.0;0.0;44.0;46.0;54.0;58.0;6.0;0.0;0.0;0.0;0.0;0.0;90.0;120.0;8.1;8.0;0.04651;241.66923204837;31.0;133.16513484716;0.0;0;0.0;0.51;0.21;0.23;0.0;0.0;2.0;5.0;3.0;9.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;17.118598633577;24.358864526082;1.0;0.0;0.0;4.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;Barcelona;4ggz7e009bq3yltc9o6mifbah;Eric García Martret;Eric García;Eric García;Defender;Left/Centre;6;98;1;1;0;1;90;0;104;6;5;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Home
14083269;997035;Barcelona;Mallorca;Alejandro Balde;D;3;89.0;84.0;3.0;2.0;0.0;28.0;28.0;56.0;61.0;6.0;0.0;0.0;0.0;0.0;0.0;90.0;112.0;6.9;15.0;0.0464923;329.04633046578;40.0;172.56335686931;0.0;0;0.0;0.0;0.27;0.21;0.0;3.0;0.0;0.0;6.0;2.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;31.831603226011;75.332338279051;3.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;Barcelona;bzgh5psb1janz9y3btpswngbu;Alejandro Balde Martínez;Alejandro Balde;Alejandro Balde;Defender;Left;3;84;1;1;0;0;90;0;89;3;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Home
14083269;1153270;Barcelona;Mallorca;Fermín López;M;16;55.0;51.0;4.0;4.0;1.0;5.0;7.0;46.0;48.0;2.0;0.0;0.0;0.0;0.0;0.0;84.0;67.0;7.3;7.0;0.284977;172.44880091194;26.0;53.713805702712;0.0;1;0.0;0.22;0.11;-0.13;0.0;0.0;1.0;0.0;3.0;6.0;3.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0925;0.0;0.0;0.0;0.06;0.0;4.0;4.0;1.0;0.0;1.0;0.0;0.3236;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;Barcelona;cjll1xrw3xulnl23c9tlf6rys;Fermín López Marín;Fermín López;Fermín López;Midfielder;Centre/Right;7;51;0;1;0;1;84;0;55;7;0;0;1;4;4;0;1;0;1;1;0;1;1;0;0;0;0;0;Home
14083269;1000483;Barcelona;Mallorca;Marc Casadó;M;17;97.0;90.0;1.0;1.0;0.0;31.0;33.0;59.0;64.0;4.0;0.0;0.0;0.0;0.0;0.0;90.0;107.0;7.3;9.0;0.0595258;185.82689102681;29.0;25.928947247138;0.0;1;0.0;0.22;0.08;0.17;0.0;0.0;0.0;0.0;3.0;5.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0552;0.0;0.0;0.0;0.01;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;Barcelona;3hht0os2uzu234yq550i3fbe2;Marc Casadó Torras;Marc Casadó;Marc Casadó;Midfielder;Centre;4;90;1;1;0;0;90;0;97;4;0;0;2;2;2;1;0;0;1;3;1;0;0;0;0;0;0;0;Home
14083269;789071;Barcelona;Mallorca;Dani Olmo;M;20;43.0;41.0;4.0;3.0;2.0;4.0;4.0;37.0;39.0;7.0;0.0;0.0;0.0;0.0;0.0;67.0;58.0;7.8;5.0;0.0875819;110.66750858587;13.0;37.350268361232;0.0;3;0.0;0.31;0.28;0.19;0.0;0.0;2.0;0.0;3.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0536;19.084608978866;30.642373857714;2.0;-0.19;0.0;2.0;2.0;3.0;0.0;1.0;0.0;0.0134;4.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;Barcelona;4gq1u1mqg0qzekh1u5djleeax;Daniel Olmo Carvajal;Dani Olmo;Dani Olmo;Midfielder;Left/Centre;8;41;0;1;0;0;67;0;43;8;1;0;1;2;2;1;1;0;3;0;2;2;1;0;0;0;0;0;Home
14083269;1402912;Barcelona;Mallorca;Lamine Yamal;F;10;62.0;52.0;3.0;1.0;0.0;11.0;12.0;41.0;50.0;3.0;0.0;0.0;0.0;0.0;0.0;78.0;88.0;8.0;22.0;0.270133;224.90875965785;29.0;115.44972678848;0.0;4;0.0;0.21;0.36;-0.02;0.0;5.0;0.0;0.0;5.0;3.0;5.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.8776;18.380579823977;61.824184768505;4.0;0.51;0.0;1.0;1.0;3.0;1.0;1.0;0.0;0.1142;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;Barcelona;abr79wsl0folgkyvl821ggs2c;Lamine Yamal Nasraoui Ebana;Lamine Yamal Nasraoui Ebana;Lamine Yamal;Striker;Centre/Right;10;52;0;1;0;0;78;0;62;10;0;1;0;1;1;0;1;2;4;1;1;0;1;5;1;0;0;0;Home
14083269;41789;Barcelona;Mallorca;Robert Lewandowski;F;9;16.0;13.0;1.0;1.0;0.0;4.0;5.0;9.0;11.0;1.0;0.0;0.0;0.0;0.0;0.0;78.0;27.0;7.8;8.0;0.0179495;46.277488755073;7.0;-29.632915253743;0.0;2;0.0;-0.09;0.31;0.18;0.0;0.0;1.0;2.0;3.0;4.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.7695;0.0;0.0;0.0;0.52;0.0;0.0;0.0;4.0;1.0;1.0;0.0;0.915;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;Barcelona;afxjicw89683nlpms9yy5x51x;Robert Lewandowski;Robert Lewandowski;R. Lewandowski;Striker;Centre;9;13;0;1;0;0;78;0;16;9;2;0;0;0;0;1;1;0;2;1;1;0;1;0;1;0;0;0;Home
