match_id;team;opponent;Ball possession;Expected goals;Big chances;Total shots;Goalkeeper saves;Corner kicks;Fouls;Passes;Tackles;Free kicks;Yellow cards;Shots on target;Hit woodwork;Shots off target;Blocked shots;Shots inside box;Shots outside box;Big chances scored;Big chances missed;Through balls;Touches in penalty area;Fouled in final third;Offsides;Accurate passes;Throw-ins;Final third entries;Final third phase;Long balls;Crosses;Duels;Dispossessed;Ground duels;Aerial duels;Dribbles;Tackles won;Total tackles;Interceptions;Recoveries;Clearances;Total saves;Goals prevented;Big saves;High claims;Goal kicks;Red cards;Errors lead to a shot;Errors lead to a goal;Punches;Penalty saves;league;season;match;match_slug;team_id;formation;manager_id;manager;kit;kit_col1;kit_col2;accuratePass;blockedScoringAtt;cleanSheet;cornerTaken;fkFoulLost;fkFoulWon;goalAssist;goalKicks;goals;lostCorners;ontargetScoringAtt;possessionPercentage;saves;shotOffTarget;subsGoals;subsMade;totalClearance;totalPass;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;formationUsed;goalsConceded;totalOffside;dominium;totalYellowCard;penGoalsConceded;penaltyConceded;penaltyFaced;penaltyWon;totalRedCard;penaltySave;ownGoals
14083269;Barcelona;Mallorca;76;2.73;4;24;4;12;7;774;15;9;0.0;7;1;6;11;11;13;2.0;2;2.0;36;2;0;705;19;76;208;24;1;51;11;32;12;8;11;15;8;43;15;4;0.9672;1;0.0;4;0.0;2.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;433;ebm098y98ctdw0zs1l1kvnt62;Hans-Dieter Flick;home;#990000;#000099;705;11;1.0;12;7;9;3;4;3;3;7;76.3;4;6;1.0;5;15;774;24;15;19;12;11;433;0;0;0.8916791604197901;;;;;;;;
14083269;Mallorca;Barcelona;24;0.8;1;9;4;3;9;235;24;7;0.0;4;0;3;2;6;3;0.0;1;2.0;15;0;3;165;16;24;26;24;3;49;7;31;12;1;15;24;8;40;39;4;-0.5052;2;0.0;9;0.0;0.0;0.0;0.0;0.0;73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;4231;f2i75nau3bjkt1i54farofmqd;Jagoba Arrasate Elustondo;away;#FFFFFF;#000000;165;2;0.0;3;9;7;0;9;0;12;4;23.7;4;3;0.0;5;39;235;9;24;16;3;15;4231;3;3;0.1083208395802099;;;;;;;;
14083292;Real Sociedad;Elche;34;2.63;3;11;4;2;14;296;15;8;0.0;3;0;7;1;8;3;2.0;1;1.0;21;1;2;226;20;48;51;25;1;49;2;29;18;6;10;15;11;52;15;4;1.0544;1;0.0;5;0.0;0.0;0.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;442;b3tuy4l2g97qd67kz5pu5rp3p;Pellegrino Matarazzo;home;#FFFFFF;#0000FF;226;1;;2;14;8;2;5;3;4;3;33.7;4;7;1.0;5;15;296;11;15;20;2;10;442;1;2;0.2656;0.0;;;;;;;
14083292;Elche;Real Sociedad;66;1.27;2;11;0;4;8;592;16;14;4.0;5;0;5;1;7;4;1.0;2;2.0;22;0;0;504;20;58;103;13;1;51;11;35;14;5;9;16;3;40;12;0;-0.4088;0;1.0;9;0.0;0.0;1.0;0.0;0.0;73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;4yg9ttzw0m51048doksv8uq5r;3142;2alwgmgcud4guwkmcnxbtpy7e;Eder Sarabia Armesto;third;#000000;0;504;1;;4;8;14;0;9;1;2;5;66.3;0;5;0.0;5;12;592;11;16;20;4;9;3142;3;0;0.7344;4.0;;;;;;;
14083257;Alavés;Getafe;60;2.02;5;13;3;6;20;404;17;20;2.0;5;0;8;0;11;2;0.0;5;1.0;19;1;3;315;26;47;51;26;5;48;16;42;25;6;11;17;6;46;22;3;-0.0694;1;0.0;10;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;442;2kiaodquh4o2i5z2yotrbxivp;Eduardo Germán Coudet;home;#0033FF;#FFFFFF;315;0;0.0;6;20;19;0;10;0;3;5;59.8;3;8;;5;22;404;13;17;26;6;11;442;2;3;0.56047197640118;2.0;1.0;1.0;1.0;0.0;;;
14083257;Getafe;Alavés;40;1.91;2;17;5;3;20;274;28;19;4.0;5;0;6;6;10;7;1.0;1;0.0;23;4;2;180;22;58;58;32;4;52;5;55;18;7;10;28;18;50;27;5;1.5172;2;1.0;10;0.0;0.0;0.0;0.0;0.0;73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;532;b13nybopqc740af2uybp1pdcl;José Bordalás Jiménez;away;#d91926;0;180;6;1.0;3;20;20;1;10;2;6;5;40.2;5;6;;4;27;274;17;28;22;3;10;532;0;2;0.43952802359882004;4.0;0.0;0.0;0.0;1.0;;;
14083260;Athletic Club;Levante;55;2.08;5;22;1;4;17;502;10;10;2.0;7;0;9;6;14;8;3.0;2;4.0;32;3;3;437;16;62;110;26;4;43;6;30;13;10;7;10;11;57;23;1;-1.0976;0;2.0;4;0.0;1.0;0.0;0.0;0.0;73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;4231;dbdq6fyl44p43la2s5q9suehh;Ernesto Valverde Tejedor;home;#FF0000;#FFFFFF;437;6;;4;17;10;4;4;4;3;7;55.4;1;9;1.0;6;23;502;22;10;16;4;7;4231;2;3;0.8227848101265823;2.0;;;;;0.0;;
14083260;Levante;Athletic Club;45;0.51;1;6;3;3;10;400;13;17;1.0;3;0;2;1;2;4;0.0;1;1.0;12;2;3;314;12;46;24;31;3;57;5;44;13;13;7;13;7;46;20;3;-0.8663;1;2.0;13;1.0;1.0;0.0;0.0;0.0;73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;4231;8529f9juq33g6w59a1jpddysq;Luís Manuel Ferreira de Castro;third;#33FF99;0;314;1;;3;10;17;0;13;2;4;3;44.6;3;2;2.0;6;20;400;6;13;12;3;7;4231;4;3;0.17721518987341772;1.0;;;;;1.0;;
14083263;Atlético de Madrid;Real Betis;65;0.67;1;10;3;7;12;678;7;3;4.0;5;1;4;1;8;2;0.0;1;1.0;28;1;6;605;15;90;171;15;6;44;6;17;14;7;4;7;6;56;10;3;-0.3652;0;0.0;5;0.0;1.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;442;b50ny8f8cz813cd7t9kknif9x;Diego Pablo Simeone González;home;#FF0000;#FFFFFF;605;1;0.0;7;12;3;0;5;0;3;5;64.9;3;4;;5;10;678;10;7;15;7;4;442;1;6;0.819721980886186;4.0;;;;;;;
14083263;Real Betis;Atlético de Madrid;35;0.7;2;8;5;3;3;371;15;12;1.0;4;0;3;1;3;5;0.0;2;0.0;5;2;1;304;12;40;54;26;0;56;4;32;7;6;8;15;12;39;35;5;1.3102;1;1.0;13;0.0;0.0;0.0;0.0;0.0;73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;433;dazth1gr1i3s9s13b8ry48atx;Manuel Luis Pellegrini Ripamonti;away;#BADAE4;#00CC33;304;1;1.0;3;3;11;1;13;1;7;4;35.1;5;3;;4;35;371;8;15;12;3;8;433;0;1;0.18027801911381408;1.0;;;;;;;
