league;season;id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
73;2526;826643;Kylian Mbappé;kylian-mbappe;K. Mbappé;Real Madrid;France;ST;;;73.0;178.0;10.0;Right;914112000.0;1877472000.0;212000000.0
73;2526;1402912;Lamine Yamal;;;;;;;;;;;;;;
73;2526;868812;Vinícius Júnior;;;;;;;;;;;;;;
73;2526;991011;Jude Bellingham;;;;;;;;;;;;;;
73;2526;831005;Raphinha;;;;;;;;;;;;;;
73;2526;910536;Rodrygo;;;;;;;;;;;;;;
73;2526;992587;Pedri;;;;;;;;;;;;;;
73;2526;41789;Robert Lewandowski;;;;;;;;;;;;;;
73;2526;1174937;Endrick;;;;;;;;;;;;;;
73;2526;1091116;Arda Güler;;;;;;;;;;;;;;
73;2526;831808;Federico Valverde;;;;;;;;;;;;;;
73;2526;814590;Marcus Rashford;;;;;;;;;;;;;;
73;2526;1103693;Pablo Gavi;;;;;;;;;;;;;;
73;2526;835485;Brahim Díaz;;;;;;;;;;;;;;
73;2526;944656;Julián Alvarez;;;;;;;;;;;;;;
73;2526;958380;Antony;;;;;;;;;;;;;;
73;2526;795064;Trent Alexander-Arnold;;;;;;;;;;;;;;
73;2526;70988;Thibaut Courtois;;;;;;;;;;;;;;
73;2526;795222;Frenkie de Jong;;;;;;;;;;;;;;
73;2526;142622;Antonio Rüdiger;;;;;;;;;;;;;;
73;2526;789071;Dani Olmo;;;;;;;;;;;;;;
73;2526;973887;Eduardo Camavinga;;;;;;;;;;;;;;
73;2526;1403559;Franco Mastantuono;;;;;;;;;;;;;;
73;2526;1153270;Fermín López;;;;;;;;;;;;;;
73;2526;1176744;Dean Huijsen;;;;;;;;;;;;;;
73;2526;1402913;Pau Cubarsí;;;;;;;;;;;;;;
73;2526;138572;Daniel Carvajal;;;;;;;;;;;;;;
73;2526;827212;Jules Koundé;;;;;;;;;;;;;;
73;2526;859025;Aurélien Tchouaméni;;;;;;;;;;;;;;
73;2526;855833;Ferran Torres;;;;;;;;;;;;;;
73;2526;822519;Éder Militão;;;;;;;;;;;;;;
73;2526;925097;Ronald Araújo;;;;;;;;;;;;;;
73;2526;997035;Alejandro Balde;;;;;;;;;;;;;;
73;2526;88625;Marc-André Ter Stegen;;;;;;;;;;;;;;
73;2526;1156645;Raúl Asencio;;;;;;;;;;;;;;
73;2526;930267;Joan García;;;;;;;;;;;;;;
73;2526;1402716;Gonzalo García;;;;;;;;;;;;;;
73;2526;85859;Antoine Griezmann;;;;;;;;;;;;;;
73;2526;1162107;Roony Bardghji;;;;;;;;;;;;;;
73;2526;50490;Wojciech Szczęsny;;;;;;;;;;;;;;
73;2526;66492;David Alaba;;;;;;;;;;;;;;
73;2526;138892;João Cancelo;;;;;;;;;;;;;;
73;2526;824200;Ademola Lookman;;;;;;;;;;;;;;
73;2526;1085400;Nico Williams;;;;;;;;;;;;;;
73;2526;1085081;Álvaro Carreras;;;;;;;;;;;;;;
73;2526;1926085;Dro Fernández;;;;;;;;;;;;;;
73;2526;792073;Ferland Mendy;;;;;;;;;;;;;;
73;2526;547838;Dani Ceballos;;;;;;;;;;;;;;
73;2526;851271;Fran García;;;;;;;;;;;;;;
73;2526;1000483;Marc Casadó;;;;;;;;;;;;;;
73;2526;186795;Andreas Christensen;;;;;;;;;;;;;;
73;2526;1526618;Marc Bernal;;;;;;;;;;;;;;
73;2526;876214;Eric García;;;;;;;;;;;;;;
73;2526;115665;Cédric Bakambu;;;;;;;;;;;;;;
73;2526;1402908;Hector Fort;;;;;;;;;;;;;;
73;2526;794949;Iñaki Peña;;;;;;;;;;;;;;
73;2526;1011375;Abdessamad Ezzalzouli;;;;;;;;;;;;;;
73;2526;1094827;Gerard Martín;;;;;;;;;;;;;;
73;2526;316148;Thomas Partey;;;;;;;;;;;;;;
73;2526;1482424;Claudio Echeverri;;;;;;;;;;;;;;
73;2526;1082981;Pablo Torre;;;;;;;;;;;;;;
