league;season;id;name;slug;short_name;full_name;code;manager;venue;country;primary_colour;secondary_colour;text_colour;foundation
73;2526;2829;Real Madrid;real-madrid;Real Madrid;Real Madrid;RMA;Álvaro Arbeloa;Bernabéu;Spain;#ffffff;#004996;#004996;-2140387200.0
73;2526;2851;Real Oviedo;real-oviedo;Real Oviedo;Real Oviedo;OVI;Guillermo Almada;Carlos Tartiere;Spain;#3300ff;#ffffff;#ffffff;-1381276800.0
73;2526;2885;Deportivo Alavés;;;;;;;;;;;
73;2526;2821;Celta Vigo;;;;;;;;;;;
73;2526;2816;Real Betis;;;;;;;;;;;
73;2526;2814;Espanyol;;;;;;;;;;;
73;2526;2859;Getafe;;;;;;;;;;;
73;2526;2828;Valencia;;;;;;;;;;;
73;2526;2836;Atlético Madrid;;;;;;;;;;;
73;2526;24264;Girona FC;;;;;;;;;;;
73;2526;2818;Rayo Vallecano;;;;;;;;;;;
73;2526;2824;Real Sociedad;;;;;;;;;;;
73;2526;2820;Osasuna;;;;;;;;;;;
73;2526;2846;Elche;;;;;;;;;;;
73;2526;2849;Levante UD;;;;;;;;;;;
73;2526;2819;Villarreal;;;;;;;;;;;
73;2526;2817;Barcelona;;;;;;;;;;;
73;2526;2826;Mallorca;;;;;;;;;;;
73;2526;2833;Sevilla;;;;;;;;;;;
73;2526;2825;Athletic Club;;;;;;;;;;;
