league;season;id;name;slug;capacity;city;country;latitude;longitude;matches;home_goals;away_goals;avg_red_cards_game;avg_ck_game;home_wins_perc;away_wins_perc;draws_perc
73;2526;714;Olímpic Lluís Companys;ol-mpic-llu-s-companys;55926.0;Barcelona;Spain;41.36472;2.155645;0.0;155.0;66.0;0.14035087719298;21.19298245614;75.438596491228;15.789473684211;8.7719298245614
73;2526;730;Ramón Sánchez Pizjuán;;;;;;;;;;;;;;
73;2526;751;San Mamés;;;;;;;;;;;;;;
73;2526;11380;Estadi Montilivi;;;;;;;;;;;;;;
73;2526;760;Estadi de Son Moix;;;;;;;;;;;;;;
73;2526;18391;Riyadh Air Metropolitano;;;;;;;;;;;;;;
73;2526;1078;Estadio de la Cartuja;;;;;;;;;;;;;;
73;2526;1045;Benito Villamarin;;;;;;;;;;;;;;
73;2526;691;Mestalla;;;;;;;;;;;;;;
73;2526;709;Spotify Camp Nou;;;;;;;;;;;;;;
73;2526;619;Estadio de la Ceramica;;;;;;;;;;;;;;
73;2526;581;Reale Arena;;;;;;;;;;;;;;
73;2526;697;Estadio Abanca Balaídos;;;;;;;;;;;;;;
73;2526;2440;Estadio de Vallecas;;;;;;;;;;;;;;
73;2526;1307;RCDE Stadium;;;;;;;;;;;;;;
73;2526;14888;Estadio Municipal de Butarque;;;;;;;;;;;;;;
73;2526;739;Estadio El Sadar;;;;;;;;;;;;;;
73;2526;607;Ciudad de Valencia;;;;;;;;;;;;;;
73;2526;1042;Estadio Martínez Valero;;;;;;;;;;;;;;
73;2526;754;Bernabéu;;;;;;;;;;;;;;
73;2526;608;Coliseum Alfonso Pérez;;;;;;;;;;;;;;
73;2526;2842;Carlos Tartiere;;;;;;;;;;;;;;
73;2526;26762;Estadi Johan Cruyff;;;;;;;;;;;;;;
73;2526;9311;Estadio de Mendizorroza;;;;;;;;;;;;;;
