match_id;player_id;team;opponent;player;position;shirt_number;totalPass;accuratePass;totalLongBalls;accurateLongBalls;goalAssist;accurateOwnHalfPasses;totalOwnHalfPasses;accurateOppositionHalfPasses;totalOppositionHalfPasses;ballRecovery;savedShotsFromInsideTheBox;saves;minutesPlayed;touches;rating;possessionLostCtrl;expectedAssists;totalBallCarriesDistance;ballCarriesCount;totalProgression;keeperSaveValue;totalShots;goalsPrevented;passValueNormalized;dribbleValueNormalized;defensiveValueNormalized;goalkeeperValueNormalized;totalCross;aerialLost;duelLost;duelWon;challengeLost;dispossessed;totalContest;bigChanceCreated;shotOffTarget;blockedScoringAttempt;totalClearance;interceptionWon;totalTackle;wonTackle;unsuccessfulTouch;expectedGoals;keyPass;shotValueNormalized;aerialWon;onTargetScoringAttempt;outfielderBlock;wasFouled;fouls;expectedGoalsOnTarget;bestBallCarryProgression;totalProgressiveBallCarriesDistance;progressiveBallCarriesCount;bigChanceMissed;wonContest;errorLeadToAShot;hitWoodwork;accurateCross;goals;totalOffside;goodHighClaim;totalKeeperSweeper;accurateKeeperSweeper;lastManTackle;errorLeadToAGoal
14083269;930267;Barcelona;Mallorca;Joan García;G;13;22.0;21.0;6.0;5.0;0.0;19.0;20.0;2.0;2.0;6.0;2.0;4.0;90.0;30.0;7.8;1.0;0.00034384;26.817488648892;4.0;19.949343517261;0.4549;0;0.9672;0.07;0.03;0.21;0.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;827212;Barcelona;Mallorca;Jules Koundé;D;23;84.0;76.0;4.0;1.0;0.0;37.0;37.0;39.0;47.0;4.0;0.0;0.0;90.0;104.0;6.7;12.0;0.0236987;179.93355815408;30.0;29.659994817241;0.0;2;0.0;0.22;0.08;0.0;0.0;1.0;2.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0901;2.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;1402913;Barcelona;Mallorca;Pau Cubarsí;D;5;108.0;100.0;5.0;2.0;0.0;41.0;45.0;59.0;63.0;3.0;0.0;0.0;90.0;123.0;7.5;9.0;0.0375234;380.77664404194;45.0;194.51222309749;0.0;2;0.0;0.35;0.3;0.24;0.0;0.0;3.0;5.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;1.0;1.0;0.0;1.0;0.1603;0.0;-0.09;3.0;1.0;1.0;1.0;3.0;0.2686;14.277942470262;60.522346449281;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;876214;Barcelona;Mallorca;Eric García;D;24;104.0;98.0;5.0;3.0;0.0;44.0;46.0;54.0;58.0;6.0;0.0;0.0;90.0;120.0;8.1;8.0;0.04651;241.66923204837;31.0;133.16513484716;0.0;0;0.0;0.51;0.21;0.23;0.0;0.0;2.0;3.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;1.0;4.0;1.0;1.0;0.0;2.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;17.118598633577;24.358864526082;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;997035;Barcelona;Mallorca;Alejandro Balde;D;3;89.0;84.0;3.0;2.0;0.0;28.0;28.0;56.0;61.0;6.0;0.0;0.0;90.0;112.0;6.9;15.0;0.0464923;329.04633046578;40.0;172.56335686931;0.0;0;0.0;0.0;0.27;0.21;0.0;3.0;0.0;6.0;2.0;0.0;5.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;31.831603226011;75.332338279051;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;1153270;Barcelona;Mallorca;Fermín López;M;16;55.0;51.0;4.0;4.0;1.0;5.0;7.0;46.0;48.0;2.0;0.0;0.0;84.0;67.0;7.3;7.0;0.284977;172.44880091194;26.0;53.713805702712;0.0;1;0.0;0.22;0.11;-0.13;0.0;0.0;1.0;3.0;6.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;2.0;4.0;4.0;1.0;0.0925;2.0;0.06;0.0;1.0;0.0;1.0;0.0;0.3236;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;1000483;Barcelona;Mallorca;Marc Casadó;M;17;97.0;90.0;1.0;1.0;0.0;31.0;33.0;59.0;64.0;4.0;0.0;0.0;90.0;107.0;7.3;9.0;0.0595258;185.82689102681;29.0;25.928947247138;0.0;1;0.0;0.22;0.08;0.17;0.0;0.0;0.0;3.0;5.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0552;1.0;0.01;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;789071;Barcelona;Mallorca;Dani Olmo;M;20;43.0;41.0;4.0;3.0;2.0;4.0;4.0;37.0;39.0;7.0;0.0;0.0;67.0;58.0;7.8;5.0;0.0875819;110.66750858587;13.0;37.350268361232;0.0;3;0.0;0.31;0.28;0.19;0.0;0.0;2.0;3.0;3.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0;1.0;2.0;2.0;3.0;0.0536;4.0;-0.19;0.0;1.0;0.0;0.0;1.0;0.0134;19.084608978866;30.642373857714;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;1402912;Barcelona;Mallorca;Lamine Yamal;F;10;62.0;52.0;3.0;1.0;0.0;11.0;12.0;41.0;50.0;3.0;0.0;0.0;78.0;88.0;8.0;22.0;0.270133;224.90875965785;29.0;115.44972678848;0.0;4;0.0;0.21;0.36;-0.02;0.0;5.0;0.0;5.0;3.0;0.0;1.0;5.0;0.0;2.0;1.0;0.0;1.0;1.0;1.0;3.0;0.8776;1.0;0.51;0.0;1.0;0.0;1.0;0.0;0.1142;18.380579823977;61.824184768505;4.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
14083269;41789;Barcelona;Mallorca;Robert Lewandowski;F;9;16.0;13.0;1.0;1.0;0.0;4.0;5.0;9.0;11.0;1.0;0.0;0.0;78.0;27.0;7.8;8.0;0.0179495;46.277488755073;7.0;-29.632915253743;0.0;2;0.0;-0.09;0.31;0.18;0.0;0.0;1.0;3.0;4.0;0.0;1.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;4.0;0.7695;0.0;0.52;2.0;1.0;0.0;1.0;1.0;0.915;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
