league;season;rank;team;points;matches_played;wins;draws;losses;goals_for;goals_against
73;2425;1;Real Madrid CF;49;19;16;2;1;45;19
73;2425;2;Club Atlético de Madrid;46;19;14;1;4;42;15
73;2425;3;FC Barcelona;43;19;14;4;1;52;20
73;2425;4;Athletic Club;39;19;11;2;6;32;13
73;2425;5;Real Club Celta de Vigo;36;19;11;5;3;32;21
73;2425;6;CA Osasuna;36;19;10;3;6;33;23
73;2425;7;Villarreal CF;34;19;9;3;7;43;27
73;2425;8;Real Betis Balompié;34;19;9;3;7;32;21
73;2425;9;Valencia CF;31;19;9;6;4;26;20
73;2425;10;Reial Club Deportiu Espanyol de Barcelona;30;19;8;5;6;23;20
73;2425;11;Real Sociedad de Fútbol;27;19;8;8;3;20;20
73;2425;12;Real Club Deportivo Mallorca;27;19;7;6;6;20;21
73;2425;13;Rayo Vallecano de Madrid;26;19;6;5;8;24;26
73;2425;14;CD Leganés;25;19;7;8;4;23;27
73;2425;15;Girona FC;24;19;7;9;3;27;30
73;2425;16;Deportivo Alavés;24;19;6;7;6;14;17
73;2425;17;Sevilla FC;24;19;6;7;6;17;23
73;2425;18;Getafe CF;19;19;4;8;7;15;19
73;2425;19;UD Las Palmas;17;19;4;10;5;21;29
73;2425;20;Real Valladolid CF;13;19;3;12;4;11;32
