league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;saves;goalsConceded;gameStarted;lostCorners;totalClearance;minsPlayed;totalPass;goalKicks;formationPlace;totalTackle;totalThrows;wonTackle;wasFouled;totalSubOff;fouls;yellowCard;ontargetScoringAtt;penaltyWon;totalScoringAtt;shotOffTarget;wonCorners;cornerTaken;goals;totalOffside;totalSubOn;penaltyFaced;penGoalsConceded;penaltyConceded;goalAssist;blockedScoringAtt
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;c7i0lduij4vsnluxisdnaxsk5;Antonio Sivera Salvá;Antonio Sivera;Antonio Sivera;1;Goalkeeper;Centre;1;20;4;1;1;2;2;90;33;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;d34tmogp5h4rwuo3pcxtwp0fe;Manuel Sánchez de la Peña;Manu Sánchez;Manu Sánchez;3;Defender;Left;3;21;0;1;1;1;3;90;28;0;3;5;8;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;ehrpztadwk9gg1943c4ahj105;Aleksandar Sedlar;Aleksandar Sedlar;A. Sedlar;4;Defender;Left/Centre;6;25;0;0;1;0;6;79;28;0;6;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;658ed5dqfrdd5fe7ayo9eo1rd;Facundo Tomás Garcés;Facundo Garcés;F. Garcés;2;Defender;Centre/Right;5;18;0;1;1;1;8;90;25;0;5;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;9tw6rz3lfmn06fzsabtx9ei95;Facundo Nahuel Tenaglia;Nahuel Tenaglia;N. Tenaglia;14;Defender;Right;2;21;0;1;1;2;1;90;32;0;2;3;8;3;1;0;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;4zve4017u2i3zvxlnjruv25t5;Antonio Blanco Conde;Antonio Blanco;Antonio Blanco;8;Defensive Midfielder;Left/Centre;4;35;0;1;1;1;1;90;38;0;4;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;16mj3l623plqx1hm9zvpvn5yh;Carlos Nahuel Benavídez Protesoni;Carlos Protesoni;C. Protesoni;23;Defensive Midfielder;Centre/Right;8;28;0;0;1;0;2;79;36;0;8;6;0;4;0;1;1;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;eiqt71z69beq7akuhot0foset;Carles Aleña Castillo;Carles Aleñá;Carles Aleñá;21;Attacking Midfielder;Left;11;34;0;1;1;0;0;90;38;0;11;1;0;1;1;0;2;0;1;0;2;1;1;1;0;0;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;bccp1nvtoc3n1q4g4sw1p7ro5;Jon Guridi Aldalur;Jon Guridi;Jon Guridi;18;Attacking Midfielder;Centre;10;15;0;0;1;0;0;63;22;0;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;bb2v7p23g1w8kb3nhuuwnil4a;Carlos Vicente Robles;Carlos Vicente;Carlos Vicente;7;Attacking Midfielder;Right;7;23;0;1;1;1;0;90;28;0;7;4;0;3;2;0;3;0;1;0;3;2;4;4;1;0;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;4l2rgx65vzgrrxorbc1edq8yd;Enrique García Martínez;Kike García;Kike García;17;Striker;Centre;9;10;0;0;1;1;0;63;15;0;9;0;0;0;1;1;0;0;0;0;3;3;0;0;0;1;0;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;d6vfmln3oxuel34y15hnp8bft;Tomás José Conechny;Tomás Conechny;T. Conechny;10;Substitute;Attacker;0;11;0;1;0;0;1;27;15;0;0;2;0;2;0;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0
73;2425;9mxwiv3sxbnzx0kjk8lgm7jtg;ala-osa;4dtdjgnpdq9uw4sdutti0vaar;duq3fr3o6fcddxihn6mgq1tlg;Adrián Hernández Hernández;Adrián Hernández Hernández;Adrián Pica;36;Substitute;Defender;0;3;0;1;0;0;3;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
