league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;saves;gameStarted;totalClearance;minsPlayed;goalKicks;cleanSheet;totalPass;accuratePass;formationPlace;fouls;ontargetScoringAtt;cornerTaken;totalTackle;shotOffTarget;wasFouled;totalScoringAtt;goals;totalThrows;lostCorners;wonTackle;wonCorners;blockedScoringAtt;goalAssist;totalSubOff;totalOffside;totalSubOn;goalsConceded;yellowCard
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;bahph7009sc73jl6s2bramn6d;Marko Dmitrović;Marko Dmitrovic;M. Dmitrović;13;Goalkeeper;Centre;1;2;1;2;90;4;1;26;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;3xxwjf3ymu1j9825xjuwuknah;Javier Hernández Carrera;Javi Hernández;Javi Hernández;20;Defender;Left;3;0;1;2;90;0;1;51;42;3;5;2;1;1;1;1;3;1;6;0;0;0;0;0;0;0;0;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;dvyl5rfgfkoplnwrs73rkidhx;Sergio González Poirrier;Sergio González;Sergio González;6;Defender;Left/Centre;6;0;1;3;90;0;1;52;49;6;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;48ctbksxfm5hrdmwphb4eril1;Jorge Sáenz de Miera Colmeiro;Jorge Sáenz;Jorge Sáenz;3;Defender;Centre/Right;5;0;1;2;90;0;1;56;51;5;1;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;9p87liko3b1jjpjmi19135y0a;Adrià Altimira Reynaldos;Adrià Alti;Adrià Alti;2;Defender;Right;2;0;1;3;90;0;1;46;41;2;2;0;0;1;1;2;1;0;6;1;1;1;0;0;0;0;0;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;8e6qzf8dp3c9lch7tu5r03qqc;Yan Diomande;Yan Diomande;Y. Diomande;30;Midfielder;Left;11;0;1;0;63;0;0;28;26;11;0;1;0;4;1;2;3;1;0;1;4;1;1;1;1;0;0;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;9g4devlvymukexrvfgkipd6tx;Renato Fabrizio Tapia Cortijo;Renato Tapia;R. Tapia;5;Midfielder;Left/Centre;8;0;1;0;83;0;0;51;46;8;1;0;0;1;1;2;1;0;1;0;1;0;0;0;1;0;0;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;bxzhhmig5if9pznqa0fgxlyei;Seydouba Cissé;Seydouba Cissé;S. Cissé;8;Midfielder;Centre/Right;4;0;1;0;74;0;0;39;37;4;0;0;0;2;1;1;2;0;1;0;1;0;1;1;1;0;0;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;4jjk6jqgz3w4uvm3bvhl9t016;Juan Cruz Díaz Espósito;Juan Cruz;Juan Cruz;11;Midfielder;Right;7;0;1;0;90;0;1;24;21;7;0;1;0;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;entqiwoor6dhwqcg5s82krfth;Munir El Haddadi Mohamed;Munir El Haddadi;M. El Haddadi;23;Striker;Left/Centre;9;0;1;0;63;0;0;27;24;9;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;1;0;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;pr0nfcph8mlm3plq9b69o8a1;Daniel Raba Antolín;Dani Raba;Dani Raba;10;Striker;Centre/Right;10;0;1;1;75;0;0;34;30;10;1;2;2;0;1;1;4;0;0;0;0;1;1;0;1;0;0;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;3o41frgi9jxrms6rvc6ml1plh;Darko Brašanac;Darko Brasanac;D. Brašanac;14;Substitute;Midfielder;0;0;0;0;16;0;0;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;1fypjwixici9u6z9ttpso5ejt;Julián Antonio Chicco;Julián Chicco;J. Chicco;24;Substitute;Midfielder;0;0;0;1;7;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;7qy3e0pry4wdkimrffnus4zu2;Diego García Campos;Diego García;Diego García;19;Substitute;Attacker;0;0;0;0;27;0;0;3;2;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;bkehljspqbj6tz0peqjivkvai;Luís Henriques de Barros Lopes;Luís Henriques de Barros Lopes;Duk;18;Substitute;Attacker;0;0;0;0;27;0;0;9;6;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;3krm0f4yr1l80j1sd7823f9xn;a233iunrs5zqk5q62xv0oogdl;Miguel de la Fuente Escudero;Miguel de la Fuente;Miguel de la Fuente;9;Substitute;Attacker;0;0;0;0;15;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;e36lcgg2vegiecbez2j15fl9m;Karl Jakob Hein;Karl Hein;K. Hein;13;Goalkeeper;Centre;1;3;1;1;90;6;0;28;22;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;8rcole4a6y4fkamv87q3hqk0l;Henrique Silva Milagres;Henrique Silva Milagres;Henrique;17;Defender;Left;3;0;1;2;90;0;0;37;31;3;1;0;1;3;1;0;1;0;6;0;0;0;0;0;0;0;0;3;0
73;2425;9ncf3apey31cqevqfiuzefoyc;leg-vll;4jelr92fsge73q39is6qvhxb3;5uig03vbbv71f0q31cp3vfbv9;Eray Ervin Cömert;Eray Cömert;E. Cömert;15;Defender;Left/Centre;6;0;1;8;90;1;0;47;42;6;2;0;0;3;0;1;0;0;0;1;2;0;0;0;0;0;0;3;0
