league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;cleanSheet;saves;accuratePass;minsPlayed;totalPass;goalKicks;gameStarted;totalClearance;formationPlace;totalThrows;wonCorners;wonTackle;totalTackle;wasFouled;lostCorners;fouls;totalScoringAtt;ontargetScoringAtt;shotOffTarget;totalSubOff;cornerTaken;blockedScoringAtt;yellowCard;totalOffside;totalSubOn
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;9h6xf4ac4rpsjpummcdx26z9;Augusto Martín Batalla Barga;Augusto Batalla;A. Batalla;13;Goalkeeper;Centre;1;1;2;19;90;30;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;amt4voyjzhnvr55t08hzlw50q;Josep María Chavarría Pérez;Pep Chavarría;Pep Chavarría;3;Defender;Left;3;1;0;44;90;58;0;1;1;3;13;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;94jrxsnf1ta2u65ommyge7bo5;Aridane Hernández Umpiérrez;Aridane Hernández;Aridane Hernández;5;Defender;Left/Centre;6;1;0;57;90;62;4;1;3;6;0;0;1;1;2;1;1;0;0;0;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;533095rnz0k8mxqe6gzn0mfo5;Florian Grégoire Claude Lejeune;Florian Lejeune;F. Lejeune;24;Defender;Centre/Right;5;1;0;55;90;66;0;1;7;5;0;1;0;0;0;0;1;3;1;2;0;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;bpfp895223p7w0px2ui3nb2l1;Iván Balliu Campeny;Iván Balliu;I. Balliu;20;Defender;Right;2;0;0;23;59;32;0;1;0;2;5;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;u04ao1ldrjjesgqq52o7ghqt;Unai López Cabrera;Unai López;Unai López;17;Defensive Midfielder;Left/Centre;4;0;0;29;50;30;0;1;0;4;0;1;1;3;1;0;1;2;1;0;1;1;1;1;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;1ho7koiegfhsuevuum2meibu2;Pathé Ismaël Ciss;Pathé Ciss;P. Ciss;6;Defensive Midfielder;Centre/Right;8;1;0;28;90;35;0;1;1;8;0;0;1;3;1;0;2;1;0;0;0;0;1;1;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;8eh38t4oyyt728co362f6uqqd;Álvaro García Rivera;Álvaro García;Álvaro García;18;Attacking Midfielder;Left;11;1;0;23;90;29;0;1;0;11;1;2;0;0;0;0;1;6;3;3;0;0;0;0;1;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;3ca7tqrdasmeop6ud9zot0wdl;Isaac Palazón Camacho;Isi Palazón;Isi Palazón;7;Attacking Midfielder;Centre;10;0;0;28;89;36;0;1;0;10;1;1;0;0;2;1;0;6;1;1;1;9;4;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;38dhmhce7deuqgqmc3p7nhai2;Andrei Florin Rațiu;Andrei Ratiu;A. Rațiu;2;Attacking Midfielder;Right;7;1;0;36;90;43;0;1;2;7;3;2;1;1;2;0;1;2;0;1;0;0;1;0;0;0
73;2425;9p5ge07j60hwe6c5gxq6848wk;ray-mll;3budh3j9xivsid3ptm8ptpy4k;c157xhi78x9cykn7xz816bjd;Jorge de Frutos Sebastián;Jorge de Frutos;Jorge de Frutos;19;Striker;Centre;9;0;0;12;89;14;0;1;0;9;0;2;0;0;2;0;2;3;1;2;1;0;0;0;2;0
