league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;totalPass;gameStarted;goalKicks;minsPlayed;lostCorners;goalsConceded;accuratePass;saves;formationPlace;fouls;totalThrows;totalClearance;totalScoringAtt;blockedScoringAtt;goalAssist;totalTackle;ontargetScoringAtt;wasFouled;goals;totalSubOff;wonTackle;shotOffTarget;wonCorners;cornerTaken;totalSubOn;yellowCard;totalOffside
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;74mcjsm72vr3l9pw2i4qfjchj;5mj2vxkh3pmkbwj139mp93n4l;Diego José Conde Alcolado;Diego Conde;Diego Conde;13;Goalkeeper;Centre;1;28;1;11;90;1;2;27;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;74mcjsm72vr3l9pw2i4qfjchj;eh70fwampgdyfv3hu25o2qx;Alfonso Pedraza Sag;Alfonso Pedraza;Alfonso Pedraza;24;Defender;Left;3;31;1;0;90;0;2;26;0;3;1;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;74mcjsm72vr3l9pw2i4qfjchj;59knsm910b1ruk024rkksla3u;Logan Evans Costa;Logan Evans Costa;Logan Costa;2;Defender;Left/Centre;6;76;1;2;90;0;2;71;0;6;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;74mcjsm72vr3l9pw2i4qfjchj;bxp1wr68i1mykrkj3083mvml0;Willy Kambwala Ndengushi;Willy Kambwala;W. Kambwala;5;Defender;Centre/Right;5;80;1;0;90;3;2;76;0;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;74mcjsm72vr3l9pw2i4qfjchj;9rtfwu0z7qtk1kglenp2vm13o;Pau Navarro Badenes;Pau Navarro;Pau Navarro;26;Defender;Right;2;73;1;0;90;0;2;67;0;2;1;5;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;74mcjsm72vr3l9pw2i4qfjchj;4eezya3lwcwur6c8s6rl0rzvu;Yéremy Jesús Pino Santos;Yéremy Pino;Yeremy Pino;21;Midfielder;Left;11;20;1;0;56;0;1;17;0;11;2;1;0;1;0;0;4;1;2;1;1;3;0;0;0;0;0;0
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;74mcjsm72vr3l9pw2i4qfjchj;28psc296gj3umo59qqha8jil1;Denis Suárez Fernández;Denis Suárez;Denis Suárez;6;Midfielder;Left/Centre;8;54;1;0;81;0;1;48;0;8;0;0;0;1;0;0;3;0;1;0;1;1;1;0;0;0;0;0
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;74mcjsm72vr3l9pw2i4qfjchj;ekm47qd8w1x0456lm1tmf5re1;Pape Alassane Gueye;Pape Gueye;P. Gueye;18;Midfielder;Centre/Right;4;53;1;0;75;1;1;42;0;4;1;0;2;4;1;0;0;3;1;2;1;0;0;1;0;0;0;0
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;74mcjsm72vr3l9pw2i4qfjchj;acx78ftnm61hm01wpmme77hbe;Tajon Trevor Buchanan;Tajon Buchanan;T. Buchanan;9;Midfielder;Right;7;22;1;0;75;0;1;21;0;7;1;2;0;1;1;1;1;0;4;0;1;0;0;0;0;0;0;0
73;2425;9pnpb9fgb07cjgi3tpo9pesr8;vil-sev;74mcjsm72vr3l9pw2i4qfjchj;1wileoy8mxtd2t1b106uhwzro;Thierno Mamadou Barry;Thierno Barry;T. Barry;15;Striker;Left/Centre;9;10;1;0;90;0;2;6;0;9;1;0;1;2;0;1;0;1;2;0;0;0;1;0;0;0;0;0
