id;name;slug;short_name;team;country;position;second_position;third_position;weight;height;shirt_number;pref_foot;date_birth;contract_until;market_value
826643;Kylian Mbappé;kylian-mbappe;K. Mbappé;Real Madrid;France;ST;;;73.0;178.0;10.0;Right;914112000.0;1877472000.0;212000000.0
1402912;Lamine Yamal;;;;;;;;;;;;;;
868812;Vinícius Júnior;;;;;;;;;;;;;;
991011;Jude Bellingham;;;;;;;;;;;;;;
831005;Raphinha;;;;;;;;;;;;;;
910536;Rodrygo;;;;;;;;;;;;;;
992587;Pedri;;;;;;;;;;;;;;
41789;Robert Lewandowski;;;;;;;;;;;;;;
1174937;Endrick;;;;;;;;;;;;;;
1091116;Arda Güler;;;;;;;;;;;;;;
831808;Federico Valverde;;;;;;;;;;;;;;
814590;Marcus Rashford;;;;;;;;;;;;;;
1103693;Pablo Gavi;;;;;;;;;;;;;;
835485;Brahim Díaz;;;;;;;;;;;;;;
944656;Julián Alvarez;;;;;;;;;;;;;;
958380;Antony;;;;;;;;;;;;;;
795064;Trent Alexander-Arnold;;;;;;;;;;;;;;
70988;Thibaut Courtois;;;;;;;;;;;;;;
795222;Frenkie de Jong;;;;;;;;;;;;;;
142622;Antonio Rüdiger;;;;;;;;;;;;;;
789071;Dani Olmo;;;;;;;;;;;;;;
973887;Eduardo Camavinga;;;;;;;;;;;;;;
1403559;Franco Mastantuono;;;;;;;;;;;;;;
1153270;Fermín López;;;;;;;;;;;;;;
1176744;Dean Huijsen;;;;;;;;;;;;;;
1402913;Pau Cubarsí;;;;;;;;;;;;;;
138572;Daniel Carvajal;;;;;;;;;;;;;;
827212;Jules Koundé;;;;;;;;;;;;;;
859025;Aurélien Tchouaméni;;;;;;;;;;;;;;
855833;Ferran Torres;;;;;;;;;;;;;;
822519;Éder Militão;;;;;;;;;;;;;;
925097;Ronald Araújo;;;;;;;;;;;;;;
997035;Alejandro Balde;;;;;;;;;;;;;;
88625;Marc-André Ter Stegen;;;;;;;;;;;;;;
1156645;Raúl Asencio;;;;;;;;;;;;;;
930267;Joan García;;;;;;;;;;;;;;
1402716;Gonzalo García;;;;;;;;;;;;;;
85859;Antoine Griezmann;;;;;;;;;;;;;;
1162107;Roony Bardghji;;;;;;;;;;;;;;
50490;Wojciech Szczęsny;;;;;;;;;;;;;;
66492;David Alaba;;;;;;;;;;;;;;
138892;João Cancelo;;;;;;;;;;;;;;
824200;Ademola Lookman;;;;;;;;;;;;;;
1085400;Nico Williams;;;;;;;;;;;;;;
1085081;Álvaro Carreras;;;;;;;;;;;;;;
1926085;Dro Fernández;;;;;;;;;;;;;;
792073;Ferland Mendy;;;;;;;;;;;;;;
547838;Dani Ceballos;;;;;;;;;;;;;;
851271;Fran García;;;;;;;;;;;;;;
1000483;Marc Casadó;;;;;;;;;;;;;;
186795;Andreas Christensen;;;;;;;;;;;;;;
1526618;Marc Bernal;;;;;;;;;;;;;;
876214;Eric García;;;;;;;;;;;;;;
115665;Cédric Bakambu;;;;;;;;;;;;;;
1402908;Hector Fort;;;;;;;;;;;;;;
794949;Iñaki Peña;;;;;;;;;;;;;;
1011375;Abdessamad Ezzalzouli;;;;;;;;;;;;;;
1094827;Gerard Martín;;;;;;;;;;;;;;
316148;Thomas Partey;;;;;;;;;;;;;;
1482424;Claudio Echeverri;;;;;;;;;;;;;;
1082981;Pablo Torre;;;;;;;;;;;;;;
879694;Pape Gueye;;;;;;;;;;;;;;
991421;Azzedine Ounahi;;;;;;;;;;;;;;
34120;Alexis Sánchez;;;;;;;;;;;;;;
1590761;Toni Fernández;;;;;;;;;;;;;;
944660;Thiago Almada;;;;;;;;;;;;;;
359272;Sofyan Amrabat;;;;;;;;;;;;;;
103417;Isco;;;;;;;;;;;;;;
946381;Akor Adams;;;;;;;;;;;;;;
880218;Takefusa Kubo;;;;;;;;;;;;;;
783374;Iñaki Williams;;;;;;;;;;;;;;
309078;Alexander Sørloth;;;;;;;;;;;;;;
1393673;Etta Eyong;;;;;;;;;;;;;;
901325;Nicolás González;;;;;;;;;;;;;;
1901143;Víctor Valdepeñas;;;;;;;;;;;;;;
904970;Conor Gallagher;;;;;;;;;;;;;;
1154549;Mario Martín;;;;;;;;;;;;;;
1099352;Giuliano Simeone;;;;;;;;;;;;;;
1089108;Ilias Akhomach;;;;;;;;;;;;;;
1142689;David Jiménez;;;;;;;;;;;;;;
798835;Giovani Lo Celso;;;;;;;;;;;;;;
1154587;Álvaro Rodriguez;;;;;;;;;;;;;;
831799;Nahuel Molina;;;;;;;;;;;;;;
1009372;Georges Mikautadze;;;;;;;;;;;;;;
35532;Salomón Rondón;;;;;;;;;;;;;;
1485300;Vitor Reis;;;;;;;;;;;;;;
593526;Nicolas Pépé;;;;;;;;;;;;;;
69768;Jan Oblak;;;;;;;;;;;;;;
823622;Mikel Oyarzabal;;;;;;;;;;;;;;
758664;Charles Pickel;;;;;;;;;;;;;;
1087359;Renato Veiga;;;;;;;;;;;;;;
1587196;Jofre Torrents ;;;;;;;;;;;;;;
1145642;Victor Muñoz;;;;;;;;;;;;;;
17651;Santi Cazorla;;;;;;;;;;;;;;
1211632;Wesley;;;;;;;;;;;;;;
1939137;Tomás Marqués;;;;;;;;;;;;;;
149734;Aymeric Laporte;;;;;;;;;;;;;;
1403364;Youssef Enriquez Lekhedim;;;;;;;;;;;;;;
1092769;Yáser Asprilla;;;;;;;;;;;;;;
35612;Axel Witsel;;;;;;;;;;;;;;
910031;Alejandro Baena;;;;;;;;;;;;;;
353138;Marcos Llorente;;;;;;;;;;;;;;
887055;Cucho Hernández;;;;;;;;;;;;;;
