league;season;id;name;slug;short_name;full_name;code;manager;venue;country;primary_colour;secondary_colour;text_colour;foundation
73;2526;2829;Real Madrid;real-madrid;Real Madrid;Real Madrid;RMA;Álvaro Arbeloa;Bernabéu;Spain;#ffffff;#004996;#004996;-2140387200
73;2526;2851;Real Oviedo;real-oviedo;Real Oviedo;Real Oviedo;OVI;Guillermo Almada;Carlos Tartiere;Spain;#3300ff;#ffffff;#ffffff;-1381276800
73;2526;2885;Deportivo Alavés;deportivo-alaves;Alavés;Deportivo Alavés;ALA;Eduardo Coudet;Estadio de Mendizorroza;Spain;#0232a0;#ffffff;#ffffff;-1544400000
73;2526;2821;Celta Vigo;celta-vigo;Celta;Celta Vigo;CEL;Claudio Giráldez;Estadio Abanca Balaídos;Spain;#6cace4;#ffffff;#ffffff;-1463011200
73;2526;2816;Real Betis;real-betis;Real Betis;Real Betis;BET;Manuel Pellegrini;Benito Villamarin;Spain;#ffffff;#006633;#006633;-1966204800
73;2526;2814;Espanyol;espanyol;Espanyol;Espanyol;ESP;Manolo Gonzalez;RCDE Stadium;Spain;#ffffff;#1369d2;#1369d2;-2183760000
73;2526;2859;Getafe;getafe;Getafe;Getafe;GET;José Bordalás;Coliseum Alfonso Pérez;Spain;#00369e;#ffffff;#ffffff;426470400
73;2526;2828;Valencia;valencia;Valencia;Valencia;VAL;Carlos Corberán;Mestalla;Spain;#ffffff;#000000;#000000;-1602892800
73;2526;2836;Atlético Madrid;atletico-madrid;Atl. Madrid;Atlético Madrid;ATM;Diego Simeone;Riyadh Air Metropolitano;Spain;#ffffff;#c40000;#c40000;-2104444800
73;2526;24264;Girona FC;girona-fc;Girona;Girona FC;GIR;Michel;Estadi Montilivi;Spain;#ffffff;#ff0000;#ff0000;-1244592000
73;2526;2818;Rayo Vallecano;rayo-vallecano;Rayo Vallecano;Rayo Vallecano;RAY;Iñigo Pérez;Estadio de Vallecas;Spain;#ffffff;#ffffff;#ffffff;-1438819200
73;2526;2824;Real Sociedad;real-sociedad;Real Sociedad;Real Sociedad;RSO;Pellegrino Matarazzo;Reale Arena;Spain;#ffffff;#0077c7;#0077c7;-1927756800
73;2526;2820;Osasuna;osasuna;Osasuna;Osasuna;OSA;Alessio Lisci;Estadio El Sadar;Spain;#cc0000;#14213d;#14213d;-1550188800
73;2526;2846;Elche;elche;Elche;Elche;ELC;Eder Sarabia;Estadio Martínez Valero;Spain;#ffffff;#336600;#336600;-1494115200
73;2526;2849;Levante UD;levante-ud;Levante;Levante UD;LEV;Luís Castro;Ciudad de Valencia;Spain;#0e3b68;#d70000;#d70000;-1927756800
73;2526;2819;Villarreal;villarreal;Villarreal;Villarreal;VIL;Marcelino;Estadio de la Ceramica;Spain;#ffff00;#013765;#013765;-1477353600
73;2526;2817;Barcelona;barcelona;Barcelona;Barcelona;BAR;Hans-Dieter Flick;Spotify Camp Nou;Spain;#154284;#9d1009;#9d1009;-2211840000
73;2526;2826;Mallorca;mallorca;Mallorca;Mallorca;MLL;Martín Demichelis;Estadi de Son Moix;Spain;#cc0000;#000000;#000000;-1698624000
73;2526;2833;Sevilla;sevilla;Sevilla;Sevilla;SEV;Matías Almeyda;Ramón Sánchez Pizjuán;Spain;#ffffff;#cc1020;#cc1020;-2522448000
73;2526;2825;Athletic Club;athletic-club;Athletic Club;Athletic Club;ATH;Ernesto Valverde;San Mamés;Spain;#aa0000;#ffffff;#ffffff;-2274825600
