league;season;id;name;slug;capacity;city;country;latitude;longitude;matches;home_goals;away_goals;avg_red_cards_game;avg_ck_game;home_wins_perc;away_wins_perc;draws_perc
73;2526;714;Olímpic Lluís Companys;ol-mpic-llu-s-companys;55926;Barcelona;Spain;41.36472;2.155645;0;155;66;0.14035087719298;21.19298245614;75.438596491228;15.789473684211;8.7719298245614
73;2526;730;Ramón Sánchez Pizjuán;ram-n-s-nchez-pizju-n;42714;Seville;Spain;37.384634;-5.971156;0;640;366;0.28804347826087;15.940217391304;57.608695652174;20.380434782609;19.836956521739
73;2526;751;San Mamés;san-mam-s;53289;Bilbao;Spain;43.264204;-2.949391;0;670;353;0.21428571428571;13.322660098522;55.172413793103;19.950738916256;22.906403940887
73;2526;11380;Estadi Montilivi;estadi-montilivi;14624;Girona;Spain;41.9611;2.8278;0;383;270;0.25;15.787313432836;47.761194029851;28.731343283582;20.522388059701
73;2526;760;Estadi de Son Moix;estadi-de-son-moix;26020;Palma;Spain;39.589935;2.630116;0;381;305;0.30201342281879;13.395973154362;44.630872483221;26.174496644295;26.174496644295
73;2526;18391;Riyadh Air Metropolitano;c-vitas-metropolitano;70460;Madrid;Spain;40.436053;-3.599716;0;444;172;0.20689655172414;19.051724137931;67.241379310345;10.344827586207;18.534482758621
73;2526;1078;Estadio de la Cartuja;estadio-de-la-cartuja;70000;Seville;Spain;37.417235;-6.004613;0;49;42;0.21212121212121;13.636363636364;42.424242424242;21.212121212121;21.212121212121
73;2526;1045;Benito Villamarin;benito-villamarin;60721;Seville;Spain;37.356535;-5.981757;0;471;385;0.29746835443038;15.481012658228;44.620253164557;27.53164556962;26.898734177215
73;2526;691;Mestalla;mestalla;49430;Valencia;Spain;39.474528;-0.358157;0;551;362;0.23442136498516;15.522255192878;49.554896142433;23.442136498516;24.925816023739
73;2526;709;Spotify Camp Nou;spotify-camp-nou;99354;Barcelona;Spain;41.380881;2.122818;0;882;254;0.22590361445783;15.012048192771;73.493975903614;9.6385542168675;13.55421686747
73;2526;619;Estadio de la Ceramica;estadio-de-la-ceramica;23500;Villarreal;Spain;39.944208;-0.103405;0;621;399;0.19832402234637;15.371508379888;48.882681564246;24.022346368715;24.022346368715
73;2526;581;Reale Arena;reale-arena;40000;San Sebastian;Spain;43.301337;-1.973552;0;537;377;0.22284122562674;15.958217270195;45.682451253482;25.626740947075;25.348189415042
73;2526;697;Estadio Abanca Balaídos;municipal-de-balaidos;24870;Vigo;Spain;42.211122;-8.739231;0;453;388;0.26182965299685;14.16403785489;40.694006309148;30.599369085173;26.182965299685
73;2526;2440;Estadio de Vallecas;estadio-de-vallecas;14708;Madrid;Spain;40.3921;-3.6587;0;398;357;0.26962457337884;16.201365187713;39.249146757679;30.37542662116;26.621160409556
73;2526;1307;RCDE Stadium;rcde-stadium;40000;Cornella;Spain;41.347807;2.074801;0;423;360;0.29545454545455;14.909090909091;43.506493506494;29.545454545455;24.675324675325
73;2526;14888;Estadio Municipal de Butarque;estadio-municipal-de-butarque;12454;Leganes;Spain;40.340375;-3.760651;0;346;263;0.21978021978022;14.589743589744;42.490842490842;26.007326007326;27.838827838828
73;2526;739;Estadio El Sadar;estadio-el-sadar;23576;Pamplona;Spain;42.796662;-1.637131;0;376;337;0.28476821192053;13.814569536424;41.721854304636;27.483443708609;27.152317880795
73;2526;607;Ciudad de Valencia;ciudad-de-valencia;26354;Valencia;Spain;39.4946;-0.3633;0;370;322;0.2962962962963;16.933333333333;41.851851851852;25.555555555556;28.518518518519
73;2526;1042;Estadio Martínez Valero;estadio-mart-nez-valero;31388;Elche;Spain;38.267044;-0.663305;0;379;303;0.29757785467128;14.937716262976;40.484429065744;26.989619377163;30.449826989619
73;2526;754;Bernabéu;santiago-bernab-u;84744;Madrid;Spain;40.453;-3.6883;0;922;332;0.1763085399449;17.539944903581;72.176308539945;9.9173553719008;14.876033057851
73;2526;608;Coliseum Alfonso Pérez;coliseum-alfonso-p-rez;17393;Getafe;Spain;40.325725;-3.714933;0;317;237;0.30597014925373;15.597014925373;41.044776119403;29.477611940299;27.238805970149
73;2526;2842;Carlos Tartiere;carlos-tartiere;30500;Oviedo;Spain;43.360872;-5.870332;0;319;206;0.26446280991736;17.553719008264;48.347107438017;18.181818181818;30.578512396694
73;2526;26762;Estadi Johan Cruyff;estadi-johan-cruyff;6000;Barcelona;Spain;41.3742;2.050553;0;464;84;0.1203007518797;4.1654135338346;75.93984962406;8.2706766917293;11.278195488722
73;2526;9311;Estadio de Mendizorroza;estadio-de-mendizorroza;19840;Vitoria-Gasteiz;Spain;42.8371;-2.6882;0;314;289;0.26334519572954;15.380782918149;39.857651245552;28.825622775801;28.825622775801
