match_id;team;opponent;Ball possession;Expected goals;Big chances;Total shots;Goalkeeper saves;Corner kicks;Fouls;Passes;Tackles;Free kicks;Yellow cards;Shots on target;Hit woodwork;Shots off target;Blocked shots;Shots inside box;Shots outside box;Big chances scored;Big chances missed;Through balls;Touches in penalty area;Fouled in final third;Offsides;Accurate passes;Throw-ins;Final third entries;Final third phase;Long balls;Crosses;Duels;Dispossessed;Ground duels;Aerial duels;Dribbles;Tackles won;Total tackles;Interceptions;Recoveries;Clearances;Total saves;Goals prevented;Big saves;High claims;Goal kicks;Red cards;Errors lead to a shot;Errors lead to a goal;Punches;Penalty saves
14083257;Deportivo Alavés;Getafe;60;2.02;5;13;3;6;20;404;17;20;2.0;5;0;8;0;11;2;0.0;5;1.0;19;1;3;315;26;47;51;26;5;48;16;42;25;6;11;17;6;46;22;3;-0.0694;1;0.0;10;0.0;0.0;0.0;0.0;0.0
14083257;Getafe;Deportivo Alavés;40;1.91;2;17;5;3;20;274;28;19;4.0;5;0;6;6;10;7;1.0;1;0.0;23;4;2;180;22;58;58;32;4;52;5;55;18;7;10;28;18;50;27;5;1.5172;2;1.0;10;0.0;0.0;0.0;0.0;0.0
14083260;Athletic Club;Levante UD;55;2.08;5;22;1;4;17;502;10;10;2.0;7;0;9;6;14;8;3.0;2;4.0;32;3;3;437;16;62;110;26;4;43;6;30;13;10;7;10;11;57;23;1;-1.0976;0;2.0;4;0.0;1.0;0.0;0.0;0.0
14083260;Levante UD;Athletic Club;45;0.51;1;6;3;3;10;400;13;17;1.0;3;0;2;1;2;4;0.0;1;1.0;12;2;3;314;12;46;24;31;3;57;5;44;13;13;7;13;7;46;20;3;-0.8663;1;2.0;13;1.0;1.0;0.0;0.0;0.0
14083263;Atlético Madrid;Real Betis;65;0.67;1;10;3;7;12;678;7;3;4.0;5;1;4;1;8;2;0.0;1;1.0;28;1;6;605;15;90;171;15;6;44;6;17;14;7;4;7;6;56;10;3;-0.3652;0;0.0;5;0.0;1.0;0.0;0.0;0.0
14083263;Real Betis;Atlético Madrid;35;0.7;2;8;5;3;3;371;15;12;1.0;4;0;3;1;3;5;0.0;2;0.0;5;2;1;304;12;40;54;26;0;56;4;32;7;6;8;15;12;39;35;5;1.3102;1;1.0;13;0.0;0.0;0.0;0.0;0.0
14083269;Barcelona;Mallorca;76;2.73;4;24;4;12;7;774;15;9;0.0;7;1;6;11;11;13;2.0;2;2.0;36;2;0;705;19;76;208;24;1;51;11;32;12;8;11;15;8;43;15;4;0.9672;1;0.0;4;0.0;2.0;0.0;0.0;0.0
14083269;Mallorca;Barcelona;24;0.8;1;9;4;3;9;235;24;7;0.0;4;0;3;2;6;3;0.0;1;2.0;15;0;3;165;16;24;26;24;3;49;7;31;12;1;15;24;8;40;39;4;-0.5052;2;0.0;9;0.0;0.0;0.0;0.0;0.0
14083292;Real Sociedad;Elche;34;2.63;3;11;4;2;14;296;15;8;0.0;3;0;7;1;8;3;2.0;1;1.0;21;1;2;226;20;48;51;25;1;49;2;29;18;6;10;15;11;52;15;4;1.0544;1;0.0;5;0.0;0.0;0.0;0.0;0.0
14083292;Elche;Real Sociedad;66;1.27;2;11;0;4;8;592;16;14;4.0;5;0;5;1;7;4;1.0;2;2.0;22;0;0;504;20;58;103;13;1;51;11;35;14;5;9;16;3;40;12;0;-0.4088;0;1.0;9;0.0;0.0;1.0;0.0;0.0
14083303;Villarreal;Espanyol;49;0.77;3;10;1;5;18;428;10;11;3.0;3;0;4;3;7;3;3.0;0;0.0;22;0;1;378;11;36;62;13;2;53;4;29;17;9;6;10;8;40;34;1;-0.0469;1;0.0;7;0.0;1.0;0.0;1.0;0.0
14083303;Espanyol;Villarreal;51;0.51;1;9;0;8;11;439;13;18;3.0;2;0;5;2;4;5;1.0;1;0.0;14;3;0;374;15;51;83;25;3;47;3;34;7;7;8;13;8;26;23;0;-2.2058;0;0.0;7;0.0;0.0;0.0;0.0;0.0
14083315;Sevilla;Girona FC;51;0.78;1;11;5;5;16;432;20;13;3.0;3;1;7;1;6;5;0.0;1;0.0;18;0;5;372;21;43;114;22;3;53;12;43;14;10;17;20;6;41;21;5;1.0159;3;0.0;9;0.0;2.0;0.0;0.0;1.0
14083315;Girona FC;Sevilla;49;2.56;4;15;2;7;13;421;19;15;3.0;6;0;5;4;10;5;0.0;4;1.0;21;3;0;353;12;42;81;21;4;47;8;42;9;8;15;19;7;43;28;2;-0.1033;0;5.0;8;0.0;1.0;1.0;0.0;0.0
14083327;Valencia;Real Madrid;40;0.44;1;7;4;5;10;359;18;13;1.0;0;1;5;2;4;3;0.0;1;1.0;21;0;1;283;21;45;57;21;4;49;10;33;11;2;12;18;10;41;33;4;-0.7043;2;1.0;6;0.0;0.0;0.0;0.0;0.0
14083327;Real Madrid;Valencia;60;0.96;2;11;0;8;13;558;17;10;1.0;6;0;4;1;7;4;1.0;1;1.0;20;1;3;495;16;76;154;18;1;51;10;30;16;5;12;17;3;41;27;0;0.0;0;0.0;7;0.0;1.0;0.0;0.0;0.0
