league;season;id;name;short_name;match_name;first_name;last_name;team;nationality;position;shirt_number
73;2425;1tctbwsidibct7wphjgv8mdm2;Julen Agirrezabala Astúlez;Julen Agirrezabala;Julen Agirrezabala;Julen;Agirrezabala Astúlez;Athletic Club;Spain;Goalkeeper;13
73;2425;1xsrdgt40nb6p9qvt6mf272fo;Alejandro Rego Mora;Alejandro Rego;Alejandro Rego;Alejandro;Rego Mora;Athletic Club;Spain;Midfielder;35
73;2425;23d0t7gqlra3jkskn18bh752i;Álvaro Djaló Dias-Fernandes;Álvaro Djaló Dias-Fernandes;Álvaro Djaló;Álvaro;Djaló Dias-Fernandes;Athletic Club;Guinea-Bissau;Attacker;11
73;2425;26wj6flfqi59vgz6vwjgur2ay;Nicolás Serrano Galdeano;Nico Serrano;Nico Serrano;Nicolás;Serrano Galdeano;Athletic Club;Spain;Attacker;22
73;2425;2blue4kkn5uryu76u55b3wp3o;Malcom Abdulai Ares Djaló;Malcom Abdulai Ares Djaló;Adu Ares;Malcom Abdulai;Ares Djaló;Athletic Club;Spain;Attacker;23
73;2425;352ywlfcjt329s7etjn4rkui2;Beñat Prados Díaz;Beñat Prados;Beñat Prados;Beñat;Prados Díaz;Athletic Club;Spain;Midfielder;24
73;2425;3hep7726yy75p4gj3o122tqms;Endika Buján de Rueda;Endika Bujan;Endika Buján;Endika;Buján de Rueda;Athletic Club;Spain;Attacker;43
73;2425;3tzvbdszdrj1tayik9igbve8l;Gorka Guruzeta Rodríguez;Gorka Guruzeta;Gorka Guruzeta;Gorka;Guruzeta Rodríguez;Athletic Club;Spain;Attacker;12
73;2425;43g9qpb7gic5w7v38259ykt1w;Beñat Gerenabarrena Zendoia;Beñat Gerenabarrena;Beñat Gerenabarrena;Beñat;Gerenabarrena Zendoia;Athletic Club;Spain;Midfielder;29
73;2425;4vlurpsi44g09g159t61u83bp;Unai Simón Mendibil;Unai Simón;Unai Simón;Unai;Simón Mendibil;Athletic Club;Spain;Goalkeeper;1
73;2425;5ayo0fp6wod7cqg71e38zdz4k;Adama Boiro Boiro;Adama Boiro;Adama Boiro;Adama;Boiro Boiro;Athletic Club;Spain;Defender;32
73;2425;5kd57453a90zahgdxwkghr816;Aitor Paredes Casamichana;Aitor Paredes;Aitor Paredes;Aitor;Paredes Casamichana;Athletic Club;Spain;Defender;4
73;2425;66jotyvbhtz5cjvhbby6luelm;Nicholas Williams Arthuer;Nico Williams;Nico Williams;Nicholas;Williams Arthuer;Athletic Club;Spain;Attacker;10
73;2425;7ubtan6a51o79w469zawrqqqd;Íñigo Ruíz de Galarreta Etxeberria;Íñigo Ruíz de Galarreta;Íñigo Ruíz de Galarreta;Íñigo;Ruíz de Galarreta Etxeberria;Athletic Club;Spain;Midfielder;16
73;2425;83n1qv6ypl625aolzjeqifv11;Mikel Vesga Arruti;Mikel Vesga;Mikel Vesga;Mikel;Vesga Arruti;Athletic Club;Spain;Midfielder;6
73;2425;8hm6d6395johhjsoe8jz6dcyd;Yuri Berchiche Izeta;Yuri Berchiche;Yuri;Yuri;Berchiche Izeta;Athletic Club;Spain;Defender;17
73;2425;9d5h5wxf44qu4fw3jk2pgis16;Daniel Vivian Moreno;Dani Vivian;Dani Vivian;Daniel;Vivian Moreno;Athletic Club;Spain;Defender;3
73;2425;9punjo6472xks9fivsfxprrsa;Javier Martón Ansó;Javi Martón;Javi Martón;Javier;Martón Ansó;Athletic Club;Spain;Attacker;19
73;2425;ajmyaj6fk8lpirlqndw75i42c;Unai Egiluz Arroyo;Unai Egiluz;Unai Egiluz;Unai;Egiluz Arroyo;Athletic Club;Spain;Defender;27
73;2425;b2rqgjegzeyq6wy6qu63zz2fo;Unai Gómez Etxebarria;Unai Gómez;Unai Gómez;Unai;Gómez Etxebarria;Athletic Club;Spain;Midfielder;20
73;2425;b91n9sdabth8oocdawayybdud;Andoni Gorosabel Espinosa;Andoni Gorosabel;Andoni Gorosabel;Andoni;Gorosabel Espinosa;Athletic Club;Spain;Defender;2
73;2425;b9q69u0q11bjpu0393sdy50;Alejandro Padilla Pérez;Álex Padilla;Á. Padilla;Alejandro;Padilla Pérez;Athletic Club;Mexico;Goalkeeper;26
73;2425;bpnlnx054awr5rddousptr2fo;Aingeru Olabarrieta Capelo;Aingeru Olabarrieta;Aingeru Olabarrieta;Aingeru;Olabarrieta Capelo;Athletic Club;Spain;Attacker;33
73;2425;bqfeayiqmxo59u0ixrzkeikgk;Oier Gastesi Serrano;Oier Gastesi;Oier Gastesi;Oier;Gastesi Serrano;Athletic Club;Spain;Goalkeeper;34
73;2425;bsvv2m0znk5uauzdhrhwc5hxw;Ekain Azkune Astarloza;Ekain Azkune;Ekain Azkune;Ekain;Azkune Astarloza;Athletic Club;Spain;Attacker;36
73;2425;by8xbw0rb239l1x4b0t33tpn8;Maroan Sannadi Harrouch;Maroan Sannadi;M. Sannadi;Maroan;Sannadi Harrouch;Athletic Club;Morocco;Attacker;21
73;2425;ccokndnkkyllbp5vb8nwnhdlg;Peio Canales Urtasun;Peio Canales;Peio Canales;Peio;Canales Urtasun;Athletic Club;Spain;Midfielder;28
73;2425;ck7lu09geq8mi6vkf2llyi5ii;Mikel Jauregizar Alboniga;Mikel Jauregizar;Mikel Jauregizar;Mikel;Jauregizar Alboniga;Athletic Club;Spain;Midfielder;23
73;2425;cr9kf7olyasz3pnvox96xpslw;Aimar Duñabeitia Madariaga;Aimar Duñabeitia;Aimar Duñabeitia;Aimar;Duñabeitia Madariaga;Athletic Club;Spain;Defender;30
73;2425;d1a1ck4cicsr9kax1bh895v6c;Iker Varela Parra;Iker Varela;Iker Varela;Iker;Varela Parra;Athletic Club;Spain;Attacker;39
