league;season;rank;team;points;matches_played;wins;draws;losses;goals_for;goals_against
73;2425;1;Real Madrid CF;69;38;19;7;12;35;18
73;2425;2;FC Barcelona;68;38;18;6;14;46;18
73;2425;3;Club Atlético de Madrid;58;38;14;8;16;27;13
73;2425;4;Athletic Club;58;38;12;4;22;24;10
73;2425;5;Villarreal CF;56;38;14;10;14;38;27
73;2425;6;CA Osasuna;56;38;14;10;14;23;19
73;2425;7;Real Betis Balompié;54;38;11;6;21;25;21
73;2425;8;Rayo Vallecano de Madrid;53;38;12;9;17;20;18
73;2425;9;Real Sociedad de Fútbol;50;38;12;12;14;16;21
73;2425;10;Deportivo Alavés;48;38;10;10;18;16;19
73;2425;11;Reial Club Deportiu Espanyol de Barcelona;48;38;10;10;18;15;23
73;2425;12;CD Leganés;48;38;9;8;21;22;20
73;2425;13;Real Club Celta de Vigo;46;38;11;14;13;25;28
73;2425;14;Real Club Deportivo Mallorca;44;38;7;8;23;14;16
73;2425;15;Girona FC;42;38;9;14;15;19;24
73;2425;16;Sevilla FC;40;38;7;12;19;20;27
73;2425;17;Valencia CF;39;38;8;15;15;21;30
73;2425;18;Getafe CF;37;38;7;15;16;12;21
73;2425;19;UD Las Palmas;32;38;4;14;20;11;25
73;2425;20;Real Valladolid CF;25;38;3;19;16;9;40
