league;season;rank;status;team;points;matches_played;wins;draws;losses;goals_for;goals_against
73;2425;1;UEFA Champions League;FC Barcelona;88;38;28;6;4;102;39
73;2425;2;UEFA Champions League;Real Madrid CF;84;38;26;6;6;78;38
73;2425;3;UEFA Champions League;Club Atlético de Madrid;76;38;22;6;10;68;30
73;2425;4;UEFA Champions League;Athletic Club;70;38;19;6;13;54;29
73;2425;5;UEFA Champions League;Villarreal CF;70;38;20;8;10;71;51
73;2425;6;UEFA Europa League;Real Betis Balompié;60;38;16;10;12;57;50
73;2425;7;UEFA Europa League;Real Club Celta de Vigo;55;38;16;15;7;59;57
73;2425;8;UEFA Conference League Qualifiers;Rayo Vallecano de Madrid;52;38;13;12;13;41;45
73;2425;9;;CA Osasuna;52;38;12;10;16;48;52
73;2425;10;;Real Club Deportivo Mallorca;48;38;13;16;9;35;44
73;2425;11;;Real Sociedad de Fútbol;46;38;13;18;7;35;46
73;2425;12;;Valencia CF;46;38;11;14;13;44;54
73;2425;13;;Getafe CF;42;38;11;18;9;34;39
73;2425;14;;Reial Club Deportiu Espanyol de Barcelona;42;38;11;18;9;40;51
73;2425;15;;Deportivo Alavés;42;38;10;16;12;38;48
73;2425;16;;Girona FC;41;38;11;19;8;44;60
73;2425;17;;Sevilla FC;41;38;10;17;11;42;55
73;2425;18;Relegation;CD Leganés;40;38;9;16;13;39;56
73;2425;19;Relegation;UD Las Palmas;32;38;8;22;8;40;61
73;2425;20;Relegation;Real Valladolid CF;16;38;4;30;4;26;90
