league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;goalsConceded;totalPass;minsPlayed;goalKicks;saves;gameStarted;accuratePass;formationPlace;totalScoringAtt;totalClearance;lostCorners;totalTackle;fouls;blockedScoringAtt;wonTackle;totalThrows;wonCorners;wasFouled;redCard;yellowCard;totalOffside;totalSubOff;shotOffTarget;ontargetScoringAtt;cornerTaken;totalSubOn;cleanSheet;goalAssist;goals
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;5f8kjgsaabn2li5r7bvpebbsa;Joan García Pons;Joan García;Joan García;1;Goalkeeper;Centre;1;2;30;90;9;2;1;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;5djkwcoflvxcv5oida6txfyp6;Carlos Romero Serrano;Carlos Romero;Carlos Romero;22;Defender;Left;3;2;17;90;0;0;1;15;3;1;1;2;5;2;1;5;8;1;2;0;0;0;0;0;0;0;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;6810qbng9pfg1bztczv11grmd;Leandro Daniel Cabrera Sasía;Leandro Cabrera;L. Cabrera;6;Defender;Left/Centre;6;1;22;80;2;0;1;13;6;1;4;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;cddggachzf198p1yhq9owtofd;Marash Kumbulla;Marash Kumbulla;M. Kumbulla;4;Defender;Centre/Right;5;2;25;90;0;0;1;21;5;1;4;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;7h0b81yjiiu356rycsakgd0yc;Omar El Hilali Khayat;Omar El Hilali;O. El Hilali;23;Defender;Right;2;2;22;90;0;0;1;14;2;0;0;0;2;0;0;1;13;0;0;0;0;1;0;0;0;0;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;74wjzeja92l4q8fpy1bkmcsfd;Pol Lozano Vizuete;Pol Lozano;Pol Lozano;10;Defensive Midfielder;Left/Centre;4;1;12;60;0;0;1;6;4;0;1;0;2;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;7y8ns61qioqu7kfsqzkvkwhuy;Urko González de Zárate Quirós;Urko González de Zárate Quirós;Urko González de Zárate;19;Defensive Midfielder;Centre/Right;8;2;15;90;0;0;1;12;8;1;4;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;e5qp6dh1prc55llew51zpy1gp;Javier Puado Díaz;Javi Puado;Javi Puado;7;Attacking Midfielder;Left;11;1;9;82;0;0;1;7;11;3;0;0;1;0;0;1;0;1;0;0;0;0;1;2;1;0;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;8qvqdjw1d58mw7420lpmk7bah;Eduardo Expósito Jaén;Edu Expósito;Edu Expósito;8;Attacking Midfielder;Centre;10;2;28;90;0;0;1;16;10;0;2;1;1;0;0;0;0;0;3;0;0;1;0;0;0;3;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;1am59svvwz5idpdjq307dd5hw;Antoniu Roca Vives;Antoniu Roca;Antoniu Roca;31;Attacking Midfielder;Right;7;1;7;68;0;0;1;2;7;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;5fqvl0m1rkzhj9tmafrcxur6c;Roberto Fernández Jaén;Roberto Fernández;Roberto Fernández;2;Striker;Centre;9;1;15;82;0;0;1;9;9;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0
73;2425;9dyms4e8elozr1547fsy1gnx0;esp-bar;c8llrezkm3b3op4afrou6b487;2rqxh5mex336ci45jaw428y5l;Fernando Calero Villa;Fernando Calero;Fernando Calero;5;Substitute;Defender;0;1;9;8;0;0;0;7;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
