league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;totalPass;gameStarted;minsPlayed;goalKicks;totalClearance;goalsConceded;accuratePass;formationPlace;wasFouled;wonTackle;totalScoringAtt;totalThrows;shotOffTarget;totalTackle;lostCorners;wonCorners;blockedScoringAtt;totalSubOff;fouls;ontargetScoringAtt;cornerTaken;yellowCard;totalSubOn;totalOffside;cleanSheet;saves;goals
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;1n1j0wsl763lq7ee1k0c11c02;vota9gwygxp3wc998tl7ldxx;David Soria Solís;David Soria;David Soria;13;Goalkeeper;Centre;1;34;1;90;9;1;2;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;1n1j0wsl763lq7ee1k0c11c02;dkt9892ixwnz1bkmgileo71sl;Diego Rico Salguero;Diego Rico;Diego Rico;16;Defender;Left;3;27;1;90;0;5;2;15;3;2;1;1;24;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;1n1j0wsl763lq7ee1k0c11c02;2o3bka7gokfjkej1f600ovbo5;Omar Federico Alderete Fernández;Omar Alderete;O. Alderete;15;Defender;Left/Centre;6;15;1;90;0;13;2;6;6;1;1;2;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;1n1j0wsl763lq7ee1k0c11c02;cue88fm1v1ysfuwhql68czydx;Domingos de Sousa Coutinho Meneses Duarte;Domingos de Sousa Coutinho Meneses Duarte;Domingos Duarte;22;Defender;Centre/Right;5;17;1;90;0;8;2;12;5;0;2;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;1n1j0wsl763lq7ee1k0c11c02;5lzbyj5i0cotpry4gneap8c89;Juan Antonio Iglesias Sánchez;Juan Iglesias;Juan Iglesias;21;Defender;Right;2;9;1;85;0;2;1;6;2;1;1;0;6;0;5;0;0;0;1;2;0;0;0;0;0;0;0;0
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;1n1j0wsl763lq7ee1k0c11c02;czo50ep8l8ubnp8ifn6bx87pw;Coba Gomes da Costa;Coba da Costa;Coba da Costa;29;Midfielder;Left;11;23;1;79;0;2;1;16;11;0;0;1;1;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;1n1j0wsl763lq7ee1k0c11c02;5gorfhj7uwpomrhlso1krxrkl;Mauro Wilney Arambarri Rosa;Mauro Arambarri;M. Arambarri;8;Midfielder;Left/Centre;8;13;1;90;0;0;2;6;8;1;0;5;0;3;0;0;1;2;0;1;0;0;0;0;0;0;0;0
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;1n1j0wsl763lq7ee1k0c11c02;ch1lxxbn01at4jmkafy4uevh1;Luis Milla Manzanares;Luis Milla;Luis Milla;5;Midfielder;Centre/Right;4;27;1;90;0;1;2;20;4;1;1;0;0;0;2;0;0;0;0;1;0;2;1;0;0;0;0;0
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;1n1j0wsl763lq7ee1k0c11c02;20ebw399jhbq0i5x2eacrrs6i;Ramon Terrats Espacio;Ramon Terrats;Ramon Terrats;11;Midfielder;Right;7;11;1;85;0;1;1;6;7;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
73;2425;9ech4k0zpjcq8tdzzshdru2ac;get-ath;1n1j0wsl763lq7ee1k0c11c02;7kser55g81n3lqj9rjd2mwftg;Christantus Ugonna Uche;Christantus Uche;C. Uche;6;Striker;Left/Centre;9;19;1;85;0;2;1;11;9;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
