league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;gameStarted;saves;goalKicks;totalPass;totalClearance;minsPlayed;cleanSheet;accuratePass;formationPlace;lostCorners;totalSubOff;totalThrows;wonTackle;totalTackle;fouls;shotOffTarget;totalScoringAtt;ontargetScoringAtt;goals;wasFouled;totalOffside;yellowCard;wonCorners;cornerTaken;blockedScoringAtt;goalAssist;totalSubOn;goalsConceded
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;amjegysk3et638l4od103c7o5;Sergio Herrera Pirón;Sergio Herrera;Sergio Herrera;1;Goalkeeper;Centre;1;1;5;12;39;1;90;1;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;8ij122duxc65thlj8flk2xdjp;Juan Cruz Álvaro Armada;Juan Cruz Álvaro Armada;Juan Cruz;3;Defender;Left;3;1;0;0;24;7;81;0;21;3;1;1;3;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;bi8nrmyaxsgbhixw921fzvm5l;Alejandro Catena Marugán;Alejandro Catena;Alejandro Catena;24;Defender;Left/Centre;6;1;0;1;37;8;90;1;29;6;1;0;0;1;1;0;1;2;1;1;3;0;0;0;0;0;0;0;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;5tiol5jc7h11oic9vvyu83fqi;Flavien Enzo Thiedort Boyomo;Enzo Boyomo;E. Boyomo;22;Defender;Centre/Right;5;1;0;0;42;4;90;1;35;5;0;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;7r7wgbcu7vmlj19m9jpjhu1yi;Jesús Areso Blanco;Jesús Areso;Jesús Areso;12;Defender;Right;2;1;0;0;31;6;90;1;27;2;1;0;12;2;2;0;1;1;0;0;1;1;0;0;0;0;0;0;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;d3pdr28q2n295ldry2lc1uklx;Lucas Torró Marset;Lucas Torró;Lucas Torró;6;Defensive Midfielder;Left/Centre;4;1;0;0;20;1;90;1;13;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;eqw6fu3no9qxejk17tqgeey5m;Pablo Ibáñez Lumbreras;Pablo Ibáñez;Pablo Ibáñez;8;Defensive Midfielder;Centre/Right;8;1;0;0;26;0;71;0;18;8;1;1;0;0;0;2;0;0;0;0;3;0;1;0;0;0;0;0;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;bzv32rpgvs111w8e2gch452xg;Bryan Zaragoza Martínez;Bryan Zaragoza;Bryan Zaragoza;19;Attacking Midfielder;Left;11;1;0;0;14;0;72;0;9;11;0;1;0;0;0;1;1;2;0;0;2;0;0;2;3;1;1;0;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;bpf2fcb73l96fwspo72shmkiy;Aimar Oroz Huarte;Aimar Oroz;Aimar Oroz;10;Attacking Midfielder;Centre;10;1;0;0;26;2;88;0;21;10;0;1;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;1vupjbihmf0b4gzjskmrmptqt;Rubén Peña Jiménez;Rubén Peña;Rubén Peña;15;Attacking Midfielder;Right;7;1;0;0;8;0;60;0;4;7;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;946z96r5q70ryslp3hlhafnx1;Ante Budimir;Ante Budimir;A. Budimir;17;Striker;Centre;9;1;0;0;7;2;88;0;6;9;0;1;0;0;0;1;1;3;1;1;2;0;0;1;0;1;0;0;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;2zcha0sd7axiu2s2c0bccz2s5;Enrique Barja Alfonso;Kike Barja;Kike Barja;11;Substitute;Attacker;0;0;0;0;2;0;30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;bvs3rixmobb9gje6kfvhgb52i;Abel Bretones Cruz;Abel Bretones;Abel Bretones;23;Substitute;Defender;0;0;0;0;1;0;9;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;cy3c0cj6yy1mokaj0mlk4k9re;Raúl García de Haro;Raúl García;Raúl García;9;Substitute;Attacker;0;0;0;0;5;0;2;0;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;5t2ngljfiapcn98qlnbifg53p;Moisés Gómez Bordonado;Moi Gómez;Moi Gómez;16;Substitute;Attacker;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;f4gpe0pxov8sea9e0fs24h8q2;Jon Moncayola Tollar;Jon Moncayola;Jon Moncayola;7;Substitute;Midfielder;0;0;0;0;6;0;19;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;2l0ldgiwsgb8d6y3z0sfgjzyj;1wezo3pjdktc0iqaxze3uh2sq;Iker Muñoz Cameros;Iker Muñoz;Iker Muñoz;18;Substitute;Midfielder;0;0;0;0;6;0;18;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;2yt9oajv9dkbju8tgy1g2nmqd;Jan Oblak;Jan Oblak;J. Oblak;13;Goalkeeper;Centre;1;1;1;5;21;0;90;0;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
73;2425;9er1r7v64azavprsud6qffj84;osa-atm;4ku8o6uf87yd8iecdalipo6wd;40gxfsz7bgrkdudqewlpxzyzt;Javier Galán Gil;Javi Galán;Javi Galán;21;Defender;Left;3;1;0;0;14;0;45;0;13;3;1;1;6;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1
