league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;penaltyFaced;goalsConceded;minsPlayed;totalPass;totalClearance;gameStarted;accuratePass;goalKicks;penGoalsConceded;saves;formationPlace;wonTackle;wasFouled;totalSubOff;lostCorners;fouls;totalTackle;totalThrows;shotOffTarget;totalScoringAtt;ontargetScoringAtt;goals;blockedScoringAtt;penaltyConceded;yellowCard;wonCorners;totalOffside;cornerTaken;totalSubOn;goalAssist;penaltyWon
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;9h6xf4ac4rpsjpummcdx26z9;Augusto Martín Batalla Barga;Augusto Batalla;A. Batalla;13;Goalkeeper;Centre;1;1;2;90;36;1;1;19;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;amt4voyjzhnvr55t08hzlw50q;Josep María Chavarría Pérez;Pep Chavarría;Pep Chavarría;3;Defender;Left;3;0;2;89;33;4;1;31;0;1;0;3;1;2;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;94jrxsnf1ta2u65ommyge7bo5;Aridane Hernández Umpiérrez;Aridane Hernández;Aridane Hernández;5;Defender;Left/Centre;6;0;2;90;40;6;1;37;2;1;0;6;1;1;0;3;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;533095rnz0k8mxqe6gzn0mfo5;Florian Grégoire Claude Lejeune;Florian Lejeune;F. Lejeune;24;Defender;Centre/Right;5;0;2;90;55;1;1;46;0;1;0;5;1;1;0;1;2;2;0;1;4;2;1;1;1;0;0;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;bpfp895223p7w0px2ui3nb2l1;Iván Balliu Campeny;Iván Balliu;I. Balliu;20;Defender;Right;2;0;2;67;20;2;1;16;0;1;0;2;2;1;1;0;1;2;10;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;7vb4xrwk7sbgpxzgiwwbt4s89;Pedro Díaz Fanjul;Pedro Díaz;Pedro Díaz;4;Defensive Midfielder;Left/Centre;4;0;2;82;33;0;1;28;0;1;0;4;0;0;1;0;0;0;0;1;6;1;0;4;0;0;2;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;1ho7koiegfhsuevuum2meibu2;Pathé Ismaël Ciss;Pathé Ciss;P. Ciss;6;Defensive Midfielder;Centre/Right;8;0;2;67;32;1;1;26;0;1;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;8eh38t4oyyt728co362f6uqqd;Álvaro García Rivera;Álvaro García;Álvaro García;18;Attacking Midfielder;Left;11;0;2;90;20;1;1;13;0;1;0;11;1;1;0;1;1;1;0;1;2;1;0;0;0;0;4;1;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;3ca7tqrdasmeop6ud9zot0wdl;Isaac Palazón Camacho;Isi Palazón;Isi Palazón;7;Attacking Midfielder;Centre;10;0;2;90;32;1;1;25;0;1;0;10;0;3;0;0;1;0;0;1;2;0;0;1;0;0;0;0;8;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;38dhmhce7deuqgqmc3p7nhai2;Andrei Florin Rațiu;Andrei Ratiu;A. Rațiu;2;Attacking Midfielder;Right;7;0;2;90;33;1;1;25;0;1;0;7;1;1;0;1;1;3;3;0;0;0;0;0;0;0;2;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;c157xhi78x9cykn7xz816bjd;Jorge de Frutos Sebastián;Jorge de Frutos;Jorge de Frutos;19;Striker;Centre;9;0;2;67;11;0;1;7;0;1;0;9;0;2;1;0;0;0;0;0;1;1;1;0;0;0;0;2;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;2qauzcv74cd8uqfv2ibl52ymt;Luis Alfonso Espino García;Luis Alfonso Espino García;P. Espino;22;Substitute;Defender;0;0;0;23;12;1;0;11;0;0;0;0;3;1;0;0;0;3;1;2;2;0;0;0;0;0;1;0;0;1;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;1jffh172t15s6ws7nou0fc251;Sergio Guardiola Navarro;Sergi Guardiola;Sergi Guardiola;12;Substitute;Attacker;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;u04ao1ldrjjesgqq52o7ghqt;Unai López Cabrera;Unai López;Unai López;17;Substitute;Midfielder;0;0;0;23;30;0;0;26;0;0;0;0;1;2;0;0;0;1;0;1;2;1;0;0;0;0;1;0;2;1;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;676ehh6cwla4o9igey7qr1uqd;Óscar Guido Trejo;Óscar Trejo;Ó. Trejo;8;Substitute;Midfielder;0;0;0;8;9;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;3budh3j9xivsid3ptm8ptpy4k;8onruhr4es313aq52xsl7nxlh;Óscar Valentín Martín Luengo;Óscar Valentín;Óscar Valentín;23;Substitute;Midfielder;0;0;0;23;20;0;0;18;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;2r4ox2h5r7doo3ys9ynm2nbo5;Adrián San Miguel del Castillo;Adrián San Miguel del Castillo;Adrián;13;Goalkeeper;Centre;1;0;2;90;39;3;1;29;14;0;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;9ak3zczupeken1itsmkherbh1;Ricardo Iván Rodríguez Araya;Ricardo Rodríguez;R. Rodríguez;12;Defender;Left;3;0;2;90;38;3;1;32;0;0;0;3;2;0;0;2;0;3;7;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;2r4450bqkmpcf1ogmcfhvczmy;Natan Bernardo de Souza;Natan Bernardo de Souza;Natan;6;Defender;Left/Centre;6;0;2;90;59;7;1;52;1;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;evpjdko94awbqbbl5wl9hto7p;Marc Bartra Aregall;Marc Bartra;Marc Bartra;5;Defender;Centre/Right;5;0;2;90;32;2;1;23;0;0;0;5;1;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
73;2425;9f5gojqhjfhmzdsacczb8olck;ray-bet;ah8dala7suqqkj04n2l8xz4zd;euy1s0xo19019kegzcpp1gez9;Youssouf Sabaly;Youssouf Sabaly;Y. Sabaly;23;Defender;Right;2;0;0;25;13;1;1;13;0;0;0;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
