league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;saves;goalKicks;accuratePass;totalPass;goalsConceded;totalClearance;minsPlayed;lostCorners;gameStarted;formationPlace;wasFouled;totalTackle;totalThrows;fouls;wonTackle;wonCorners;goals;totalScoringAtt;ontargetScoringAtt;totalSubOff;goalAssist;cornerTaken;blockedScoringAtt;shotOffTarget;totalOffside;totalSubOn;yellowCard
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;4ku8o6uf87yd8iecdalipo6wd;2yt9oajv9dkbju8tgy1g2nmqd;Jan Oblak;Jan Oblak;J. Oblak;13;Goalkeeper;Centre;1;6;6;17;18;1;1;90;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;4ku8o6uf87yd8iecdalipo6wd;40gxfsz7bgrkdudqewlpxzyzt;Javier Galán Gil;Javi Galán;Javi Galán;21;Defender;Left;3;0;0;26;33;1;2;90;0;1;3;1;1;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;4ku8o6uf87yd8iecdalipo6wd;3gsprcdyogabeb8lr2y0bmytx;Clément Nicolas Laurent Lenglet;Clément Lenglet;C. Lenglet;15;Defender;Left/Centre;6;0;0;52;59;1;2;90;0;1;6;0;3;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;4ku8o6uf87yd8iecdalipo6wd;6xulax65kp4aid70nk7g5jr2t;Robin Aimé Robert Le Normand Mainfray;Robin Le Normand;Robin Le Normand;24;Defender;Centre/Right;5;0;0;38;42;1;5;90;1;1;5;1;0;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;4ku8o6uf87yd8iecdalipo6wd;amxunh6enoc99r07cp7qt621h;Marcos Llorente Moreno;Marcos Llorente;Marcos Llorente;14;Defender;Right;2;0;0;41;46;1;2;90;0;1;2;0;1;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;4ku8o6uf87yd8iecdalipo6wd;7yngrviue4iji7w0f9ql07j6x;Samuel Dias Lino;Samuel Dias Lino;Samuel Lino;12;Midfielder;Left;11;0;0;21;24;1;0;80;0;1;11;2;3;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;4ku8o6uf87yd8iecdalipo6wd;b9kfek16otvdorssn0wzkb36d;Jorge Resurrección Merodio;Jorge Resurrección Merodio;Koke;6;Midfielder;Left/Centre;8;0;0;67;72;1;2;90;0;1;8;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;4ku8o6uf87yd8iecdalipo6wd;3ga7qj3h3dbmqucxmaxhmrjdh;Rodrigo Javier De Paul;Rodrigo De Paul;R. De Paul;5;Midfielder;Centre/Right;4;0;0;42;51;1;1;70;1;1;4;2;3;0;1;2;0;0;1;0;1;0;0;1;0;0;0;0
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;4ku8o6uf87yd8iecdalipo6wd;5es43b4a7fv0lkmp63dj439ey;Giuliano Simeone Baldini;Giuliano Simeone;G. Simeone;22;Midfielder;Right;7;0;0;18;21;1;1;80;0;1;7;1;0;1;3;0;2;0;1;0;1;0;0;0;1;0;0;0
73;2425;9hn1yf521xobkjpkhg0n2t6vo;atm-bet;4ku8o6uf87yd8iecdalipo6wd;9ikkuxd19avliz1khcrm82gyy;Julián Alvarez;Julián Alvarez;J. Alvarez;19;Striker;Left/Centre;9;0;0;20;32;1;0;89;0;1;9;0;0;0;0;0;2;2;4;2;1;1;5;1;1;0;0;0
