league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;goalsConceded;accuratePass;goalKicks;gameStarted;totalPass;minsPlayed;formationPlace;blockedScoringAtt;totalSubOff;totalScoringAtt;totalThrows;totalTackle;lostCorners;wasFouled;wonTackle;totalClearance;fouls;goalAssist;ontargetScoringAtt;yellowCard;wonCorners;totalOffside;cornerTaken;shotOffTarget;goals;totalSubOn;saves
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;2e55g4q93y382cg7h0yk5rtud;Marc-André ter Stegen;Marc-André ter Stegen;M. ter Stegen;1;Goalkeeper;Centre;1;3;19;7;1;20;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;6l1y87tlepsvr83d8y2qifeqy;Gerard Martín Langreo;Gerard Martín;Gerard Martín;35;Defender;Left;3;1;29;0;1;31;45;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;cd5napttmwk5o9gxw3cbb4ted;Iñigo Martínez Berridi;Iñigo Martínez;Iñigo Martínez;5;Defender;Left/Centre;6;3;61;0;1;64;90;6;0;0;0;0;2;1;1;1;4;2;0;0;0;0;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;bkwxem45cf48k14euwqe7rs44;Pau Cubarsí Paredes;Pau Cubarsí;Pau Cubarsí;2;Defender;Centre/Right;5;3;55;0;1;56;90;5;0;0;0;1;3;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;4ggz7e009bq3yltc9o6mifbah;Eric García Martret;Eric García;Eric García;24;Defender;Right;2;2;57;0;1;60;74;2;0;1;1;10;0;1;0;0;2;1;1;1;1;1;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;4ftlhtels58lyzfluwofzwxuy;Pedro González López;Pedro González López;Pedri;8;Defensive Midfielder;Left/Centre;4;1;59;0;1;64;45;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;eb3ci3a120om80v80mobsus8a;Pablo Páez Gavira;Pablo Páez Gavira;Gavi;6;Defensive Midfielder;Centre/Right;8;3;72;0;1;76;85;8;1;1;1;0;3;0;1;3;1;5;0;0;0;0;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;2wl6h1rlrfnn2mr65vuo3t815;Raphael Dias Belloli;Raphael Dias Belloli;Raphinha;11;Attacking Midfielder;Left;11;3;46;0;1;50;90;11;1;0;5;0;1;0;2;1;0;1;0;0;0;1;1;3;4;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;cjll1xrw3xulnl23c9tlf6rys;Fermín López Marín;Fermín López;Fermín López;16;Attacking Midfielder;Centre;10;3;46;0;1;53;90;10;2;0;6;1;0;0;0;0;0;0;0;3;0;3;0;7;1;1;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;abr79wsl0folgkyvl821ggs2c;Lamine Yamal Nasraoui Ebana;Lamine Yamal Nasraoui Ebana;Lamine Yamal;19;Attacking Midfielder;Right;7;3;61;0;1;74;90;7;4;0;9;1;0;0;1;0;0;1;0;4;0;4;0;1;1;1;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;afxjicw89683nlpms9yy5x51x;Robert Lewandowski;Robert Lewandowski;R. Lewandowski;9;Striker;Centre;9;2;6;0;1;8;74;9;0;1;1;0;1;1;2;1;2;1;0;1;0;2;1;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;bzgh5psb1janz9y3btpswngbu;Alejandro Balde Martínez;Alejandro Balde;Alejandro Balde;3;Substitute;Defender;0;2;33;0;0;36;45;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;8xjdsfk5u7wph4o7h1w45dses;Héctor Fort García;Héctor Fort;Héctor Fort;32;Substitute;Defender;0;1;14;0;0;15;16;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;4gq1u1mqg0qzekh1u5djleeax;Daniel Olmo Carvajal;Dani Olmo;Dani Olmo;20;Substitute;Midfielder;0;0;6;0;0;7;5;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;9f0jk3wgmlnnmnqrdkh4gnpt6;Pau Víctor Delgado;Pau Víctor;Pau Víctor;18;Substitute;Attacker;0;1;4;0;0;4;16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;ezviixcyaaj162saxs2yl27s9;Frenkie de Jong;Frenkie de Jong;F. de Jong;21;Substitute;Midfielder;0;2;64;0;0;69;45;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;6ddxujeb3873j5evwiz8n4wt0;Luíz Lúcio Reis Júnior;Luiz Lúcio Reis Júnior;Luíz Júnior;1;Goalkeeper;Centre;1;2;16;8;1;25;90;1;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;7
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;4x854vpovag131b2kdutv4qju;Sergi Cardona Bermúdez;Sergi Cardona;Sergi Cardona;23;Defender;Left;3;2;22;0;1;26;90;3;0;0;0;7;4;2;2;3;4;0;0;0;0;2;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;59knsm910b1ruk024rkksla3u;Logan Evans Costa;Logan Evans Costa;Logan Costa;2;Defender;Left/Centre;6;2;23;0;1;27;90;6;0;0;0;0;1;2;0;0;5;0;0;0;0;0;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;5soi8e2hlk77rlsbsl76hg3xl;Juan Marcos Foyth;Juan Foyth;J. Foyth;8;Defender;Centre/Right;5;2;36;2;1;42;90;5;0;0;0;0;0;1;2;0;7;1;0;0;0;0;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;9rtfwu0z7qtk1kglenp2vm13o;Pau Navarro Badenes;Pau Navarro;Pau Navarro;26;Defender;Right;2;2;17;0;1;19;64;2;0;1;0;5;2;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;4eezya3lwcwur6c8s6rl0rzvu;Yéremy Jesús Pino Santos;Yéremy Pino;Yeremy Pino;21;Midfielder;Left;11;2;16;0;1;23;64;11;0;1;1;0;3;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;c29mprqv2ulztd22b6uckczx1;Daniel Parejo Muñoz;Dani Parejo;Dani Parejo;10;Midfielder;Left/Centre;8;2;18;0;1;22;58;8;0;1;0;0;1;0;3;1;3;1;0;0;0;0;0;0;0;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;b5rea5r4h8bclpenau2au142x;Santiago Comesaña Veiga;Santi Comesaña;Santi Comesaña;14;Midfielder;Centre/Right;4;2;20;0;1;24;90;4;0;0;2;0;1;1;0;1;4;0;0;1;0;0;0;0;1;1;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;3n9jnuteyjx6w6dxviuead0b9;Nicolas Pépé;Nicolas Pépé;N. Pépé;19;Midfielder;Right;7;2;15;0;1;17;77;7;0;1;1;0;2;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;drwacyyicuhy3heg4j0ipqj85;Ayoze Pérez Gutiérrez;Ayoze Pérez;Ayoze Pérez;22;Striker;Left/Centre;9;2;2;0;1;2;45;9;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;5zoz3mjooujpv0wdcphyrztd6;Alejandro Baena Rodríguez;Álex Baena;Álex Baena;16;Striker;Centre/Right;10;2;23;0;1;32;90;10;0;0;1;2;1;0;1;1;0;3;0;0;0;1;0;3;1;0;0;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;1wileoy8mxtd2t1b106uhwzro;Thierno Mamadou Barry;Thierno Barry;T. Barry;15;Substitute;Attacker;0;0;5;0;0;10;45;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;acx78ftnm61hm01wpmme77hbe;Tajon Trevor Buchanan;Tajon Buchanan;T. Buchanan;9;Substitute;Attacker;0;0;2;0;0;2;26;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;ekm47qd8w1x0456lm1tmf5re1;Pape Alassane Gueye;Pape Gueye;P. Gueye;18;Substitute;Midfielder;0;0;5;0;0;10;32;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;bxp1wr68i1mykrkj3083mvml0;Willy Kambwala Ndengushi;Willy Kambwala;W. Kambwala;5;Substitute;Defender;0;0;9;0;0;12;26;0;0;0;0;1;1;2;0;1;3;0;0;0;0;0;0;0;0;0;1;0
73;2425;9i1m7ysivkta7uiumut5nnl78;bar-vil;74mcjsm72vr3l9pw2i4qfjchj;2biwwlvzgsu5kmyw5w1adpmtx;Gerard Moreno Balagueró;Gerard Moreno;Gerard Moreno;7;Substitute;Attacker;0;0;7;0;0;9;13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
