league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;goalKicks;goalsConceded;totalPass;accuratePass;gameStarted;minsPlayed;formationPlace;totalClearance;totalScoringAtt;cornerTaken;wonTackle;totalSubOff;wonCorners;fouls;totalTackle;blockedScoringAtt;totalThrows;ontargetScoringAtt;yellowCard;shotOffTarget;goals;lostCorners;wasFouled;totalOffside;totalSubOn;saves;penaltyFaced;penGoalsConceded;goalAssist;penaltyConceded
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;6f27yvbqcngegwsg2ozxxdj4;8k88isvd2hwr5e4gn9oxzr2t;Vicente Guaita Panadero;Vicente Guaita;Vicente Guaita;13;Goalkeeper;Centre;1;7;2;25;25;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;6f27yvbqcngegwsg2ozxxdj4;18mddnpa54ygoaefaj0c5obf9;Mihailo Ristić;Mihailo Ristic;M. Ristić;21;Defender;Left;3;0;2;26;23;1;79;3;3;2;5;3;1;2;1;3;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;6f27yvbqcngegwsg2ozxxdj4;9i7lb16qty1t21bnc5h7skclx;Marcos Alonso Mendoza;Marcos Alonso;Marcos Alonso;20;Defender;Left/Centre;6;0;2;56;49;1;84;6;7;5;0;0;1;1;2;0;3;0;1;1;1;1;1;0;0;0;0;0;0;0;0
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;6f27yvbqcngegwsg2ozxxdj4;6q341ss6es4r2m1o5s5e80nbo;Yoel Lago Amil;Yoel Lago;Yoel Lago;29;Defender;Centre/Right;5;0;2;81;72;1;90;5;2;0;0;1;0;0;1;1;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;6f27yvbqcngegwsg2ozxxdj4;79n0dyjagmleor1fpwl25qql0;Javier Rodríguez Galiano;Javi Rodríguez;Javi Rodríguez;32;Defender;Right;2;0;2;63;57;1;90;2;1;1;0;1;0;0;0;1;0;8;1;0;0;0;0;1;0;0;0;0;0;0;0
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;6f27yvbqcngegwsg2ozxxdj4;e91yegwfliqhfy9yyk19otafo;Williot Theo Swedberg;Williot Swedberg;W. Swedberg;19;Midfielder;Left;11;0;2;12;10;1;79;11;0;4;0;2;1;1;1;2;3;0;0;0;1;0;0;4;0;0;0;0;0;0;0
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;6f27yvbqcngegwsg2ozxxdj4;64ctdbd0w5ikj0fkcuu9jdbhm;Moriba Kourouma Kourouma;Moriba Kourouma Kourouma;I. Moriba;6;Midfielder;Left/Centre;8;0;2;38;35;1;90;8;0;2;0;2;0;0;0;5;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;6f27yvbqcngegwsg2ozxxdj4;e3czx0nsuw10acnftbr8ud0bt;Francisco José Beltrán Peinado;Fran Beltrán;Fran Beltrán;8;Midfielder;Centre/Right;4;1;2;64;57;1;90;4;0;2;0;2;0;1;2;2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;6f27yvbqcngegwsg2ozxxdj4;c3sl9ajm4q424r4u37iath3hl;Óscar Mingueza García;Óscar Mingueza;Óscar Mingueza;3;Midfielder;Right;7;0;2;43;31;1;90;7;1;1;4;1;0;2;1;1;0;5;1;0;0;0;1;3;0;0;0;0;0;0;0
73;2425;9ig9wvatwknucjj2b12t65ono;cel-ray;6f27yvbqcngegwsg2ozxxdj4;9ksvo095xi2t4q4pvgxa836z8;Pablo Durán Fernández;Pablo Durán;Pablo Durán;18;Striker;Left/Centre;9;0;2;12;9;1;84;9;1;3;0;0;1;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0
