league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;saves;goalKicks;totalPass;minsPlayed;gameStarted;accuratePass;goalsConceded;formationPlace;wonTackle;totalClearance;totalTackle;yellowCard;totalSubOff;fouls;totalThrows;wonCorners;blockedScoringAtt;lostCorners;totalScoringAtt;ontargetScoringAtt;wasFouled;cornerTaken;totalOffside;shotOffTarget;totalSubOn;cleanSheet;goals;goalAssist
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;20o2dr1mdk18xhxmkujzgak89;Giorgi Mamardashvili;Giorgi Mamardashvili;G. Mamardashvili;25;Goalkeeper;Centre;1;3;3;39;90;1;29;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;5b1q9bpe23j98eoy4fwi7ld5h;José Luis Gayà Peña;José Gayà;José Gayà;14;Defender;Left;3;0;0;39;82;1;34;1;3;1;2;1;1;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;eucssbf7wamb41y1gixfodivp;Mouctar Diakhaby;Mouctar Diakhaby;M. Diakhaby;4;Defender;Left/Centre;6;0;0;71;82;1;59;1;6;0;3;0;0;1;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;2u8bekuidiwqz1gvb4vd3uhg;César Tárrega Requeni;César Tárrega;César Tárrega;15;Defender;Centre/Right;5;0;0;89;90;1;80;1;5;1;7;2;0;0;1;0;0;2;0;2;0;1;0;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;6o76owze8y78ue9sb49g8kyz8;Cristhian Andrey Mosquera Ibargüen;Cristhian Mosquera;Cristhian Mosquera;3;Defender;Right;2;0;0;72;90;1;65;1;2;1;2;3;0;0;0;4;0;0;0;0;0;3;0;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;4j3u6v01emo9nsel7uw00qsfe;Diego López Noguerol;Diego López;Diego López;16;Midfielder;Left;11;0;0;18;56;1;15;0;11;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;5f5e6wufz0x041bvqzor10k16;Enzo Alan Tomás Barrenechea;Enzo Barrenechea;E. Barrenechea;5;Midfielder;Left/Centre;8;0;0;54;90;1;46;1;8;1;1;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;aqqd7tq7z6bj3wn3u3sz3uuqc;Javier Guerra Moreno;Javi Guerra;Javi Guerra;8;Midfielder;Centre/Right;4;0;0;47;90;1;32;1;4;0;2;1;0;0;1;1;0;0;1;0;0;3;0;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;6kc8ieszwg6u00e3sa554y7yt;Luis Jesús Rioja González;Luis Rioja;Luis Rioja;22;Midfielder;Right;7;0;0;38;90;1;31;1;7;0;1;1;1;0;1;1;1;0;0;1;1;1;2;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;9dc4qkvh0vk5kwymibji00kp;Domingos André Ribeiro Almeida;Domingos André Ribeiro Almeida;André Almeida;10;Striker;Left/Centre;9;0;0;35;74;1;27;1;9;1;0;1;0;1;1;0;1;0;1;0;0;3;2;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;dtvmsnqlzn5672xb54zj8u7dh;Umar Sadiq Mesbah;Umar Sadiq;U. Sadiq;12;Striker;Centre/Right;10;0;0;9;74;1;8;1;10;0;0;1;0;1;0;0;1;0;0;1;0;2;0;1;1;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;70ursnnskhuf7zkltyrudquax;Maximillian James Aarons;Max Aarons;M. Aarons;19;Substitute;Defender;0;0;0;9;8;0;7;0;0;1;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;7yieh5r0uzk6d6x9o060c2bfu;Hugo Duro Perales;Hugo Duro;Hugo Duro;9;Substitute;Attacker;0;0;0;5;16;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;arpoe2kjx9pbacgpuv17yl33d;Iván Jaime Pajuelo;Iván Jaime;Iván Jaime;17;Substitute;Midfielder;0;0;0;7;34;0;6;1;0;1;0;2;0;0;1;0;1;0;0;0;0;2;1;0;0;1;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;4sojot9t32l4a6fm3e39xkcfd;Rafael Mir Vicente;Rafa Mir;Rafa Mir;11;Substitute;Attacker;0;0;0;7;16;0;2;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;ba5e91hjacvma2sjvixn00pjo;66fshzi5f86wt1lwa4kdhiooa;Francisco Pérez Martínez;Fran Pérez;Fran Pérez;23;Substitute;Midfielder;0;0;0;6;8;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;4vlurpsi44g09g159t61u83bp;Unai Simón Mendibil;Unai Simón;Unai Simón;1;Goalkeeper;Centre;1;2;2;24;90;1;17;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;8hm6d6395johhjsoe8jz6dcyd;Yuri Berchiche Izeta;Yuri Berchiche;Yuri;17;Defender;Left;3;0;0;58;90;1;49;0;3;0;6;0;0;0;0;4;1;1;1;1;0;1;0;0;0;0;1;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;5kd57453a90zahgdxwkghr816;Aitor Paredes Casamichana;Aitor Paredes;Aitor Paredes;4;Defender;Left/Centre;6;0;1;52;90;1;42;0;6;3;2;3;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;9d5h5wxf44qu4fw3jk2pgis16;Daniel Vivian Moreno;Dani Vivian;Dani Vivian;3;Defender;Centre/Right;5;0;0;56;90;1;52;0;5;2;7;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;v7isqpxiursyjhj5rmhyhjv9;Íñigo Lekue Martínez;Íñigo Lekue;Íñigo Lekue;15;Defender;Right;2;0;0;48;90;1;41;0;2;0;3;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;352ywlfcjt329s7etjn4rkui2;Beñat Prados Díaz;Beñat Prados;Beñat Prados;24;Defensive Midfielder;Left/Centre;4;0;0;31;74;1;29;0;4;1;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;7ubtan6a51o79w469zawrqqqd;Íñigo Ruíz de Galarreta Etxeberria;Íñigo Ruíz de Galarreta;Íñigo Ruíz de Galarreta;16;Defensive Midfielder;Centre/Right;8;0;0;46;74;1;38;0;8;0;0;1;0;1;3;0;1;1;1;1;0;1;0;0;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;5ayo0fp6wod7cqg71e38zdz4k;Adama Boiro Boiro;Adama Boiro;Adama Boiro;32;Attacking Midfielder;Left;11;0;0;16;64;1;12;0;11;0;1;0;1;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;dfcbvsb7o18lavmonbp5ucwoa;Oihan Sancet Tirapu;Oihan Sancet;Oihan Sancet;8;Attacking Midfielder;Centre;10;0;0;16;64;1;13;0;10;1;0;1;0;1;1;0;1;1;0;3;0;3;0;2;2;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;do5tibysnhbnbw18nwdo39kut;Alejandro Berenguer Remiro;Alex Berenguer;Alex Berenguer;7;Attacking Midfielder;Right;7;0;0;33;90;1;26;0;7;1;0;1;0;0;0;0;0;0;0;1;1;0;3;0;0;0;1;1;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;3tzvbdszdrj1tayik9igbve8l;Gorka Guruzeta Rodríguez;Gorka Guruzeta;Gorka Guruzeta;12;Striker;Centre;9;0;0;15;82;1;11;0;9;0;2;1;0;1;3;0;0;0;0;3;2;0;0;2;1;0;0;0;0
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;b2rqgjegzeyq6wy6qu63zz2fo;Unai Gómez Etxebarria;Unai Gómez;Unai Gómez;20;Substitute;Midfielder;0;0;0;6;26;0;6;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1
73;2425;9iur3bcdqm51h9du4qvke6mms;val-ath;3czravw89omgc9o4s0w3l1bg5;ck7lu09geq8mi6vkf2llyi5ii;Mikel Jauregizar Alboniga;Mikel Jauregizar;Mikel Jauregizar;23;Substitute;Midfielder;0;0;0;10;16;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
