league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;saves;goalKicks;totalClearance;totalPass;minsPlayed;gameStarted;accuratePass;goalsConceded;formationPlace;totalTackle;totalThrows;wasFouled;shotOffTarget;totalScoringAtt;blockedScoringAtt;fouls;wonCorners;lostCorners;totalSubOff;wonTackle;cornerTaken;goalAssist;yellowCard;totalOffside;totalSubOn;ontargetScoringAtt;goals
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;50x1m4u58lffhq6v6ga1hbxmy;4sz26vstr6b7b110eri7f42jt;Dominik Greif;Dominik Greif;D. Greif;1;Goalkeeper;Centre;1;2;4;1;32;90;1;29;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;50x1m4u58lffhq6v6ga1hbxmy;dfjph36vcwfj5cevut4x3vf11;Johan Andrés Mojica Palacio;Johan Mojica;J. Mojica;22;Defender;Left;3;0;0;3;60;90;1;47;2;3;1;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;50x1m4u58lffhq6v6ga1hbxmy;9dewnn65ylruq567thg7ebqhh;Antonio José Raíllo Arenas;Antonio Raíllo;Antonio Raíllo;21;Defender;Left/Centre;6;0;1;8;100;90;1;86;2;6;1;1;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;50x1m4u58lffhq6v6ga1hbxmy;9t88fceutc2x108ga0qkzkafp;Martin Valjent;Martin Valjent;M. Valjent;24;Defender;Centre/Right;5;0;0;7;89;90;1;83;2;5;0;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;50x1m4u58lffhq6v6ga1hbxmy;5tsp2m5z3xie07ax0wq1qqsix;Mateu Jaume Morey Bauzà;Mateu Morey;Mateu Morey;2;Defender;Right;2;0;0;5;42;70;1;39;2;2;2;5;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;50x1m4u58lffhq6v6ga1hbxmy;1km9nvqz03yoj9cxpv127id7u;Samuel de Almeida Costa;Samuel de Almeida Costa;Samú Costa;12;Defensive Midfielder;Left/Centre;4;0;0;1;43;79;1;30;2;4;3;1;1;1;1;0;5;0;0;1;1;0;0;0;0;0;0;0
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;50x1m4u58lffhq6v6ga1hbxmy;bkvvapojagxvj17nzk3oy8ct1;Omar Mascarell González;Omar Mascarell;Omar Mascarell;5;Defensive Midfielder;Centre/Right;8;0;0;1;80;90;1;64;2;8;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;50x1m4u58lffhq6v6ga1hbxmy;9e7b5cm66oxf26fmp33yuppsl;Daniel José Rodríguez Vázquez;Dani Rodríguez;Dani Rodríguez;14;Attacking Midfielder;Left;11;0;0;4;15;71;1;11;2;11;3;0;1;2;2;0;1;0;1;1;2;0;0;0;0;0;0;0
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;50x1m4u58lffhq6v6ga1hbxmy;7xmaybxu4zd5k338bi3drkxcl;Sergi Darder Moll;Sergi Darder;Sergi Darder;10;Attacking Midfielder;Centre;10;0;0;2;49;90;1;38;2;10;0;3;0;0;0;0;1;1;0;0;0;3;1;0;0;0;0;0
73;2425;9j9iyih0tlfrn20g0e6m8cbo4;mll-get;50x1m4u58lffhq6v6ga1hbxmy;22dchchxwrsty67ultrs61qz9;Pablo Carmine Maffeo Becerra;Pablo Maffeo;Pablo Maffeo;23;Attacking Midfielder;Right;7;0;0;2;15;59;1;11;1;7;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0
