league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;totalPass;minsPlayed;accuratePass;goalsConceded;totalClearance;goalKicks;gameStarted;saves;formationPlace;totalSubOff;totalTackle;totalThrows;totalScoringAtt;shotOffTarget;wonTackle;lostCorners;fouls;yellowCard;wonCorners;wasFouled;ontargetScoringAtt;blockedScoringAtt;goals;cornerTaken;goalAssist;penaltyWon;totalSubOn;penGoalsConceded;penaltyFaced;totalOffside;penaltyConceded
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;w503zyr8ipyobglth281uklx;Alejandro Remiro Gargallo;Álex Remiro;Álex Remiro;1;Goalkeeper;Centre;1;38;90;31;2;1;4;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;6p8xl2smgf1ta7txpcj7cabu2;Javier López Carballo;Javi López;Javi López;12;Defender;Left;3;45;81;38;2;2;0;1;0;3;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;48gjuou5eashpj8wbwd18iju1;Igor Zubeldia Elorza;Igor Zubeldia;Igor Zubeldia;5;Defender;Left/Centre;6;66;90;62;2;5;0;1;0;6;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;e35v2pspdgl7t769d57e67ob9;Aritz Elustondo Irribaria;Aritz Elustondo;Aritz Elustondo;6;Defender;Centre/Right;5;65;90;57;2;5;0;1;0;5;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;xrh2szvp5808no7zm1et2zf9;Hamari Traoré;Hamari Traoré;H. Traoré;18;Defender;Right;2;32;65;30;1;2;0;1;0;2;1;1;6;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;aka2yqxmqpioxc1qzkl62ejv8;Pablo Marín Tejada;Pablo Marín;Pablo Marín;28;Defensive Midfielder;Left/Centre;4;19;65;18;1;0;0;1;0;4;1;2;0;3;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;80aqmv4ht6rs1812qrr5j8kix;Martín Zubimendi Ibáñez;Martín Zubimendi;Martín Zubimendi;4;Defensive Midfielder;Centre/Right;8;52;90;44;2;1;0;1;0;8;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;21vx56lpd276xqbu11ubkf78q;Ander Barrenetxea Muguruza;Ander Barrenetxea;Ander Barrenetxea;7;Attacking Midfielder;Left;11;18;58;16;1;1;0;1;0;11;1;2;0;1;0;2;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;dvrk8qmt9ta4c3kvjgsad7t91;Brais Méndez Portela;Brais Méndez;Brais Méndez;23;Attacking Midfielder;Centre;10;35;58;30;1;0;0;1;0;10;1;2;0;1;0;0;0;2;0;1;2;0;1;0;6;1;0;0;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;1qkep5ck252k1g3oqza5ygh61;Takefusa Kubo;Takefusa Kubo;T. Kubo;14;Attacking Midfielder;Right;7;35;90;27;2;0;0;1;0;7;0;0;0;2;0;0;0;1;0;2;3;2;0;0;1;0;1;0;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;b45ryclny991bm7qosieyg1cl;Mikel Oyarzabal Ugarte;Mikel Oyarzabal;Mikel Oyarzabal;10;Striker;Centre;9;18;90;14;2;1;0;1;0;9;0;1;0;3;0;1;0;0;0;1;2;3;0;1;0;1;0;0;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;ezbplvktzcvzh5kwur32110mi;Jon Mikel Aramburu Mejías;Jon Aramburu;J. Aramburu;19;Substitute;Defender;0;7;25;7;1;0;0;0;0;0;0;1;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;d4tdx2ctadv6kc3tbq4as8bmx;Sergio Gómez Martín;Sergio Gómez;Sergio Gómez;17;Substitute;Attacker;0;11;32;9;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;66l9n4gqc4aau3bpc0qtpta8k;Arkaitz Mariezkurrena Etxezarreta;Arkaitz Mariezkurrena;Arkaitz Mariezkurrena;40;Substitute;Attacker;0;4;9;4;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;1;0;1;0;0;0;1;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;9x5uo2wkxp9fk1arygbkl6u0a;Luka Sučić;Luka Sucic;L. Sučić;24;Substitute;Midfielder;0;10;32;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;63f5h8t5e9qm1fqmvfkb23ghh;et849xmcdgsy5itb8i4w7qkq2;Beñat Turrientes Imaz;Beñat Turrientes;Beñat Turrientes;22;Substitute;Midfielder;0;14;25;14;1;0;0;0;0;0;0;0;0;2;1;0;0;1;0;2;0;1;0;0;0;0;0;1;0;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;7h7eg7q7dbwvzww78h9d5eh0h;9jhm9qxoeqad7lm5i2nemgwes;Vladyslav Krapyvtsov;Vladyslav Krapyvtsov;V. Krapyvtsov;25;Goalkeeper;Centre;1;31;90;21;3;1;4;1;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;7h7eg7q7dbwvzww78h9d5eh0h;3kx4mltrob4yta5g6kr2u8ic5;Daley Blind;Daley Blind;D. Blind;17;Defender;Left;3;58;90;52;3;3;0;1;0;3;0;6;6;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;7h7eg7q7dbwvzww78h9d5eh0h;3vp8awfs73xgrh2krs24w6up5;Ladislav Krejčí;Ladislav Krejcí;L. Krejčí;18;Defender;Left/Centre;6;62;90;52;3;3;3;1;0;6;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
73;2425;9jo3uft2gpl7yksy7aj3f81sk;rso-gir;7h7eg7q7dbwvzww78h9d5eh0h;8nxr373i7g1m2ch2lk6k03ckq;Alejandro Francés Torrijo;Alejandro Francés;Alejandro Francés;16;Defender;Centre/Right;5;58;90;50;3;8;0;1;0;5;0;2;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
