league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;goalsConceded;accuratePass;gameStarted;totalPass;saves;minsPlayed;totalClearance;goalKicks;formationPlace;fouls;wasFouled;totalThrows;wonTackle;totalTackle;lostCorners;shotOffTarget;totalScoringAtt;redCard;totalSubOff;wonCorners;ontargetScoringAtt;totalOffside;blockedScoringAtt;cornerTaken;totalSubOn;cleanSheet;yellowCard;goals;goalAssist
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;10eyb18v5puw4ez03ocaug09m;cfc7fqq748bz3nklfam2a2fp;Ørjan Håskjold Nyland;Ørjan Nyland;Ø. Nyland;13;Goalkeeper;Centre;1;2;13;1;29;4;90;2;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;10eyb18v5puw4ez03ocaug09m;6jq376l673aizjxxhhos2j52i;José Ángel Carmona Navarro;José Ángel Carmona;José Ángel Carmona;2;Defender;Left;3;2;19;1;24;0;90;2;0;3;2;1;4;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;10eyb18v5puw4ez03ocaug09m;9nwkxgbl8t933pzu60ye4xxxw;Enrique Jesús Salas Valiente;Kike Salas;Kike Salas;4;Defender;Left/Centre;6;2;27;1;32;0;90;6;0;6;0;1;0;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;10eyb18v5puw4ez03ocaug09m;rlgrvvibryod2g92hqc97ii2;Loïc Séri Badé;Loïc Badé;L. Badé;22;Defender;Centre/Right;5;0;6;1;7;0;12;0;0;5;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;10eyb18v5puw4ez03ocaug09m;7j2h7bq14b9n6xephp8vchfu2;Juan Luis Sánchez Velasco;Juanlu Sánchez;Juanlu Sánchez;26;Defender;Right;2;1;31;1;38;0;77;2;0;2;0;1;5;3;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;10eyb18v5puw4ez03ocaug09m;7cdiijsvnfc7tafy0zkf4uz9;Mohameth Djibril Ibrahima Sow;Djibril Sow;D. Sow;20;Midfielder;Left;11;1;31;1;35;0;82;1;0;11;0;3;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;10eyb18v5puw4ez03ocaug09m;c8mp2wwwyvy930vfjnivg2hre;Lucien Jefferson Agoumé;Lucien Agoumé;L. Agoumé;18;Midfielder;Left/Centre;8;2;41;1;47;0;90;2;0;8;1;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;10eyb18v5puw4ez03ocaug09m;6vvwhgic29fekmmj2cg62ytp1;Nemanja Gudelj;Nemanja Gudelj;N. Gudelj;6;Midfielder;Centre/Right;4;2;14;1;20;0;90;4;0;4;0;0;0;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;10eyb18v5puw4ez03ocaug09m;5cw4n6kdaa7imeyaiuo2pnq39;Dodi Lukébakio Ngandoli;Dodi Lukébakio;D. Lukébakio;11;Midfielder;Right;7;0;23;1;27;0;45;0;0;7;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0
73;2425;9k2lcpit2c3iaegde42bu3uac;sev-rma;10eyb18v5puw4ez03ocaug09m;33hleud9o8i63qq8nq9qy6k9g;Álvaro Miguel García Pascual;Álvaro García Pascual;Álvaro García Pascual;42;Striker;Left/Centre;9;0;5;1;7;0;52;2;0;9;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0
