league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;goalsConceded;lostCorners;penGoalsConceded;accuratePass;minsPlayed;totalClearance;totalPass;saves;gameStarted;penaltyFaced;goalKicks;formationPlace;wasFouled;penaltyConceded;totalTackle;wonTackle;fouls;totalOffside;totalSubOff;totalThrows;shotOffTarget;totalScoringAtt;cornerTaken;wonCorners;blockedScoringAtt;ontargetScoringAtt;totalSubOn;cleanSheet;penaltyWon;yellowCard;goals
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4jelr92fsge73q39is6qvhxb3;e36lcgg2vegiecbez2j15fl9m;Karl Jakob Hein;Karl Hein;K. Hein;13;Goalkeeper;Centre;1;1;1;1;19;90;1;31;3;1;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4jelr92fsge73q39is6qvhxb3;csqsdjsa4leo6z86qphjuectm;Cenk Özkacar;Cenk Özkacar;C. Özkacar;6;Defender;Left/Centre;4;1;0;1;40;90;11;49;0;1;0;1;4;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4jelr92fsge73q39is6qvhxb3;cd6l176fmei1qgylqbf0btg8a;Tamás Nikitscher;Tamás Nikitscher;T. Nikitscher;4;Defender;Centre;5;1;1;1;26;90;5;29;0;1;0;0;5;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4jelr92fsge73q39is6qvhxb3;92573hn6oedcw6a0gj44xy8kp;Antonio Candela;Antonio Candela;A. Candela;22;Defender;Centre/Right;6;1;0;1;28;87;6;33;0;1;0;0;6;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4jelr92fsge73q39is6qvhxb3;b0l4lfplx1we1xo5usm0h2ec4;Adam Aznou Ben Cheikh;Adam Aznou;A. Aznou;39;Midfielder;Left;3;1;3;1;17;90;4;30;0;1;0;0;3;3;0;3;2;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4jelr92fsge73q39is6qvhxb3;1pg0b32xb9230zit0ndyd79ih;Selim Amallah;Selim Amallah;S. Amallah;21;Midfielder;Left/Centre;8;1;0;1;9;45;0;12;0;1;0;0;8;2;0;1;1;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4jelr92fsge73q39is6qvhxb3;1riebanoqbl7brs1bm3lkgxlg;Mario Martín Rielves;Mario Martín;Mario Martín;12;Midfielder;Centre/Right;7;1;1;1;10;45;6;16;0;1;0;0;7;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4jelr92fsge73q39is6qvhxb3;6sj650wwmo08r10xzz2l9xkut;Anuar Mohamed Tuhami;Anuar Tuhami;A. Tuhami;23;Midfielder;Right;2;1;2;1;24;73;6;26;0;1;0;0;2;4;0;1;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4jelr92fsge73q39is6qvhxb3;6km3r9cspyz7g6343o9mri63u;Raúl Moro Prescoli;Raúl Moro;Raúl Moro;11;Striker;Left/Centre;11;1;0;1;10;90;0;18;0;1;0;0;11;0;0;1;0;0;0;0;2;1;2;2;3;1;0;0;0;0;0;0
73;2425;9kh7bepwdl81dzjvyhu85y8t0;vll-ala;4jelr92fsge73q39is6qvhxb3;8lg4tqh5bepeexbhghyr7pze2;Juan Miguel Latasa Fernández Layos;Juanmi Latasa;Juanmi Latasa;14;Striker;Centre;9;1;0;1;6;90;0;12;0;1;0;0;9;1;0;0;0;1;1;0;0;0;2;0;0;1;1;0;0;0;0;0
