league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;minsPlayed;totalClearance;lostCorners;goalsConceded;penaltyFaced;accuratePass;penGoalsConceded;saves;gameStarted;totalPass;goalKicks;formationPlace;totalThrows;fouls;wonCorners;yellowCard;penaltyConceded;wonTackle;shotOffTarget;totalTackle;totalScoringAtt;totalOffside;totalSubOff;wasFouled;ontargetScoringAtt;cornerTaken;totalSubOn;cleanSheet;goalAssist;blockedScoringAtt;goals;penaltyWon
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;4vlurpsi44g09g159t61u83bp;Unai Simón Mendibil;Unai Simón;Unai Simón;1;Goalkeeper;Centre;1;90;2;1;3;1;10;1;1;1;20;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;8hm6d6395johhjsoe8jz6dcyd;Yuri Berchiche Izeta;Yuri Berchiche;Yuri;17;Defender;Left;3;90;3;2;3;0;16;1;0;1;19;0;3;9;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;5kd57453a90zahgdxwkghr816;Aitor Paredes Casamichana;Aitor Paredes;Aitor Paredes;4;Defender;Left/Centre;6;90;5;1;3;0;13;1;0;1;19;0;6;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;e8s9ssopq5nmp51zymvqp8jbp;Unai Núñez Gestoso;Unai Núñez;Unai Núñez;14;Defender;Centre/Right;5;62;3;0;2;0;12;0;0;1;14;0;5;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;e9wu8g45hq2c1vp07jktx0set;Óscar de Marcos Arana;Óscar De Marcos;De Marcos;18;Defender;Right;2;89;3;1;2;0;18;0;0;1;23;0;2;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;ck7lu09geq8mi6vkf2llyi5ii;Mikel Jauregizar Alboniga;Mikel Jauregizar;Mikel Jauregizar;23;Defensive Midfielder;Left/Centre;4;90;0;0;3;0;18;1;0;1;19;0;4;0;4;0;0;0;1;0;2;1;0;0;2;1;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;7ubtan6a51o79w469zawrqqqd;Íñigo Ruíz de Galarreta Etxeberria;Íñigo Ruíz de Galarreta;Íñigo Ruíz de Galarreta;16;Defensive Midfielder;Centre/Right;8;62;1;1;2;0;14;0;0;1;16;0;8;0;4;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;66jotyvbhtz5cjvhbby6luelm;Nicholas Williams Arthuer;Nico Williams;Nico Williams;10;Attacking Midfielder;Left;11;80;0;0;2;0;11;0;0;1;17;0;11;0;1;0;0;0;1;2;1;2;0;1;0;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;b2rqgjegzeyq6wy6qu63zz2fo;Unai Gómez Etxebarria;Unai Gómez;Unai Gómez;20;Attacking Midfielder;Centre;10;62;1;0;2;0;12;0;0;1;13;0;10;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;do5tibysnhbnbw18nwdo39kut;Alejandro Berenguer Remiro;Alex Berenguer;Alex Berenguer;7;Attacking Midfielder;Right;7;90;0;0;3;0;11;1;0;1;19;0;7;0;0;0;0;0;2;0;2;0;1;0;1;0;2;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;by8xbw0rb239l1x4b0t33tpn8;Maroan Sannadi Harrouch;Maroan Sannadi;M. Sannadi;21;Striker;Centre;9;90;1;0;3;0;13;1;0;1;16;0;9;0;2;0;0;0;0;2;0;2;2;0;5;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;v7isqpxiursyjhj5rmhyhjv9;Íñigo Lekue Martínez;Íñigo Lekue;Íñigo Lekue;15;Substitute;Defender;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;352ywlfcjt329s7etjn4rkui2;Beñat Prados Díaz;Beñat Prados;Beñat Prados;24;Substitute;Midfielder;0;28;0;0;1;0;7;1;0;0;7;0;0;0;3;1;0;0;2;1;3;1;0;0;0;0;0;1;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;dfcbvsb7o18lavmonbp5ucwoa;Oihan Sancet Tirapu;Oihan Sancet;Oihan Sancet;8;Substitute;Midfielder;0;28;0;0;1;0;6;1;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;9d5h5wxf44qu4fw3jk2pgis16;Daniel Vivian Moreno;Dani Vivian;Dani Vivian;3;Substitute;Defender;0;28;0;0;1;0;5;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;3czravw89omgc9o4s0w3l1bg5;ddvvwqxpsqqboupi3gx1ijhed;Iñaki Williams Arthuer;Iñaki Williams;I. Williams;9;Substitute;Attacker;0;10;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;4mxx1oxkiexm0ha34utcmb17t;Ignacio Peña Sotorres;Iñaki Peña;Iñaki Peña;13;Goalkeeper;Centre;1;90;1;0;0;0;35;0;2;1;36;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;bzgh5psb1janz9y3btpswngbu;Alejandro Balde Martínez;Alejandro Balde;Alejandro Balde;3;Defender;Left;3;81;0;0;0;0;60;0;0;1;64;0;3;3;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;bkwxem45cf48k14euwqe7rs44;Pau Cubarsí Paredes;Pau Cubarsí;Pau Cubarsí;2;Defender;Left/Centre;6;90;4;0;0;0;45;0;0;1;46;0;6;1;4;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;awsod0zmnrukk21d4882ji7e1;Ronald Federico Araujo da Silva;Ronald Araujo;R. Araujo;4;Defender;Centre/Right;5;64;4;0;0;0;80;0;0;1;82;0;5;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;4ggz7e009bq3yltc9o6mifbah;Eric García Martret;Eric García;Eric García;24;Defender;Right;2;90;1;1;0;0;71;0;0;1;79;0;2;10;0;1;0;0;2;0;5;0;0;0;0;0;0;0;1;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;4ftlhtels58lyzfluwofzwxuy;Pedro González López;Pedro González López;Pedri;8;Defensive Midfielder;Left/Centre;4;81;0;0;0;0;115;0;0;1;123;0;4;0;0;0;0;0;2;0;2;0;0;1;2;0;0;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;eb3ci3a120om80v80mobsus8a;Pablo Páez Gavira;Pablo Páez Gavira;Gavi;6;Defensive Midfielder;Centre/Right;8;90;0;1;0;0;95;0;0;1;98;0;8;0;0;0;0;0;3;0;8;0;0;0;5;0;0;0;1;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;2wl6h1rlrfnn2mr65vuo3t815;Raphael Dias Belloli;Raphael Dias Belloli;Raphinha;11;Attacking Midfielder;Left;11;64;1;0;0;0;23;0;0;1;28;0;11;0;0;0;0;0;0;1;0;1;0;1;0;0;2;0;0;0;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;cjll1xrw3xulnl23c9tlf6rys;Fermín López Marín;Fermín López;Fermín López;16;Attacking Midfielder;Centre;10;90;0;0;0;0;42;0;0;1;51;0;10;0;3;0;0;0;1;1;1;1;0;0;4;0;3;0;1;1;0;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;abr79wsl0folgkyvl821ggs2c;Lamine Yamal Nasraoui Ebana;Lamine Yamal Nasraoui Ebana;Lamine Yamal;19;Attacking Midfielder;Right;7;90;0;0;0;0;37;0;0;1;47;0;7;2;1;3;0;0;0;2;0;4;1;0;0;1;0;0;1;0;1;0;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;afxjicw89683nlpms9yy5x51x;Robert Lewandowski;Robert Lewandowski;R. Lewandowski;9;Striker;Centre;9;89;0;0;0;0;7;0;0;1;8;0;9;0;0;1;0;0;0;1;0;5;0;1;3;2;0;0;0;0;2;2;0
73;2425;9lnqs15tkvrgup74sjpchfkes;ath-bar;agh9ifb2mw3ivjusgedj7c3fe;1av9mmv19jwvc4xdr0p9owyxh;Andreas Bødtker Christensen;Andreas Christensen;A. Christensen;15;Substitute;Defender;0;26;1;0;0;0;29;0;0;0;31;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
