league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;gameStarted;goalsConceded;minsPlayed;totalPass;accuratePass;goalKicks;saves;formationPlace;totalSubOff;lostCorners;totalThrows;fouls;totalScoringAtt;shotOffTarget;totalClearance;wonTackle;wasFouled;totalTackle;yellowCard;wonCorners;blockedScoringAtt;ontargetScoringAtt;goalAssist;cornerTaken;goals;totalOffside;totalSubOn
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;2r4ox2h5r7doo3ys9ynm2nbo5;Adrián San Miguel del Castillo;Adrián San Miguel del Castillo;Adrián;13;Goalkeeper;Centre;1;1;1;90;27;21;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;9ak3zczupeken1itsmkherbh1;Ricardo Iván Rodríguez Araya;Ricardo Rodríguez;R. Rodríguez;12;Defender;Left;3;1;1;77;31;29;0;0;3;1;1;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;2r4450bqkmpcf1ogmcfhvczmy;Natan Bernardo de Souza;Natan Bernardo de Souza;Natan;6;Defender;Left/Centre;6;1;1;90;43;37;1;0;6;0;0;0;1;0;0;2;1;2;1;1;0;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;evpjdko94awbqbbl5wl9hto7p;Marc Bartra Aregall;Marc Bartra;Marc Bartra;5;Defender;Centre/Right;5;1;0;73;42;39;3;0;5;1;0;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;9226xt1t1m3fy4ob9l2r16609;Aitor Ruibal García;Aitor Ruibal;Aitor Ruibal;24;Defender;Right;2;1;1;90;46;39;0;0;2;0;0;9;0;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;5o07mnpidavbe0hqoqzwgom50;Sergi Altimira Clavell;Sergi Altimira;Sergi Altimira;16;Defensive Midfielder;Left/Centre;4;1;1;90;63;56;0;0;4;0;0;0;1;1;1;2;2;0;4;0;0;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;6aix9yu384pv1caanqiol231l;Pablo Fornals Malla;Pablo Fornals;Pablo Fornals;18;Defensive Midfielder;Centre/Right;8;1;1;90;60;49;0;0;8;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;30ed2aojjzmqigq6vkcrzc8pg;Jesús Rodríguez Caraballo;Jesús Rodríguez;Jesús Rodríguez;36;Attacking Midfielder;Left;11;1;0;60;16;13;0;0;11;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;45s1v9805id09m5zkcylueod1;Francisco Román Alarcón Suárez;Francisco Román Alarcón Suárez;Isco;22;Attacking Midfielder;Centre;10;1;0;73;44;38;0;0;10;1;0;0;0;3;1;0;1;2;1;0;0;0;2;1;2;0;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;v22q59d00b5v78rgx7v8z3vu;Antony Matheus dos Santos;Antony Matheus dos Santos;Antony;7;Attacking Midfielder;Right;7;1;1;90;40;36;0;0;7;0;0;1;3;2;1;0;4;2;5;0;1;0;1;0;1;1;0;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;8aao79b1g77c5jhp1n0w60xrd;Juan Camilo Hernández Suárez;Cucho Hernández;C. Hernández;19;Striker;Centre;9;1;0;60;13;11;0;0;9;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0
73;2425;9m2wfdv7rfamy33zbetujbndg;bet-val;ah8dala7suqqkj04n2l8xz4zd;a68fosxpgtyxj64ex9f6nget;Cédric Bakambu;Cédric Bakambu;C. Bakambu;11;Substitute;Attacker;0;0;1;30;8;6;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1
