league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;cleanSheet;goalKicks;gameStarted;totalPass;accuratePass;saves;minsPlayed;totalTackle;totalClearance;formationPlace;wonCorners;totalOffside;wonTackle;lostCorners;totalScoringAtt;blockedScoringAtt;totalThrows;fouls;ontargetScoringAtt;totalSubOff;wasFouled;shotOffTarget;cornerTaken;goals;totalSubOn;goalAssist;penaltyFaced;penaltySave;goalsConceded;penaltyConceded
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;38bp85766w04a0nuulq5fiig9;Andrii Lunin;Andrii Lunin;A. Lunin;13;Goalkeeper;Centre;1;1;9;1;16;14;1;90;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;39c5g6782qlrtw55fsre7exnt;Francisco José García Torres;Fran García;Fran García;20;Defender;Left;3;1;0;1;64;55;0;90;4;1;3;2;1;3;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;atj6u4qul0o2ca57etbmes07o;Raúl Asencio del Rosario;Raúl Asencio;Raúl Asencio;35;Defender;Left/Centre;6;1;0;1;41;41;0;90;1;2;6;0;0;1;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;aipyotc87m5bdvmvizd5n69k9;Aurélien Djani Tchouaméni;Aurélien Tchouaméni;A. Tchouaméni;14;Defender;Centre/Right;5;0;0;1;30;29;0;56;0;3;5;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;bf2pf3hs8gcvub4ivlve12ymt;Lucas Vázquez Iglesias;Lucas Vázquez;Lucas Vázquez;17;Defender;Right;2;0;0;1;45;40;0;77;1;2;2;0;0;0;1;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;i48mf81fxn2af1xxjzfi8gr9;Daniel Ceballos Fernández;Dani Ceballos;Dani Ceballos;19;Midfielder;Left/Centre;8;1;1;1;113;108;0;90;2;0;8;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;1i9wi65k2foqwudeqiyih87hl;Federico Santiago Valverde Dipetta;Federico Valverde;F. Valverde;8;Midfielder;Centre;4;1;0;1;86;82;0;90;2;1;4;1;0;2;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;diod1hv5hv7v7z7mfleev1txx;Luka Modrić;Luka Modric;L. Modrić;10;Midfielder;Centre/Right;7;0;0;1;116;107;0;87;0;0;7;1;0;0;0;0;0;1;1;0;1;1;0;6;0;0;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;3jln1gzc0859ymphvq83i0mp5;Brahim Abdelkader Díaz;Brahim Díaz;Brahim Díaz;21;Striker;Left/Centre;11;0;0;1;36;30;0;55;0;0;11;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;5e9ilgrz3tzg9kd1gk3yvrahh;Kylian Mbappé Lottin;Kylian Mbappé;K. Mbappé;9;Striker;Centre;9;1;0;1;38;34;0;90;0;0;9;2;2;0;0;8;0;1;0;5;0;1;3;0;2;0;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;39gif4xfy8xddarasbsad56ok;Arda Güler;Arda Güler;A. Güler;15;Striker;Centre/Right;10;1;0;1;85;78;0;90;3;0;10;0;0;2;0;1;0;4;0;1;0;1;0;4;0;0;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;e30x514qvzadcryj2zhoss26s;José María Andrés Baixauli;José María Andres Baixauli;Chema Andrés;36;Substitute;Midfielder;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;4o9d3hpjlicgce9gtbewyzhn8;Gonzalo García Torres;Gonzalo García;Gonzalo García;30;Substitute;Attacker;0;0;0;0;3;3;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;b4witgokm49tidm1a83qcvbop;Vinícius José Paixão de Oliveira Júnior;Vinícius José Paixão de Oliveira Júnior;Vinícius Júnior;7;Substitute;Attacker;0;0;0;0;27;25;0;35;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;3kq9cckrnlogidldtdie2fkbl;eihwzqtt27l2l8iu990h68edx;Jesús Vallejo Lázaro;Jesús Vallejo;Jesús Vallejo;18;Substitute;Defender;0;0;0;0;15;15;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;b2xlrg9xvucrut2fhmvsgjuqy;Unai Marrero Larrañaga;Unai Marrero;Unai Marrero;13;Goalkeeper;Centre;1;0;7;1;21;18;6;90;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;bj929w5yi7lnz36jxsi5qnq7e;Aihen Muñoz Capellán;Aihen Muñoz;Aihen Muñoz;3;Defender;Left;3;0;0;1;42;36;0;90;1;2;3;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;7bs0ph4yksf6lvkg91u9nqzqi;Jon Pacheco Dozagarat;Jon Pacheco;Jon Pacheco;20;Defender;Left/Centre;6;0;0;1;34;30;0;90;2;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;8krgbfnydbtyongkwnsaj43kk;Jon Martín Vicente;Jon Martín;Jon Martín;31;Defender;Centre/Right;5;0;0;1;30;26;0;90;1;12;5;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;ezbplvktzcvzh5kwur32110mi;Jon Mikel Aramburu Mejías;Jon Aramburu;J. Aramburu;19;Defender;Right;2;0;0;1;43;36;0;90;7;1;2;2;0;2;2;0;0;9;1;0;0;1;0;0;0;0;0;0;0;2;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;d4tdx2ctadv6kc3tbq4as8bmx;Sergio Gómez Martín;Sergio Gómez;Sergio Gómez;17;Midfielder;Left;11;0;0;1;30;28;0;71;1;1;11;0;0;0;1;1;0;0;0;1;1;0;0;3;0;0;0;0;0;1;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;et849xmcdgsy5itb8i4w7qkq2;Beñat Turrientes Imaz;Beñat Turrientes;Beñat Turrientes;22;Midfielder;Left/Centre;8;0;0;1;61;59;0;70;1;2;8;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;aka2yqxmqpioxc1qzkl62ejv8;Pablo Marín Tejada;Pablo Marín;Pablo Marín;28;Midfielder;Centre/Right;4;0;0;1;21;19;0;45;1;0;4;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;1qkep5ck252k1g3oqza5ygh61;Takefusa Kubo;Takefusa Kubo;T. Kubo;14;Midfielder;Right;7;0;0;1;34;30;0;90;1;0;7;1;0;1;0;1;1;0;0;0;0;3;0;1;0;0;0;0;0;2;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;66l9n4gqc4aau3bpc0qtpta8k;Arkaitz Mariezkurrena Etxezarreta;Arkaitz Mariezkurrena;Arkaitz Mariezkurrena;40;Striker;Left/Centre;9;0;0;1;14;11;0;71;0;1;9;1;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;9x5uo2wkxp9fk1arygbkl6u0a;Luka Sučić;Luka Sucic;L. Sučić;24;Striker;Centre/Right;10;0;0;1;46;39;0;84;1;1;10;0;0;1;0;2;1;0;0;0;1;0;1;0;0;0;0;0;0;2;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;21vx56lpd276xqbu11ubkf78q;Ander Barrenetxea Muguruza;Ander Barrenetxea;Ander Barrenetxea;7;Substitute;Attacker;0;0;0;0;5;4;0;19;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;dvrk8qmt9ta4c3kvjgsad7t91;Brais Méndez Portela;Brais Méndez;Brais Méndez;23;Substitute;Midfielder;0;0;0;0;6;6;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;6lnttemmflhxp700fr069ty0a;Jon Ander Olasagasti Imizcoz;Jon Olasagasti;Jon Olasagasti;16;Substitute;Midfielder;0;0;0;0;22;20;0;45;2;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0
73;2425;9mjlpf87pxs1s8u6gnfsqgkk4;rma-rso;63f5h8t5e9qm1fqmvfkb23ghh;b45ryclny991bm7qosieyg1cl;Mikel Oyarzabal Ugarte;Mikel Oyarzabal;Mikel Oyarzabal;10;Substitute;Attacker;0;0;0;0;6;6;0;19;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0
