league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;gameStarted;minsPlayed;accuratePass;saves;totalPass;lostCorners;goalKicks;cleanSheet;formationPlace;totalThrows;wasFouled;totalClearance;totalTackle;fouls;wonTackle;cornerTaken;yellowCard;totalOffside;totalSubOff;totalScoringAtt;blockedScoringAtt;goals;ontargetScoringAtt;wonCorners;goalAssist;shotOffTarget;totalSubOn;penaltyWon;penGoalsConceded;penaltyFaced;goalsConceded;penaltyConceded
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;c8llrezkm3b3op4afrou6b487;5f8kjgsaabn2li5r7bvpebbsa;Joan García Pons;Joan García;Joan García;1;Goalkeeper;Centre;1;1;90;23;4;32;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;c8llrezkm3b3op4afrou6b487;5djkwcoflvxcv5oida6txfyp6;Carlos Romero Serrano;Carlos Romero;Carlos Romero;22;Defender;Left;3;1;90;17;0;30;0;0;1;3;3;1;3;7;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;c8llrezkm3b3op4afrou6b487;6810qbng9pfg1bztczv11grmd;Leandro Daniel Cabrera Sasía;Leandro Cabrera;L. Cabrera;6;Defender;Left/Centre;6;1;90;42;0;50;0;0;1;6;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;c8llrezkm3b3op4afrou6b487;2rqxh5mex336ci45jaw428y5l;Fernando Calero Villa;Fernando Calero;Fernando Calero;5;Defender;Centre/Right;5;1;90;63;0;71;2;0;1;5;0;1;9;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;c8llrezkm3b3op4afrou6b487;7h0b81yjiiu356rycsakgd0yc;Omar El Hilali Khayat;Omar El Hilali;O. El Hilali;23;Defender;Right;2;1;90;36;0;43;0;0;1;2;16;2;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;c8llrezkm3b3op4afrou6b487;74wjzeja92l4q8fpy1bkmcsfd;Pol Lozano Vizuete;Pol Lozano;Pol Lozano;10;Defensive Midfielder;Left/Centre;4;1;45;15;0;18;0;0;0;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;c8llrezkm3b3op4afrou6b487;7y8ns61qioqu7kfsqzkvkwhuy;Urko González de Zárate Quirós;Urko González de Zárate Quirós;Urko González de Zárate;19;Defensive Midfielder;Centre/Right;8;1;79;23;0;31;0;0;0;8;0;0;3;4;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;c8llrezkm3b3op4afrou6b487;e5qp6dh1prc55llew51zpy1gp;Javier Puado Díaz;Javi Puado;Javi Puado;7;Attacking Midfielder;Left;11;1;90;18;0;21;0;0;1;11;1;2;0;1;2;1;0;1;0;0;2;1;1;1;2;1;0;0;0;0;0;0;0
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;c8llrezkm3b3op4afrou6b487;8qvqdjw1d58mw7420lpmk7bah;Eduardo Expósito Jaén;Edu Expósito;Edu Expósito;8;Attacking Midfielder;Centre;10;1;60;17;0;21;0;0;0;10;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
73;2425;9nrr908zd8ou14re1nckzvj84;esp-lpm;c8llrezkm3b3op4afrou6b487;59u1gn30f6bg5lr06zsglykq2;Jofre Carreras Pagès;Jofre Carreras;Jofre Carreras;17;Attacking Midfielder;Right;7;1;53;19;0;20;0;0;0;7;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
