league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;totalClearance;minsPlayed;totalPass;goalsConceded;saves;gameStarted;goalKicks;lostCorners;accuratePass;formationPlace;totalTackle;wonTackle;wasFouled;totalScoringAtt;totalThrows;shotOffTarget;fouls;totalSubOff;cornerTaken;ontargetScoringAtt;wonCorners;totalSubOn;cleanSheet;goals;blockedScoringAtt;goalAssist;totalOffside
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;9jhm9qxoeqad7lm5i2nemgwes;Vladyslav Krapyvtsov;Vladyslav Krapyvtsov;V. Krapyvtsov;25;Goalkeeper;Centre;1;1;90;26;4;8;1;3;2;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;3kx4mltrob4yta5g6kr2u8ic5;Daley Blind;Daley Blind;D. Blind;17;Defender;Left;3;4;90;55;4;0;1;0;1;53;3;2;2;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;3vp8awfs73xgrh2krs24w6up5;Ladislav Krejčí;Ladislav Krejcí;L. Krejčí;18;Defender;Left/Centre;6;3;90;47;4;0;1;1;0;44;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;8nxr373i7g1m2ch2lk6k03ckq;Alejandro Francés Torrijo;Alejandro Francés;Alejandro Francés;16;Defender;Centre/Right;5;6;64;49;0;0;1;0;1;40;5;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;2nq5nzq35tfwc7po29dtwqp78;Arnau Martínez López;Arnau Martínez;Arnau Martínez;4;Defender;Right;2;1;90;44;4;0;1;0;1;40;2;0;0;0;0;7;0;1;0;0;0;0;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;1rhh9hzqzsp331scjcefanvo4;Yáser Esnéider Asprilla Martínez;Yáser Asprilla;Y. Asprilla;10;Midfielder;Left;11;3;90;31;4;0;1;0;0;22;11;3;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;1abvcjwaxlhc22zoxdqu0t7th;Arthur Henrique Ramos de Oliveira Melo;Arthur Henrique Ramos de Oliveira Melo;Arthur;12;Midfielder;Left/Centre;8;1;73;43;1;0;1;0;0;40;8;0;0;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;c320492cbp1otejfp1i1oane1;Yangel Clemente Herrera Ravelo;Yangel Herrera;Y. Herrera;21;Midfielder;Centre/Right;4;1;73;24;1;0;1;0;1;18;4;3;1;1;1;0;0;4;1;0;1;0;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;3auwtiburdxrp2i5me2d97f11;Viktor Tsygankov;Viktor Tsygankov;V. Tsygankov;8;Midfielder;Right;7;4;90;34;4;0;1;0;0;28;7;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;5l6e9nd0defapk1w2ucndowr9;Cristian Portugués Manzanera;Cristian Portugués Manzanera;Portu;24;Striker;Left/Centre;9;0;64;4;0;0;1;0;0;3;9;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;6navc0x6p4yqy76zyo3zocwr9;Cristhian Ricardo Stuani Curbelo;Cristhian Stuani;C. Stuani;7;Striker;Centre/Right;10;2;89;15;2;0;1;0;0;9;10;0;0;1;0;0;0;5;1;0;0;0;0;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;9um7x9zd0e000zt57l3yearqh;Iván Martín Núñez;Iván Martín;Iván Martín;23;Substitute;Midfielder;0;0;26;14;4;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2425;9o79ffn6khv6rutsdno6yh9uc;gir-atm;7h7eg7q7dbwvzww78h9d5eh0h;8xd59g0c36012q6mg5f2fl239;Juan Pedro Ramírez López;Juan Pedro Ramírez López;Juanpe;15;Substitute;Defender;0;2;26;17;4;0;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
