league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;lostCorners;minsPlayed;gameStarted;saves;accuratePass;goalsConceded;totalClearance;goalKicks;totalPass;formationPlace;wonTackle;fouls;wasFouled;cornerTaken;totalTackle;totalThrows;yellowCard;totalSubOff;redCard;goalAssist;totalScoringAtt;totalOffside;blockedScoringAtt;shotOffTarget;wonCorners;goals;ontargetScoringAtt;totalSubOn
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;vota9gwygxp3wc998tl7ldxx;David Soria Solís;David Soria;David Soria;13;Goalkeeper;Centre;1;1;90;1;6;13;2;1;8;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;dkt9892ixwnz1bkmgileo71sl;Diego Rico Salguero;Diego Rico;Diego Rico;16;Defender;Left;3;0;90;1;0;20;2;2;0;32;3;1;1;1;1;1;9;1;0;0;0;0;0;0;0;0;0;0;0
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;bdaxbuz59551ktjj7g31slfc9;Juan Berrocal González;Juan Berrocal;Juan Berrocal;4;Defender;Left/Centre;6;0;45;1;0;21;1;3;0;22;6;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;cue88fm1v1ysfuwhql68czydx;Domingos de Sousa Coutinho Meneses Duarte;Domingos de Sousa Coutinho Meneses Duarte;Domingos Duarte;22;Defender;Centre/Right;5;2;89;1;0;27;2;7;0;31;5;2;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;6lz4bncnjfcm7wrtuiovguv2t;Allan-Roméo Nyom;Allan Nyom;A. Nyom;12;Defender;Right;2;0;90;1;0;22;2;2;0;28;2;2;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;7kser55g81n3lqj9rjd2mwftg;Christantus Ugonna Uche;Christantus Uche;C. Uche;6;Midfielder;Left;11;0;84;1;0;13;2;0;0;19;11;1;3;1;0;4;0;0;1;0;1;1;2;1;0;0;0;0;0
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;9see13i1f0n1ju4uhs8sijutx;Djené Dakonam Ortega;Djené Dakonam;D. Dakonam;2;Midfielder;Left/Centre;8;0;90;1;0;23;2;3;0;29;8;0;1;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;5gorfhj7uwpomrhlso1krxrkl;Mauro Wilney Arambarri Rosa;Mauro Arambarri;M. Arambarri;8;Midfielder;Centre/Right;4;0;59;1;0;14;1;1;0;17;4;3;1;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;5lzbyj5i0cotpry4gneap8c89;Juan Antonio Iglesias Sánchez;Juan Iglesias;Juan Iglesias;21;Midfielder;Right;7;1;90;1;0;21;2;3;0;29;7;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;52e2ogoex674bz6pcwluapdxx;Borja Mayoral Moya;Borja Mayoral;Borja Mayoral;9;Striker;Left/Centre;9;0;79;1;0;17;1;0;0;20;9;0;0;1;0;0;0;0;1;0;0;2;0;1;0;1;1;1;0
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;20ebw399jhbq0i5x2eacrrs6i;Ramon Terrats Espacio;Ramon Terrats;Ramon Terrats;11;Striker;Centre/Right;10;0;59;1;0;10;1;1;0;18;10;0;0;1;1;0;0;0;1;0;0;2;1;2;0;1;0;0;0
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;5oto675vo4ugk7nm22q4vkhsk;Ismael Bekhoucha Lemlal;Ismael Bekhoucha;I. Bekhoucha;28;Substitute;Defender;0;2;31;0;0;10;1;1;0;12;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;czo50ep8l8ubnp8ifn6bx87pw;Coba Gomes da Costa;Coba da Costa;Coba da Costa;29;Substitute;Attacker;0;0;6;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;c4je25rkbg2n45xs5iurevhlh;Juan Miguel Jiménez López;Juan Miguel Jiménez López;Juanmi;24;Substitute;Attacker;0;0;31;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;e5er1rgo8lluy6qjk4mcew6c4;Jesús Santiago Pérez;Jesús Santiago Pérez;Yellu Santiago;20;Substitute;Midfielder;0;0;45;0;0;19;1;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;1n1j0wsl763lq7ee1k0c11c02;k23exoxg1u76w0qaxc9gdpm;Bertuğ Özgür Yıldırım;Bertug Yildirim;B. Yıldırım;10;Substitute;Attacker;0;0;11;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2425;9ongy8h8d8jmbb4pxkkeimsyc;get-cel;6f27yvbqcngegwsg2ozxxdj4;8k88isvd2hwr5e4gn9oxzr2t;Vicente Guaita Panadero;Vicente Guaita;Vicente Guaita;13;Goalkeeper;Centre;1;0;90;1;0;14;1;0;2;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
