league;season;id;name;short_name;match_name;first_name;last_name;team;nationality;type
73;2526;926zov9ym2r4gmmo2k3jyxxat;Jon Iñaki Aspiazu San Emeterio;Jon Aspiazu;Aspiazu;Jon Iñaki;Aspiazu San Emeterio;Athletic Club;Spain;assistant coach
73;2526;dbdq6fyl44p43la2s5q9suehh;Ernesto Valverde Tejedor;Ernesto Valverde;Ernesto Valverde;Ernesto;Valverde Tejedor;Athletic Club;Spain;coach
73;2526;73rn9gits3tertvadno7g136y;José María Sanz Sánchez;José María Sanz Sánchez;Chema Sanz;José María;Sanz Sánchez;CA Osasuna;Spain;assistant coach
73;2526;i48ozgngttqqy2su617b6mzt;Alessio Lisci;Alessio Lisci;A. Lisci;Alessio;Lisci;CA Osasuna;Italy;coach
73;2526;5dipetqgrtvfknjkpiiz0cfdh;Nelson David Vivas;Nelson Vivas;N. Vivas;Nelson David;Vivas;Club Atlético de Madrid;Argentina;assistant coach
73;2526;b50ny8f8cz813cd7t9kknif9x;Diego Pablo Simeone González;Diego Simeone;D. Simeone;Diego Pablo;Simeone González;Club Atlético de Madrid;Argentina;coach
73;2526;2kiaodquh4o2i5z2yotrbxivp;Eduardo Germán Coudet;Eduardo Coudet;E. Coudet;Eduardo Germán;Coudet;Deportivo Alavés;Argentina;coach
73;2526;e0mwy06fc9p7nr8vg7ox7e6s5;Patricio Andrés Graff;Patricio Graff;P. Graff;Patricio Andrés;Graff;Deportivo Alavés;Argentina;assistant coach
73;2526;2alwgmgcud4guwkmcnxbtpy7e;Eder Sarabia Armesto;Eder Sarabia;Eder Sarabia;Eder;Sarabia Armesto;Elche CF;Spain;coach
73;2526;8c7gv6syowflyvpftmzcwh8no;Jon López Sáenz;Jon Lopez;Jon López;Jon;López Sáenz;Elche CF;Spain;assistant coach
73;2526;6bgvxtaatjlnusg4cssxzthhx;Marcus Sorg;Marcus Sorg;M. Sorg;Marcus;Sorg;FC Barcelona;Germany;assistant coach
73;2526;75d79ehx97h0oj79vjaxb69jp;Heiko Westermann;Heiko Westermann;H. Westermann;Heiko;Westermann;FC Barcelona;Germany;assistant coach
73;2526;8l5of7q12agsw80s400vqj7x1;Toni Tapalović;Toni Tapalovic;T. Tapalović;Toni;Tapalović;FC Barcelona;Croatia;assistant coach
73;2526;ebm098y98ctdw0zs1l1kvnt62;Hans-Dieter Flick;Hansi Flick;H. Flick;Hans-Dieter;Flick;FC Barcelona;Germany;coach
73;2526;28kjxeavcr2ptz1d53gc3qhh;Patricio Moreno Ruiz;Patri Moreno;Patri;Patricio;Moreno Ruiz;Getafe CF;Spain;assistant coach
