league;season;rank;team;venue_name;min_attendance;max_attendance;total_attendance;avg_attendance;capacity;percent_sold
73;2526;1;Real Madrid CF;Estadio Bernabéu;65104;78107;944889;72684;83186;87
73;2526;2;Club Atlético de Madrid;Riyadh Air Metropolitano;54098;69167;795226;61171;70460;87
73;2526;3;Real Betis Balompié;Estadio La Cartuja de Sevilla;50034;67447;769698;59208;72000;82
73;2526;4;Athletic Club;Estadio de San Mamés;45739;51313;624002;48000;53289;90
73;2526;5;FC Barcelona;Estadi Olímpic Lluís Companys;43172;50103;137645;45882;55926;82
73;2526;6;Valencia CF;Estadio de Mestalla;40364;47515;581421;44725;49430;90
73;2526;7;FC Barcelona;Spotify Camp Nou;42058;45205;355510;44439;99787;45
73;2526;8;Sevilla FC;Estadio Ramón Sánchez Pizjuán;25303;42580;455413;35032;42714;82
73;2526;9;Real Sociedad de Fútbol;Estadio Municipal de Anoeta;22442;37685;405825;31217;40000;78
73;2526;10;Reial Club Deportiu Espanyol de Barcelona;RCDE Stadium;25166;36283;376673;28975;40423;72
73;2526;11;Elche CF;Estadio Manuel Martínez Valero;21253;31233;370097;26436;31388;84
73;2526;12;Real Oviedo;Estadio Municipal Carlos Tartiere;20085;29850;327180;25168;30500;83
73;2526;13;CA Osasuna;Estadio El Sadar;18160;22480;246713;20559;23576;87
73;2526;14;Levante UD;Estadio Ciudad de Valencia;17346;23415;264780;20368;25534;80
73;2526;15;Real Club Celta de Vigo;Estadio Abanca-Balaídos;18705;21887;261972;20152;24791;81
73;2526;16;Villarreal CF;Estadio de la Cerámica;16825;20701;237383;18260;24500;75
73;2526;17;Real Club Deportivo Mallorca;Estadi Mallorca Son Moix;12964;23318;220715;16978;26020;65
73;2526;18;Deportivo Alavés;Estadio de Mendizorroza;12837;19290;213556;16427;19840;83
73;2526;19;Rayo Vallecano de Madrid;Estadio de Vallecas;11267;14468;139874;12716;15500;82
73;2526;20;Girona FC;Estadi Municipal de Montilivi;10050;14043;153510;11808;14500;81
73;2526;21;Getafe CF;Estadio Coliseum;7223;10090;106233;8172;17393;47
73;2526;22;FC Barcelona;Estadi Johan Cruyff;5711;5862;11573;5787;6000;96
73;2526;23;Rayo Vallecano de Madrid;Estadio Ontime Butarque;5335;5335;5335;5335;14436;37
