league;season;rank;team;points;matches_played;wins;draws;losses;goals_for;goals_against
73;2526;1;Real Madrid CF;27;13;8;2;3;25;13
73;2526;2;FC Barcelona;25;13;8;4;1;30;20
73;2526;3;Real Club Celta de Vigo;23;13;6;2;5;17;13
73;2526;4;Villarreal CF;20;13;6;5;2;19;20
73;2526;5;Real Betis Balompié;19;13;4;2;7;17;17
73;2526;6;Club Atlético de Madrid;17;13;4;4;5;13;13
73;2526;7;Getafe CF;17;13;5;6;2;11;18
73;2526;8;Reial Club Deportiu Espanyol de Barcelona;16;13;4;5;4;17;21
73;2526;9;Sevilla FC;15;13;4;6;3;16;22
73;2526;10;Real Sociedad de Fútbol;14;13;3;5;5;14;18
73;2526;11;Girona FC;14;13;3;5;5;14;21
73;2526;12;Athletic Club;12;13;3;7;3;13;21
73;2526;13;Levante UD;11;13;3;8;2;15;21
73;2526;14;Rayo Vallecano de Madrid;11;13;3;8;2;11;22
73;2526;15;CA Osasuna;9;14;2;9;3;8;16
73;2526;16;Valencia CF;9;13;2;8;3;11;26
73;2526;17;Deportivo Alavés;8;13;2;9;2;7;19
73;2526;18;Real Oviedo;6;12;1;8;3;11;26
73;2526;19;Real Club Deportivo Mallorca;5;13;1;10;2;10;25
73;2526;20;Elche CF;4;12;0;8;4;12;24
