league;season;rank;team;points;matches_played;wins;draws;losses;goals_for;goals_against
73;2526;1;FC Barcelona;39;13;13;0;0;41;6
73;2526;2;Club Atlético de Madrid;34;13;11;1;1;30;10
73;2526;3;Real Madrid CF;33;13;11;2;0;29;9
73;2526;4;Villarreal CF;31;13;10;2;1;29;11
73;2526;5;Real Betis Balompié;24;13;7;3;3;25;15
73;2526;6;CA Osasuna;24;12;7;2;3;22;14
73;2526;7;Athletic Club;23;13;7;4;2;17;15
73;2526;8;Elche CF;22;14;5;2;7;22;15
73;2526;9;Real Sociedad de Fútbol;21;13;6;4;3;24;20
73;2526;10;Valencia CF;20;13;5;3;5;16;13
73;2526;11;Reial Club Deportiu Espanyol de Barcelona;20;13;6;5;2;16;18
73;2526;12;Real Club Deportivo Mallorca;19;13;5;4;4;19;17
73;2526;13;Deportivo Alavés;19;13;5;4;4;16;15
73;2526;14;Real Club Celta de Vigo;17;13;4;4;5;19;15
73;2526;15;Rayo Vallecano de Madrid;16;12;3;2;7;12;10
73;2526;16;Girona FC;16;13;4;5;4;13;21
73;2526;17;Sevilla FC;15;13;4;6;3;18;19
73;2526;18;Getafe CF;15;13;4;6;3;10;11
73;2526;19;Real Oviedo;11;13;2;6;5;5;14
73;2526;20;Levante UD;10;13;2;7;4;13;23
