league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;totalTackle;totalThrows;wasFouled;wonTackle;totalSubOff;blockedScoringAtt;fouls;ontargetScoringAtt;totalScoringAtt;wonCorners;yellowCard;shotOffTarget;cornerTaken;totalOffside;totalSubOn
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4grc9qgcvusllap8h5j6gc5h5;7udphhcokm6vralyz5gkovxsl;Mathew David Ryan;Mathew Ryan;M. Ryan;13;Goalkeeper;Centre;1;36;1;1;7;3;90;4;1;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4grc9qgcvusllap8h5j6gc5h5;2y25g5wgiygxbp97r22o1a1as;Alan Agustín Matturro Romero;Alan Matturro;A. Matturro;3;Defender;Left;3;51;1;1;0;1;90;0;4;62;3;3;2;1;2;0;0;0;0;0;0;0;0;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4grc9qgcvusllap8h5j6gc5h5;4v3mcgy4w1n4g3vkq0fe7iwwk;Matías Agustín Moreno;Matías Moreno;M. Moreno;2;Defender;Left/Centre;6;8;0;1;0;0;29;0;1;10;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4grc9qgcvusllap8h5j6gc5h5;49230s4p4daocrftccqqbeqjt;Adrián de la Fuente Barquilla;Adrián de la Fuente;Adrián de la Fuente;4;Defender;Centre/Right;5;37;1;1;0;0;90;0;3;44;5;0;0;0;0;0;1;2;1;2;1;1;0;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4grc9qgcvusllap8h5j6gc5h5;5oge5fhmna0oduqvjisoa1djp;Jeremy Isaiah Richard Toljan;Jeremy Toljan;J. Toljan;22;Defender;Right;2;34;1;1;0;0;90;0;3;43;2;2;4;0;2;0;0;0;0;1;0;0;1;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4grc9qgcvusllap8h5j6gc5h5;e98i1kwb733b830mk2wqdlene;Pablo Martínez Andrés;Pablo Martínez;Pablo Martínez;10;Defensive Midfielder;Left/Centre;4;40;1;1;0;0;90;0;2;46;4;1;0;1;1;0;0;2;0;1;0;0;1;3;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4grc9qgcvusllap8h5j6gc5h5;dlxi9jrz36ge900qdsd9c0mlm;Ugo Raghouber;Ugo Raghouber;U. Raghouber;14;Defensive Midfielder;Centre/Right;8;41;1;1;0;0;90;0;2;48;8;2;0;4;1;0;0;1;0;1;0;0;1;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4grc9qgcvusllap8h5j6gc5h5;38igxi5sn8v00xtciwhqb44fe;Iker Losada Aragunde;Iker Losada;Iker Losada;18;Attacking Midfielder;Left;11;11;0;1;0;2;59;0;2;19;11;2;0;0;2;1;0;0;0;0;1;0;0;0;1;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4grc9qgcvusllap8h5j6gc5h5;6gtfe9aysdrcht4v2rluu0ley;Carlos Álvarez Rivera;Carlos Álvarez;Carlos Álvarez;24;Attacking Midfielder;Centre;10;19;0;1;0;0;75;0;1;23;10;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0
73;2526;26bsh372a4004fxjzg381qgb8;lev-atm;4grc9qgcvusllap8h5j6gc5h5;20s72mrpp0gl3hd333zaows2c;Kareem Tunde Ruiz;Kareem Tunde;Kareem Tunde;26;Attacking Midfielder;Right;7;4;0;1;0;0;75;0;0;5;7;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0
