league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;fouls;totalTackle;totalThrows;wonTackle;yellowCard;totalSubOff;wasFouled;goalAssist;shotOffTarget;totalScoringAtt;totalOffside;wonCorners;cornerTaken;blockedScoringAtt;goals;ontargetScoringAtt;totalSubOn
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;4mxx1oxkiexm0ha34utcmb17t;Ignacio Peña Sotorres;Iñaki Peña;Iñaki Peña;13;Goalkeeper;Centre;1;36;1;14;3;1;90;4;2;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;clrlsy05spf55w39f84b7p3sa;John Chetauya Nwankwo Donald Okeh;John Donald;John Donald;18;Defender;Left/Centre;4;30;1;0;3;2;90;0;1;31;4;2;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;8nbnru9t2qxaotxw0hiaocdt5;Víctor Chust García;Victor Chust;Víctor Chust;23;Defender;Centre;5;39;1;1;3;2;90;0;5;41;5;2;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;7o7vwlqxknci1fymzkn9hug6i;David Affengruber;David Affengruber;D. Affengruber;22;Defender;Centre/Right;6;19;1;0;3;1;74;0;1;29;6;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;5mgmcero3ui4a24v1w1upx3sa;Germán Valera Karabinaite;Germán Valera;Germán Valera;11;Midfielder;Left;3;25;1;0;3;0;90;0;0;28;3;0;1;5;1;0;0;2;1;1;1;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;z0qe6u5fvgrjy0jzk1qhbgq2;Marc Aguado Pallarés;Marc Aguado;Marc Aguado;8;Midfielder;Left/Centre;8;14;1;0;2;0;56;0;1;16;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;1filh68q6hdk921qkdo7rsvmc;Rodrigo Mendoza Martinez Moya;Rodrigo Mendoza;Rodrigo Mendoza;30;Midfielder;Centre/Right;7;37;1;0;3;0;90;0;3;40;7;3;2;0;1;1;0;3;0;1;1;1;0;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;8rprxly1blrhq9cwhfqoheeax;Adrià Giner Pedrosa;Adrià Pedrosa;Adrià Pedrosa;3;Midfielder;Right;2;20;1;0;3;1;90;0;1;25;2;2;2;2;1;0;0;1;0;0;0;1;1;0;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;dce6e4b9ckqkxj1zpsh8poz55;Grady George Diangana;Grady Diangana;G. Diangana;19;Attacking Midfielder;Centre;9;6;1;0;2;0;60;0;0;14;9;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
73;2526;26p4gv6nxij3gqaoea17rxct0;elc-bar;4yg9ttzw0m51048doksv8uq5r;dhhmffih4gl51nlu92hfctqs5;André Miguel Valente da Silva;André Miguel Valente da Silva;André Silva;9;Striker;Left/Centre;11;7;1;0;2;1;60;0;0;10;11;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0
