league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;minsPlayed;saves;totalClearance;totalPass;formationPlace;lostCorners;shotOffTarget;totalScoringAtt;totalTackle;wonTackle;wasFouled;fouls;totalSubOff;totalOffside;totalThrows;wonCorners;blockedScoringAtt;cornerTaken;ontargetScoringAtt;yellowCard;totalSubOn
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;vota9gwygxp3wc998tl7ldxx;David Soria Solís;David Soria;David Soria;13;Goalkeeper;Centre;1;16;1;1;5;90;1;3;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;buglwgk2hthoyqt1ocghya92i;Zaid Abner Romero;Zaid Romero;Z. Romero;24;Defender;Left/Centre;4;29;1;1;0;90;0;5;38;4;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;9see13i1f0n1ju4uhs8sijutx;Djené Dakonam Ortega;Djené Dakonam;D. Dakonam;2;Defender;Centre;5;33;1;1;0;90;0;6;36;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;cue88fm1v1ysfuwhql68czydx;Domingos de Sousa Coutinho Meneses Duarte;Domingos de Sousa Coutinho Meneses Duarte;Domingos Duarte;22;Defender;Centre/Right;6;41;1;1;0;89;0;2;45;6;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;5lzbyj5i0cotpry4gneap8c89;Juan Antonio Iglesias Sánchez;Juan Iglesias;Juan Iglesias;21;Wing Back;Left;3;15;1;1;0;90;0;3;21;3;1;0;0;2;1;2;3;0;1;5;1;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;6wpnjdlg2p8f19y3gjpz1su6t;Francisco Femenía Far;Kiko Femenía;Kiko Femenía;17;Wing Back;Right;2;30;1;1;0;89;0;0;41;2;0;0;0;1;0;0;1;1;0;11;2;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;5gorfhj7uwpomrhlso1krxrkl;Mauro Wilney Arambarri Rosa;Mauro Arambarri;M. Arambarri;8;Midfielder;Left/Centre;11;15;1;1;0;90;0;0;18;11;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;ch1lxxbn01at4jmkafy4uevh1;Luis Milla Manzanares;Luis Milla;Luis Milla;5;Midfielder;Centre;8;39;1;1;0;90;0;0;47;8;0;0;1;2;1;3;0;0;0;0;1;1;5;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;1riebanoqbl7brs1bm3lkgxlg;Mario Martín Rielves;Mario Martín;Mario Martín;6;Midfielder;Centre/Right;7;18;0;1;0;68;0;0;22;7;0;1;1;5;2;2;4;1;0;0;1;0;0;0;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;c68syh6axbkqmcmvrpumqb8mi;Martín Adrián Satriano Costa;Martín Satriano;M. Satriano;10;Striker;Left/Centre;9;14;0;1;0;77;0;2;18;9;0;1;2;0;0;1;2;1;0;0;0;0;0;1;1;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;cei4ujo2jqzc9f0tmi8xgll62;Luis Ismael Vázquez;Luis Vázquez;L. Vázquez;19;Striker;Centre/Right;10;5;1;1;0;89;0;0;10;10;1;2;3;0;0;1;1;1;4;0;0;0;0;1;0;0
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;4wkn0nrhl9gmaflvw2wdoup04;Juan Sebastián Boselli Graf;Sebastián Boselli;S. Boselli;15;Substitute;Defender;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;alz5rwbxued4hgkts0panocus;Adrián Liso Lahoz;Adrián Liso;Adrián Liso;23;Substitute;Attacker;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;aohmwqhdb8hlp5lvqboh0t5g5;Javier Muñoz Jiménez;Javi Muñoz;Javi Muñoz;14;Substitute;Midfielder;0;1;0;0;0;22;0;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;6lz4bncnjfcm7wrtuiovguv2t;Allan-Roméo Nyom;Allan Nyom;A. Nyom;12;Substitute;Defender;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;1n1j0wsl763lq7ee1k0c11c02;1h9m92ke4lsj8jzb1l5wfqsmi;Alejandro San Cristóbal Sánchez;Alejandro San Cristóbal Sánchez;Alex Sancris;18;Substitute;Attacker;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;272epdgf25skn7iaizs21mzh0;get-cel;6f27yvbqcngegwsg2ozxxdj4;6wplm29z7qxxmujyc2ml19gix;Ionuț Andrei Radu;Ionut Radu;I. Radu;13;Goalkeeper;Centre;1;20;1;1;9;90;2;1;28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
