league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;fouls;shotOffTarget;totalScoringAtt;totalTackle;totalThrows;wasFouled;wonTackle;blockedScoringAtt;totalSubOff;wonCorners;cornerTaken;ontargetScoringAtt;goals;totalOffside;yellowCard;goalAssist;penaltyWon;totalSubOn;penGoalsConceded;penaltyFaced;redCard;secondYellow;penaltyConceded
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;6crmq7vzqts58wg196q48sc7p;Thibaut Nicolas Marc Courtois;Thibaut Courtois;T. Courtois;1;Goalkeeper;Centre;1;23;1;3;1;1;90;3;1;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;en2c7z1raqmcwee78297pbnu2;Eduardo Celmi Camavinga;Eduardo Camavinga;E. Camavinga;6;Defender;Left;3;71;1;0;1;2;90;0;2;76;3;2;1;1;4;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;d2hnxi1yi5rgqj1tvxh1813x0;Dean Donny Huijsen Wijsmuller;Dean Huijsen;Dean Huijsen;24;Defender;Left/Centre;6;60;1;0;1;0;77;0;2;67;6;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;atj6u4qul0o2ca57etbmes07o;Raúl Asencio del Rosario;Raúl Asencio;Raúl Asencio;17;Defender;Centre/Right;5;28;1;2;0;0;45;0;2;28;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;1i9wi65k2foqwudeqiyih87hl;Federico Santiago Valverde Dipetta;Federico Valverde;F. Valverde;8;Defender;Right;2;60;1;0;1;1;90;0;6;69;2;1;0;1;1;5;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;e83ula4wockmc2xid7185kcq2;Jude Victor William Bellingham;Jude Bellingham;J. Bellingham;5;Midfielder;Left;11;4;1;0;0;0;10;0;0;4;11;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;aipyotc87m5bdvmvizd5n69k9;Aurélien Djani Tchouaméni;Aurélien Tchouaméni;A. Tchouaméni;14;Midfielder;Left/Centre;8;60;1;0;1;0;90;0;3;67;8;0;1;1;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;39gif4xfy8xddarasbsad56ok;Arda Güler;Arda Güler;A. Güler;15;Midfielder;Centre/Right;4;44;1;0;1;0;77;0;0;48;4;0;0;1;1;0;2;1;0;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;1fkntyd2z8e169yh98k0zst90;Franco Martín Mastantuono;Franco Mastantuono;F. Mastantuono;30;Midfielder;Right;7;17;1;0;1;0;60;0;0;19;7;0;0;0;2;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;b4witgokm49tidm1a83qcvbop;Vinícius José Paixão de Oliveira Júnior;Vinícius José Paixão de Oliveira Júnior;Vinícius Júnior;7;Striker;Left/Centre;9;37;1;0;1;0;90;0;0;44;9;1;1;2;3;0;3;0;0;0;2;0;1;1;1;1;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;5e9ilgrz3tzg9kd1gk3yvrahh;Kylian Mbappé Lottin;Kylian Mbappé;K. Mbappé;10;Striker;Centre/Right;10;16;1;0;1;0;90;0;0;20;10;0;1;5;0;0;1;0;2;0;3;0;2;1;0;0;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;3jln1gzc0859ymphvq83i0mp5;Brahim Abdelkader Díaz;Brahim Díaz;Brahim Díaz;21;Substitute;Midfielder;0;25;0;0;1;0;80;0;0;28;0;1;1;2;1;0;2;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;i48mf81fxn2af1xxjzfi8gr9;Daniel Ceballos Fernández;Dani Ceballos;Dani Ceballos;19;Substitute;Midfielder;0;46;0;0;1;0;45;0;0;50;0;1;1;1;1;1;3;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;4o9d3hpjlicgce9gtbewyzhn8;Gonzalo García Torres;Gonzalo García;Gonzalo García;16;Substitute;Attacker;0;4;0;0;0;0;30;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;6w5wyari2p4bh2zzy2x2f6hg5;David Olatukunbo Alaba;David Alaba;D. Alaba;4;Substitute;Defender;0;12;0;0;0;0;13;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3kq9cckrnlogidldtdie2fkbl;broq8imimhtlejtffissquy5m;Rodrygo Silva de Goes;Rodrygo Silva de Goes;Rodrygo;11;Substitute;Attacker;0;15;0;0;0;0;13;0;0;16;0;0;0;1;3;0;0;3;0;0;1;5;1;0;0;0;0;0;1;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3budh3j9xivsid3ptm8ptpy4k;9h6xf4ac4rpsjpummcdx26z9;Augusto Martín Batalla Barga;Augusto Batalla;A. Batalla;13;Goalkeeper;Centre;1;19;1;4;2;0;90;4;1;32;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3budh3j9xivsid3ptm8ptpy4k;amt4voyjzhnvr55t08hzlw50q;Josep María Chavarría Pérez;Pep Chavarría;Pep Chavarría;3;Defender;Left;3;41;1;0;2;3;90;0;4;46;3;3;1;1;5;2;0;4;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3budh3j9xivsid3ptm8ptpy4k;cdsidpd0i3ub2tvw47qt813x0;Nobel Mendy;Nobel Mendy;N. Mendy;32;Defender;Left/Centre;6;36;1;4;2;1;90;0;6;40;6;1;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3budh3j9xivsid3ptm8ptpy4k;533095rnz0k8mxqe6gzn0mfo5;Florian Grégoire Claude Lejeune;Florian Lejeune;F. Lejeune;24;Defender;Centre/Right;5;49;1;4;2;2;90;0;7;54;5;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3budh3j9xivsid3ptm8ptpy4k;38dhmhce7deuqgqmc3p7nhai2;Andrei Florin Rațiu;Andrei Ratiu;A. Rațiu;2;Defender;Right;2;41;1;0;2;1;90;0;0;49;2;1;0;1;4;11;0;2;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3budh3j9xivsid3ptm8ptpy4k;f0a2qk3jzxercn67bben5eled;Gerard Gumbau Garriga;Gerard Gumbau;Gerard Gumbau;15;Defensive Midfielder;Left/Centre;4;31;1;0;1;0;56;0;1;34;4;3;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3budh3j9xivsid3ptm8ptpy4k;1ho7koiegfhsuevuum2meibu2;Pathé Ismaël Ciss;Pathé Ciss;P. Ciss;6;Defensive Midfielder;Centre/Right;8;49;1;0;1;0;80;0;2;51;8;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3budh3j9xivsid3ptm8ptpy4k;8eh38t4oyyt728co362f6uqqd;Álvaro García Rivera;Álvaro García;Álvaro García;18;Attacking Midfielder;Left;11;10;1;0;1;0;77;0;1;11;11;0;0;1;1;0;2;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0
73;2526;27t0dyh53751craqajb3o62hg;rma-ray;3budh3j9xivsid3ptm8ptpy4k;3ca7tqrdasmeop6ud9zot0wdl;Isaac Palazón Camacho;Isi Palazón;Isi Palazón;7;Attacking Midfielder;Centre;10;37;1;0;1;0;83;0;0;38;10;2;0;1;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0
