league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;blockedScoringAtt;totalScoringAtt;totalThrows;wonCorners;fouls;goalAssist;totalOffside;yellowCard;ontargetScoringAtt;shotOffTarget;totalTackle;wonTackle;totalSubOff;wasFouled;cornerTaken;totalSubOn;goals;redCard
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;4vlurpsi44g09g159t61u83bp;Unai Simón Mendibil;Unai Simón;Unai Simón;1;Goalkeeper;Centre;1;27;1;4;1;1;90;4;1;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;5ayo0fp6wod7cqg71e38zdz4k;Adama Boiro Boiro;Adama Boiro;Adama Boiro;19;Defender;Left;3;32;1;0;1;1;90;0;2;37;3;1;1;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;8hm6d6395johhjsoe8jz6dcyd;Yuri Berchiche Izeta;Yuri Berchiche;Yuri;17;Defender;Left/Centre;6;53;1;0;1;0;90;0;1;56;6;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;5kd57453a90zahgdxwkghr816;Aitor Paredes Casamichana;Aitor Paredes;Aitor Paredes;4;Defender;Centre/Right;5;43;1;0;1;0;90;0;3;49;5;1;3;0;1;2;0;0;1;1;1;1;1;0;0;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;7r7wgbcu7vmlj19m9jpjhu1yi;Jesús Areso Blanco;Jesús Areso;Jesús Areso;12;Defender;Right;2;17;1;0;1;0;79;0;3;21;2;0;0;5;0;1;0;0;1;0;0;3;0;1;1;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;1xsrdgt40nb6p9qvt6mf272fo;Alejandro Rego Mora;Alejandro Rego;Alejandro Rego;30;Defensive Midfielder;Left/Centre;4;17;1;0;1;0;45;0;1;20;4;1;1;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;ck7lu09geq8mi6vkf2llyi5ii;Mikel Jauregizar Alboniga;Mikel Jauregizar;Mikel Jauregizar;18;Defensive Midfielder;Centre/Right;8;37;1;0;1;0;90;0;1;48;8;1;2;0;1;3;0;0;0;0;1;2;2;0;0;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;66jotyvbhtz5cjvhbby6luelm;Nicholas Williams Arthuer;Nico Williams;Nico Williams;10;Attacking Midfielder;Left;11;14;1;0;1;0;72;0;0;25;11;3;3;2;1;0;0;1;0;0;0;1;0;1;2;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;b2rqgjegzeyq6wy6qu63zz2fo;Unai Gómez Etxebarria;Unai Gómez;Unai Gómez;20;Attacking Midfielder;Centre;10;10;1;0;1;0;62;0;0;14;10;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;do5tibysnhbnbw18nwdo39kut;Alejandro Berenguer Remiro;Alex Berenguer;Alex Berenguer;7;Attacking Midfielder;Right;7;15;1;0;1;1;72;0;0;18;7;0;3;0;0;1;0;0;0;1;2;0;0;1;2;5;0;0;0
73;2526;288lesgslzcbljs163839jl04;ath-rso;3czravw89omgc9o4s0w3l1bg5;3tzvbdszdrj1tayik9igbve8l;Gorka Guruzeta Rodríguez;Gorka Guruzeta;Gorka Guruzeta;11;Striker;Centre;9;11;1;0;1;0;90;0;0;17;9;1;2;0;0;1;0;0;0;1;0;1;0;0;4;0;0;0;0
