league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;penaltyFaced;penaltySave;saves;totalClearance;totalPass;formationPlace;fouls;totalTackle;totalThrows;wonTackle;totalSubOff;wasFouled;shotOffTarget;totalScoringAtt;penaltyConceded;penaltyWon;blockedScoringAtt;cornerTaken;wonCorners;goals;ontargetScoringAtt;totalOffside;totalSubOn;penGoalsConceded;yellowCard;goalAssist
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;routhh0ialijcg3egagouig9;Álvaro Valles Rosa;Álvaro Valles;Álvaro Valles;1;Goalkeeper;Centre;1;17;1;5;1;1;90;1;1;3;2;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;9ak3zczupeken1itsmkherbh1;Ricardo Iván Rodríguez Araya;Ricardo Rodríguez;R. Rodríguez;12;Defender;Left;3;37;1;0;1;1;90;0;0;0;2;44;3;1;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;9ao7l82r1xd2rjnvv5u6plcr9;Diego Javier Llorente Ríos;Diego Llorente;Diego Llorente;3;Defender;Left/Centre;6;40;1;2;1;0;89;0;0;0;4;43;6;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;evpjdko94awbqbbl5wl9hto7p;Marc Bartra Aregall;Marc Bartra;Marc Bartra;5;Defender;Centre/Right;5;44;1;1;1;0;90;0;0;0;5;47;5;3;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;9226xt1t1m3fy4ob9l2r16609;Aitor Ruibal García;Aitor Ruibal;Aitor Ruibal;24;Defender;Right;2;50;1;0;1;2;90;0;0;0;1;59;2;3;2;8;2;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;4r6jcuotjs6rz8iwu20996z85;Marc Roca Junqué;Marc Roca;Marc Roca;21;Defensive Midfielder;Left/Centre;4;44;1;0;1;0;90;0;0;0;1;48;4;1;3;0;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;5o07mnpidavbe0hqoqzwgom50;Sergi Altimira Clavell;Sergi Altimira;Sergi Altimira;6;Defensive Midfielder;Centre/Right;8;24;1;0;1;0;45;0;0;0;1;30;8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;96cbv23es0gucmd2v0qvk3iwa;Abdessamad Ezzalzouli;Abde Ezzalzouli;A. Ezzalzouli;10;Attacking Midfielder;Left;11;35;1;0;1;1;90;0;0;0;0;41;11;1;4;1;4;0;3;2;3;0;0;1;1;1;0;0;0;0;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;72pvwj4z6j8xwsgs6zlhr5e6s;Nelson Alexander Deossa Suárez;Nelson Deossa;N. Deossa;18;Attacking Midfielder;Centre;10;40;1;0;1;0;90;0;0;0;2;45;10;1;2;0;1;0;2;2;4;0;0;2;0;1;0;0;0;0;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;v22q59d00b5v78rgx7v8z3vu;Antony Matheus dos Santos;Antony Matheus dos Santos;Antony;7;Attacking Midfielder;Right;7;27;1;0;1;0;89;0;0;0;2;39;7;1;0;1;0;1;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;cuxm7t8cql3v06hqf18wvcul1;Luis Ezequiel Ávila;Chimy Ávila;C. Ávila;9;Striker;Centre;9;11;1;0;1;0;67;0;0;0;3;15;9;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;6aix9yu384pv1caanqiol231l;Pablo Fornals Malla;Pablo Fornals;Pablo Fornals;8;Substitute;Midfielder;0;21;0;0;0;0;45;0;0;0;0;29;0;1;1;0;1;0;0;0;2;0;0;1;1;0;1;1;0;1;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;5lsx1d5uu8hu6x6a2eocqhvys;Pablo García Fernández;Pablo García;Pablo García;52;Substitute;Attacker;0;2;0;0;0;0;23;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;79u84y1eb01yyp8mhpej75q1g;Diego Valentín Gómez;Valentín Gómez;V. Gómez;16;Substitute;Defender;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ah8dala7suqqkj04n2l8xz4zd;cd0w7dewgwkiiqkg0jty8ae50;Ángel Ortiz Monterrey;Ángel Ortiz;Ángel Ortiz;40;Substitute;Defender;0;2;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;5dfvefxvwj8kixbajluw25mtx;Stole Dimitrievski;Stole Dimitrievski;S. Dimitrievski;1;Goalkeeper;Centre;1;14;1;4;2;0;90;1;0;0;0;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;5b1q9bpe23j98eoy4fwi7ld5h;José Luis Gayà Peña;José Gayà;José Gayà;14;Defender;Left;3;29;1;0;2;1;90;0;0;0;2;32;3;2;5;5;3;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;3n66mcws9belxbv3pu5uwhfu2;José Manuel Arias Copete;José Manuel Arias Copete;Copete;3;Defender;Left/Centre;6;38;1;3;1;0;80;0;0;0;3;41;6;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;5uig03vbbv71f0q31cp3vfbv9;Eray Ervin Cömert;Eray Cömert;E. Cömert;24;Defender;Centre/Right;5;43;1;0;2;0;90;0;0;0;2;49;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;wlqj34ev5mucxtfx6j4tr9at;Dimitri Christophe Foulquier;Dimitri Foulquier;D. Foulquier;20;Defender;Right;2;28;1;0;2;1;90;0;0;0;3;35;2;2;2;8;2;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;4rktv6j9sioe0gmu7jt77fsh5;Arnaut Danjuma Adam Groeneveld;Arnaut Danjuma;A. Danjuma;7;Midfielder;Left;11;15;1;0;2;0;90;0;0;0;0;16;11;0;1;0;1;0;3;0;1;0;1;0;0;0;0;1;0;0;1;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;3702btkgwxf6tq92ouekd7ro5;José Luis García Vayá;José Luis García Vayá;Pepelu;18;Midfielder;Left/Centre;8;43;1;0;1;0;72;0;0;0;2;49;8;4;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;94md3wf5xab5mnj5niiwq33zd;Filip Ugrinic;Filip Ugrinic;F. Ugrinic;23;Midfielder;Centre/Right;4;39;1;0;2;1;90;0;0;0;1;47;4;1;0;0;0;0;1;2;3;0;0;0;1;1;0;1;0;0;1;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;6kc8ieszwg6u00e3sa554y7yt;Luis Jesús Rioja González;Luis Rioja;Luis Rioja;11;Midfielder;Right;7;19;1;0;1;0;77;0;0;0;0;26;7;0;2;0;1;1;0;0;3;0;0;2;4;1;1;1;0;0;1;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;7yieh5r0uzk6d6x9o060c2bfu;Hugo Duro Perales;Hugo Duro;Hugo Duro;9;Striker;Left/Centre;9;9;1;0;1;0;71;0;0;0;1;11;9;0;0;0;0;1;3;1;1;0;0;0;0;1;0;0;1;0;1;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;a6ud2u88utl6khwf0c4qbdox6;Lucas Ezequiel Beltrán;Lucas Beltrán;L. Beltrán;15;Striker;Centre/Right;10;30;1;0;1;0;72;0;0;0;1;34;10;0;3;0;1;1;4;1;3;0;0;2;0;0;0;0;0;0;1;0;1
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;4j3u6v01emo9nsel7uw00qsfe;Diego López Noguerol;Diego López;Diego López;16;Substitute;Attacker;0;4;0;0;1;0;13;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;9dc4qkvh0vk5kwymibji00kp;Domingos André Ribeiro Almeida;Domingos André Ribeiro Almeida;André Almeida;10;Substitute;Midfielder;0;8;0;0;1;0;18;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;dtvmsnqlzn5672xb54zj8u7dh;Umar Sadiq Mesbah;Umar Sadiq;U. Sadiq;6;Substitute;Attacker;0;3;0;0;1;0;19;0;0;0;0;5;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;9br2z5cf6stmnidehwo5a8afp;Baptiste Santamaría;Baptiste Santamaría;B. Santamaría;22;Substitute;Midfielder;0;8;0;0;1;0;18;0;0;0;0;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;28lvz9j35a3we5r2jy9lff7dg;bet-val;ba5e91hjacvma2sjvixn00pjo;2u8bekuidiwqz1gvb4vd3uhg;César Tárrega Requeni;César Tárrega;César Tárrega;5;Substitute;Defender;0;2;0;0;1;0;10;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
