league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;totalThrows;wasFouled;fouls;totalTackle;wonTackle;wonCorners;yellowCard;blockedScoringAtt;goals;ontargetScoringAtt;totalScoringAtt;totalSubOff;penaltyWon;cornerTaken;totalOffside;goalAssist;shotOffTarget;totalSubOn;penGoalsConceded;penaltyFaced;penaltyConceded
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;5qh2kdatvb03o8oiqvkaaxje2;Leonardo Román Riquelme;Leo Román;Leo Román;1;Goalkeeper;Centre;1;21;1;4;1;1;90;4;1;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;dfjph36vcwfj5cevut4x3vf11;Johan Andrés Mojica Palacio;Johan Mojica;J. Mojica;22;Defender;Left;3;19;1;0;1;1;90;0;6;26;3;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;9t88fceutc2x108ga0qkzkafp;Martin Valjent;Martin Valjent;M. Valjent;24;Defender;Left/Centre;6;22;1;4;1;2;90;0;11;31;6;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;3v254jhofauiadp9vzb7rb21g;David López Guijarro;David López;David López;27;Defender;Centre/Right;5;11;1;0;1;1;90;0;14;16;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;22dchchxwrsty67ultrs61qz9;Pablo Carmine Maffeo Becerra;Pablo Maffeo;Pablo Maffeo;23;Defender;Right;2;16;1;0;1;2;90;0;2;18;2;9;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;bkvvapojagxvj17nzk3oy8ct1;Omar Mascarell González;Omar Mascarell;Omar Mascarell;5;Defensive Midfielder;Left/Centre;4;17;1;0;1;1;90;0;1;27;4;0;0;4;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;1km9nvqz03yoj9cxpv127id7u;Samuel de Almeida Costa;Samuel de Almeida Costa;Samú Costa;12;Defensive Midfielder;Centre/Right;8;25;1;0;1;0;89;0;3;33;8;0;2;5;2;0;0;0;1;1;1;2;1;0;0;0;0;0;0;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;4cuha2o4qsp1tb8yhqu3ntij8;Jan Virgili Tenas;Jan Virgili;Jan Virgili;17;Attacking Midfielder;Left;11;8;1;0;1;0;84;0;0;9;11;0;1;2;1;1;1;0;1;0;1;2;1;1;0;0;0;0;0;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;7xmaybxu4zd5k338bi3drkxcl;Sergi Darder Moll;Sergi Darder;Sergi Darder;10;Attacking Midfielder;Centre;10;16;1;0;1;0;83;0;1;24;10;0;0;1;1;0;1;0;0;1;1;1;1;0;4;0;0;0;0;0;0;0
73;2526;28z661pl07w40fr1in36f97o4;mll-sev;50x1m4u58lffhq6v6ga1hbxmy;2bzdn7cqqonejqmlq85w8z6qd;Takuma Asano;Takuma Asano;T. Asano;11;Attacking Midfielder;Right;7;7;1;0;1;0;55;0;2;9;7;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
