league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalClearance;totalPass;formationPlace;blockedScoringAtt;shotOffTarget;totalScoringAtt;totalTackle;fouls;lostCorners;wasFouled;wonTackle;totalThrows;wonCorners;totalSubOff;yellowCard;cornerTaken;ontargetScoringAtt;goals;totalSubOn;penGoalsConceded;penaltyFaced;saves;goalAssist;penaltyConceded;totalOffside
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;6wplm29z7qxxmujyc2ml19gix;Ionuț Andrei Radu;Ionut Radu;I. Radu;13;Goalkeeper;Centre;1;24;1;5;2;90;1;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;9i7lb16qty1t21bnc5h7skclx;Marcos Alonso Mendoza;Marcos Alonso;Marcos Alonso;20;Defender;Left/Centre;4;85;1;0;2;90;6;92;4;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;cksi669gcnskpytzh70a43it;Carl Anders Theodor Starfelt;Carl Starfelt;C. Starfelt;2;Defender;Centre;5;72;1;0;2;90;4;72;5;0;1;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;79n0dyjagmleor1fpwl25qql0;Javier Rodríguez Galiano;Javi Rodríguez;Javi Rodríguez;32;Defender;Centre/Right;6;58;1;0;2;90;3;64;6;1;1;2;0;1;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;5tc1y5n3h4ties7gbc3zd9j6y;Sergio Carreira Vilariño;Sergio Carreira;Sergio Carreira;5;Midfielder;Left;3;50;1;0;2;83;3;52;3;0;0;0;0;1;1;1;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;64ctdbd0w5ikj0fkcuu9jdbhm;Moriba Kourouma Kourouma;Moriba Kourouma Kourouma;I. Moriba;6;Midfielder;Left/Centre;8;21;1;0;2;90;1;23;8;0;2;2;1;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;a39ntr1ek9aavke18yucd0r2s;Miguel Román González;Miguel Román;Miguel Román;16;Midfielder;Centre/Right;7;63;1;0;2;90;4;66;7;0;1;1;6;1;0;0;4;1;0;0;0;3;0;0;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;75xbiozismh96vufhrhkng4mi;Javier Rueda García;Javi Rueda;Javi Rueda;17;Midfielder;Right;2;12;1;0;1;67;1;16;2;0;1;1;2;3;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;daid84a2zbh8rasleahdp8nis;Hugo Álvarez Antúnez;Hugo Álvarez;Hugo Álvarez;23;Striker;Left/Centre;11;14;1;0;1;67;0;17;11;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;d12m2oz1lomkc1qxmpht38lat;Borja Iglesias Quintás;Borja Iglesias;Borja Iglesias;7;Striker;Centre;9;20;1;0;1;75;0;26;9;2;1;4;0;0;0;2;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;9g4ojrys88awchyj6zgmd6oes;Fernando López González;Fer López;Fer López;8;Striker;Centre/Right;10;31;1;0;2;83;0;37;10;0;0;0;0;1;0;2;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;cs2yx3hiqjsb4i5ul2r5kmdat;Iago Aspas Juncal;Iago Aspas;Iago Aspas;10;Substitute;Attacker;0;8;0;0;0;7;0;10;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;530jf9kq6s7dqggz6how0lt04;Jones El Abdellaoui;Jones El Abdellaoui;J. El Abdellaoui;39;Substitute;Attacker;0;5;0;0;0;7;0;6;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;9mlj7fxon5zy1qmktvvcwjrl6;Ferran Jutglà Blanch;Ferran Jutglà;Ferran Jutglà;9;Substitute;Attacker;0;4;0;0;1;15;0;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;c3sl9ajm4q424r4u37iath3hl;Óscar Mingueza García;Óscar Mingueza;Óscar Mingueza;3;Substitute;Defender;0;26;0;0;1;23;0;33;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;6f27yvbqcngegwsg2ozxxdj4;e91yegwfliqhfy9yyk19otafo;Williot Theo Swedberg;Williot Swedberg;W. Swedberg;19;Substitute;Midfielder;0;11;0;0;1;23;0;15;0;1;0;2;0;0;0;1;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;amjegysk3et638l4od103c7o5;Sergio Herrera Pirón;Sergio Herrera;Sergio Herrera;1;Goalkeeper;Centre;1;12;1;11;1;90;3;18;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;40gxfsz7bgrkdudqewlpxzyzt;Javier Galán Gil;Javi Galán;Javi Galán;20;Defender;Left;3;51;1;0;1;90;0;55;3;0;0;0;1;0;1;3;0;6;1;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;5tiol5jc7h11oic9vvyu83fqi;Flavien Enzo Thiedort Boyomo;Enzo Boyomo;E. Boyomo;22;Defender;Left/Centre;6;22;1;0;0;31;1;24;6;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;bi8nrmyaxsgbhixw921fzvm5l;Alejandro Catena Marugán;Alejandro Catena;Alejandro Catena;24;Defender;Centre/Right;5;48;1;0;1;90;3;54;5;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;3ex56ma2xf94ex429ay35gusp;Valentin André Henri Rosier;Valentin Rosier;V. Rosier;19;Defender;Right;2;39;1;0;1;90;2;41;2;0;0;0;2;2;1;0;2;6;0;0;1;0;0;0;0;1;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;1wezo3pjdktc0iqaxze3uh2sq;Iker Muñoz Cameros;Iker Muñoz;Iker Muñoz;8;Defensive Midfielder;Left/Centre;4;34;1;0;1;90;3;37;4;0;0;0;1;3;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;9xbo6c8uq29ueuyinngjjiaj9;Rubén García Santos;Rubén García;Rubén García;14;Defensive Midfielder;Centre/Right;8;25;1;0;1;70;0;31;8;1;0;1;3;2;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;6km3r9cspyz7g6343o9mri63u;Raúl Moro Prescoli;Raúl Moro;Raúl Moro;18;Attacking Midfielder;Left;11;30;1;0;1;88;1;31;11;2;0;2;1;0;0;0;0;1;0;1;0;3;0;0;0;1;0;0;1;0;1
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;bpf2fcb73l96fwspo72shmkiy;Aimar Oroz Huarte;Aimar Oroz;Aimar Oroz;10;Attacking Midfielder;Centre;10;46;1;0;1;88;0;48;10;1;0;1;1;3;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;d358ce00vstqg3ilinhcc10r8;Víctor Muñoz Villanueva;Víctor Muñoz;Víctor Muñoz;21;Attacking Midfielder;Right;7;17;1;0;1;90;2;21;7;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;946z96r5q70ryslp3hlhafnx1;Ante Budimir;Ante Budimir;A. Budimir;17;Striker;Centre;9;4;1;0;1;70;4;5;9;1;0;2;0;0;0;3;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;bvs3rixmobb9gje6kfvhgb52i;Abel Bretones Cruz;Abel Bretones;Abel Bretones;23;Substitute;Defender;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;cy3c0cj6yy1mokaj0mlk4k9re;Raúl García de Haro;Raúl García;Raúl García;9;Substitute;Attacker;0;3;0;0;0;20;1;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;5t2ngljfiapcn98qlnbifg53p;Moisés Gómez Bordonado;Moi Gómez;Moi Gómez;16;Substitute;Attacker;0;4;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2526;2a3fi3txct0dmxzfexhl3to2c;cel-osa;2l0ldgiwsgb8d6y3z0sfgjzyj;5b9awsil5bgqrsc13xsoj35nu;Jorge Herrando Oroz;Jorge Herrando;Jorge Herrando;5;Substitute;Defender;0;26;0;0;1;59;2;29;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
