league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalPass;formationPlace;blockedScoringAtt;cornerTaken;fouls;lostCorners;shotOffTarget;totalClearance;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;wasFouled;totalSubOff;totalOffside;goalAssist;goals;ontargetScoringAtt;totalSubOn;yellowCard
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;w503zyr8ipyobglth281uklx;Alejandro Remiro Gargallo;Álex Remiro;Álex Remiro;1;Goalkeeper;Centre;1;24;1;2;1;90;4;40;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;d4tdx2ctadv6kc3tbq4as8bmx;Sergio Gómez Martín;Sergio Gómez;Sergio Gómez;17;Defender;Left;3;21;1;0;1;90;0;26;3;1;1;2;1;1;3;2;2;8;1;2;0;0;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;6gymgqxnu2zavuxgp6amm3zkl;Duje Ćaleta-Car;Duje Caleta-Car;D. Ćaleta-Car;16;Defender;Left/Centre;6;16;1;3;1;90;0;21;6;0;0;1;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;48gjuou5eashpj8wbwd18iju1;Igor Zubeldia Elorza;Igor Zubeldia;Igor Zubeldia;5;Defender;Centre/Right;5;31;1;0;1;90;0;37;5;0;0;4;1;0;3;0;2;0;0;1;1;0;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;5nluxvc0wi0u1d5zcy7be5rkl;Álvaro Odriozola Arzallus;Álvaro Odriozola;Álvaro Odriozola;20;Defender;Right;2;10;1;0;1;65;0;12;2;0;0;0;0;0;1;0;1;5;0;0;0;1;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;aka2yqxmqpioxc1qzkl62ejv8;Pablo Marín Tejada;Pablo Marín;Pablo Marín;15;Midfielder;Left;11;9;1;0;1;90;0;11;11;0;0;2;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;dsmcqfl0e1be4ag7czbnolo15;Carlos Soler Barragán;Carlos Soler;Carlos Soler;18;Midfielder;Left/Centre;8;15;1;0;1;82;0;20;8;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;706la37b8u3v3n6mqtbjs73mc;Jon Gorrotxategi Etxaniz;Jon Gorrotxategi;Jon Gorrotxategi;4;Midfielder;Centre/Right;4;21;1;0;1;90;0;28;4;0;0;1;1;1;2;1;2;0;0;0;0;0;0;1;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;7pmigpf4yfi6dfih8e1ogdwb9;Gonçalo Manuel Ganchinho Guedes;Gonçalo Manuel Ganchinho Guedes;Gonçalo Guedes;11;Midfielder;Right;7;11;1;0;1;65;0;16;7;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
73;2526;2agwdhyd4f3pb3wugya4art3o;rso-elc;63f5h8t5e9qm1fqmvfkb23ghh;b45ryclny991bm7qosieyg1cl;Mikel Oyarzabal Ugarte;Mikel Oyarzabal;Mikel Oyarzabal;10;Striker;Left/Centre;9;20;1;0;1;82;0;26;9;0;0;0;0;1;2;2;1;0;0;1;1;1;0;0;1;1;0;0
