league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;wasFouled;formationPlace;fouls;shotOffTarget;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;yellowCard;totalSubOff;blockedScoringAtt;goalAssist;goals;ontargetScoringAtt;cornerTaken;totalSubOn;totalOffside;ownGoals
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;6ddxujeb3873j5evwiz8n4wt0;Luíz Lúcio Reis Júnior;Luiz Lúcio Reis Júnior;Luíz Júnior;1;Goalkeeper;Centre;1;18;1;7;1;1;90;1;3;23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;4x854vpovag131b2kdutv4qju;Sergi Cardona Bermúdez;Sergi Cardona;Sergi Cardona;23;Defender;Left;3;21;1;0;1;1;90;0;2;22;2;3;3;1;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;bfdtduknquzhr2br7ahlgvvo4;Renato Palma Veiga;Renato Palma Veiga;Renato Veiga;12;Defender;Left/Centre;6;70;1;0;1;2;90;0;4;75;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;9rtfwu0z7qtk1kglenp2vm13o;Pau Navarro Badenes;Pau Navarro;Pau Navarro;6;Defender;Centre/Right;5;66;1;0;1;1;90;0;5;71;0;5;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;albt55j4oir1veynmos532psk;Álvaro Santiago Mouriño González;Santiago Mouriño;S. Mouriño;15;Defender;Right;2;48;1;0;0;1;73;0;9;56;0;2;3;0;0;1;6;0;1;0;1;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;1qkneebzln8byl9td2aswznmy;Alberto Moleiro González;Alberto Moleiro;Alberto Moleiro;20;Midfielder;Left;11;16;1;0;0;0;80;0;0;17;0;11;1;0;2;0;0;0;0;0;1;1;1;1;1;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;c29mprqv2ulztd22b6uckczx1;Daniel Parejo Muñoz;Dani Parejo;Dani Parejo;10;Midfielder;Left/Centre;8;33;1;0;0;0;65;0;2;36;0;8;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;ekm47qd8w1x0456lm1tmf5re1;Pape Alassane Gueye;Pape Gueye;P. Gueye;18;Midfielder;Centre/Right;4;22;1;0;1;1;90;0;2;28;3;4;4;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;acx78ftnm61hm01wpmme77hbe;Tajon Trevor Buchanan;Tajon Buchanan;T. Buchanan;17;Midfielder;Right;7;12;1;0;0;0;64;0;1;13;1;7;1;2;3;0;0;2;0;1;1;1;1;0;0;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;8bvn7mn5tjfj3l2bnpvm75gmi;Georges Mikautadze;Georges Mikautadze;G. Mikautadze;9;Striker;Left/Centre;9;7;1;0;0;0;73;0;0;9;2;9;1;1;2;0;0;0;0;0;1;0;1;1;1;0;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;3n9jnuteyjx6w6dxviuead0b9;Nicolas Pépé;Nicolas Pépé;N. Pépé;19;Striker;Centre/Right;10;32;1;0;1;0;90;0;4;41;2;10;0;0;2;1;1;1;1;0;0;1;0;1;1;3;0;0;0
73;2526;2au8colu3pbwws92o9q03i9zo;vil-esp;74mcjsm72vr3l9pw2i4qfjchj;b5rea5r4h8bclpenau2au142x;Santiago Comesaña Veiga;Santi Comesaña;Santi Comesaña;14;Substitute;Midfielder;0;13;0;0;1;0;25;0;1;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
