league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;penaltyFaced;penaltySave;saves;totalClearance;totalPass;formationPlace;fouls;goals;ontargetScoringAtt;totalScoringAtt;totalTackle;wonTackle;shotOffTarget;totalSubOff;totalThrows;yellowCard;penaltyConceded;wasFouled;cornerTaken;totalOffside;wonCorners;blockedScoringAtt;totalSubOn;goalAssist;penaltyWon
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;7jtc6yk5xu4cm1an97wrgozbp;Odysseas Vlachodimos;Odysseas Vlachodimos;O. Vlachodimos;1;Goalkeeper;Centre;1;24;1;9;1;2;90;1;1;5;2;34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;9nwkxgbl8t933pzu60ye4xxxw;Enrique Jesús Salas Valiente;Kike Salas;Kike Salas;4;Defender;Left/Centre;4;52;1;0;1;1;90;0;0;0;4;64;4;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;6vvwhgic29fekmmj2cg62ytp1;Nemanja Gudelj;Nemanja Gudelj;N. Gudelj;6;Defender;Centre;5;40;1;0;1;0;90;0;0;0;8;42;5;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;bvw1jgmhfyc896gfi6uj0skwl;César Azpilicueta Tanco;César Azpilicueta;César Azpilicueta;3;Defender;Centre/Right;6;22;1;0;1;2;45;0;0;0;0;27;6;2;0;0;0;2;2;0;1;1;1;0;0;0;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;8yak0o9o7z5j5ribga3ui2cb9;Gabriel Alonso Suazo Urbina;Gabriel Suazo;G. Suazo;12;Wing Back;Left;3;39;1;0;1;1;90;0;0;0;0;44;3;5;0;0;0;5;5;0;0;11;1;1;1;0;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;6jq376l673aizjxxhhos2j52i;José Ángel Carmona Navarro;José Ángel Carmona;José Ángel Carmona;2;Wing Back;Right;2;10;1;0;1;0;45;0;0;0;1;11;2;1;0;0;2;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;boa0e436nc3u53cumlao9ulex;Batista Adélino Mendy;Batista Mendy;B. Mendy;19;Midfielder;Left/Centre;11;20;1;0;1;0;63;0;0;0;0;23;11;0;0;0;0;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;42laa1qwbzlcruyrmlg5o1fu2;Gerard Fernández Castellano;Gerard Fernández Castellano;Peque Fernández;14;Midfielder;Centre;8;14;1;0;1;0;45;0;0;0;0;16;8;1;0;1;1;2;1;0;1;0;0;0;3;1;0;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;c8mp2wwwyvy930vfjnivg2hre;Lucien Jefferson Agoumé;Lucien Agoumé;L. Agoumé;18;Midfielder;Centre/Right;7;44;1;0;1;0;90;0;0;0;2;50;7;3;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0
73;2526;2b7m8c3nipodfdjjb4e6akqok;sev-gir;10eyb18v5puw4ez03ocaug09m;6mf11pv0pfvyl9vom1i1pi0yy;Akor Jerome Adams;Akor Adams;A. Adams;9;Striker;Left/Centre;9;10;1;0;1;0;74;0;0;0;2;14;9;1;0;0;0;0;0;0;1;0;0;0;1;0;2;1;0;0;0;0
