league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalPass;formationPlace;fouls;lostCorners;totalClearance;totalOffside;totalTackle;totalThrows;wasFouled;wonTackle;yellowCard;shotOffTarget;totalScoringAtt;totalSubOff;blockedScoringAtt;wonCorners;cornerTaken;totalSubOn;cleanSheet;goals;ontargetScoringAtt;goalAssist
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;5dfvefxvwj8kixbajluw25mtx;Stole Dimitrievski;Stole Dimitrievski;S. Dimitrievski;1;Goalkeeper;Centre;1;19;1;3;2;90;4;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;5b1q9bpe23j98eoy4fwi7ld5h;José Luis Gayà Peña;José Gayà;José Gayà;14;Defender;Left;3;24;1;0;2;90;0;30;3;1;3;2;1;4;7;1;2;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;3n66mcws9belxbv3pu5uwhfu2;José Manuel Arias Copete;José Manuel Arias Copete;Copete;3;Defender;Left/Centre;6;31;1;3;2;90;0;36;6;1;1;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;5uig03vbbv71f0q31cp3vfbv9;Eray Ervin Cömert;Eray Cömert;E. Cömert;24;Defender;Centre/Right;5;33;1;0;2;90;0;40;5;0;1;8;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;e8s9ssopq5nmp51zymvqp8jbp;Unai Núñez Gestoso;Unai Núñez;Unai Núñez;4;Defender;Right;2;20;1;0;1;72;0;26;2;0;1;6;0;3;9;1;2;0;1;1;1;0;0;0;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;4rktv6j9sioe0gmu7jt77fsh5;Arnaut Danjuma Adam Groeneveld;Arnaut Danjuma;A. Danjuma;7;Midfielder;Left;11;14;1;0;2;90;0;19;11;0;1;1;0;1;0;0;1;0;0;1;0;1;3;0;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;94md3wf5xab5mnj5niiwq33zd;Filip Ugrinic;Filip Ugrinic;F. Ugrinic;23;Midfielder;Left/Centre;8;29;1;0;1;81;0;34;8;0;0;1;0;1;0;2;1;0;0;0;1;0;0;1;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;3702btkgwxf6tq92ouekd7ro5;José Luis García Vayá;José Luis García Vayá;Pepelu;18;Midfielder;Centre/Right;4;28;1;0;1;72;0;35;4;0;0;4;0;1;0;2;0;0;1;1;1;0;0;0;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;6kc8ieszwg6u00e3sa554y7yt;Luis Jesús Rioja González;Luis Rioja;Luis Rioja;11;Midfielder;Right;7;19;1;0;1;81;0;24;7;0;0;2;0;1;2;0;1;0;0;1;1;1;1;4;0;0;0;0;0
73;2526;2bl3hdm49yj3nhnvngy8p6qs4;val-rma;ba5e91hjacvma2sjvixn00pjo;7yieh5r0uzk6d6x9o060c2bfu;Hugo Duro Perales;Hugo Duro;Hugo Duro;9;Striker;Left/Centre;9;9;1;0;2;90;0;10;9;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
