league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;penGoalsConceded;penaltyFaced;saves;totalPass;formationPlace;fouls;totalClearance;totalOffside;totalSubOff;totalTackle;totalThrows;wasFouled;wonTackle;yellowCard;ontargetScoringAtt;penaltyConceded;totalScoringAtt;wonCorners;shotOffTarget;cornerTaken;totalSubOn;cleanSheet;blockedScoringAtt;goals;goalAssist;penaltyWon
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;c7i0lduij4vsnluxisdnaxsk5;Antonio Sivera Salvá;Antonio Sivera;Antonio Sivera;1;Goalkeeper;Centre;1;18;1;10;2;1;90;1;1;3;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;7wzwqegxhekjwq361dd2nidp1;Jonathan Castro Otto;Jonathan Castro Otto;Jonny;17;Defender;Left;3;26;1;0;2;0;77;1;0;0;32;3;2;1;1;1;3;7;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;7bs0ph4yksf6lvkg91u9nqzqi;Jon Pacheco Dozagarat;Jon Pacheco;Jon Pacheco;5;Defender;Left/Centre;6;41;1;0;2;0;90;1;0;0;45;6;3;4;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;658ed5dqfrdd5fe7ayo9eo1rd;Facundo Tomás Garcés;Facundo Garcés;F. Garcés;2;Defender;Centre/Right;5;36;1;0;2;0;90;1;0;0;48;5;3;11;0;0;3;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;9tw6rz3lfmn06fzsabtx9ei95;Facundo Nahuel Tenaglia;Nahuel Tenaglia;N. Tenaglia;14;Defender;Right;2;41;1;0;2;1;90;1;0;0;51;2;1;2;1;0;0;13;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;eiqt71z69beq7akuhot0foset;Carles Aleña Castillo;Carles Aleñá;Carles Aleñá;10;Midfielder;Left;11;24;1;0;2;0;77;1;0;0;28;11;1;0;0;1;1;1;1;1;0;0;0;0;1;0;3;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;4zve4017u2i3zvxlnjruv25t5;Antonio Blanco Conde;Antonio Blanco;Antonio Blanco;8;Midfielder;Left/Centre;8;41;1;0;2;0;90;1;0;0;57;8;2;1;0;0;3;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;eqw6fu3no9qxejk17tqgeey5m;Pablo Ibáñez Lumbreras;Pablo Ibáñez;Pablo Ibáñez;19;Midfielder;Centre/Right;4;11;1;0;1;0;59;0;0;0;17;4;0;0;0;1;2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;evyeubmelkx90xby5p9i38woa;Calebe Gonçalves Ferreira da Silva;Calebe Gonçalves Ferreira da Silva;Calebe;20;Midfielder;Right;7;18;1;0;1;0;58;0;0;0;21;7;2;0;0;1;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;9ivrglgy0tibv881e1a93psr9;Lucas Ariel Boyé;Lucas Boyé;L. Boyé;15;Striker;Left/Centre;9;15;1;0;2;0;90;1;0;0;21;9;3;0;0;0;0;0;8;0;0;0;0;4;0;4;0;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;1nd8l0ofw9x779c0ufwbbo4ph;Antonio Martínez López;Toni Martínez;Toni Martínez;11;Striker;Centre/Right;10;10;1;0;1;0;59;0;0;0;14;10;0;1;0;1;0;0;1;0;0;1;0;2;0;1;0;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;2ww626a9v31b072prdx0xf1g4;Youssef Enríquez Lekhedim;Youssef Enríquez;Y. Enríquez;3;Substitute;Defender;0;3;0;0;0;0;13;0;0;0;5;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;9nqvf6si8k5u91rjslfvgc650;Aitor Mañas Buenadicha;Aitor Mañas;Aitor Mañas;34;Substitute;Attacker;0;2;0;0;1;0;31;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;350ehsdbvwysbfxgeian91rf8;Ángel Pérez Hidalgo;Ángel Pérez;Ángel Pérez;7;Substitute;Defender;0;7;0;0;0;0;13;0;0;0;9;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;1ttc96b92xjfx1ta3vdwya0dm;Abderrahmane Rebbach;Abde Rebbach;A. Rebbach;21;Substitute;Attacker;0;5;0;0;1;0;32;1;0;0;9;0;0;1;0;0;0;1;0;0;0;0;0;2;2;2;3;1;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;4dtdjgnpdq9uw4sdutti0vaar;28psc296gj3umo59qqha8jil1;Denis Suárez Fernández;Denis Suárez;Denis Suárez;4;Substitute;Midfielder;0;17;0;0;1;1;31;1;0;0;20;0;2;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;vota9gwygxp3wc998tl7ldxx;David Soria Solís;David Soria;David Soria;13;Goalkeeper;Centre;1;18;1;10;0;2;90;0;0;5;32;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;buglwgk2hthoyqt1ocghya92i;Zaid Abner Romero;Zaid Romero;Z. Romero;24;Defender;Left/Centre;4;20;1;0;0;1;90;0;0;0;35;4;1;7;0;0;6;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;9see13i1f0n1ju4uhs8sijutx;Djené Dakonam Ortega;Djené Dakonam;D. Dakonam;2;Defender;Centre;5;23;1;0;0;1;90;0;0;0;30;5;2;4;0;0;4;0;4;2;1;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;cue88fm1v1ysfuwhql68czydx;Domingos de Sousa Coutinho Meneses Duarte;Domingos de Sousa Coutinho Meneses Duarte;Domingos Duarte;22;Defender;Centre/Right;6;15;1;0;0;1;90;0;0;0;23;6;1;2;0;0;4;0;2;2;1;0;0;1;0;1;0;0;1;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;5lzbyj5i0cotpry4gneap8c89;Juan Antonio Iglesias Sánchez;Juan Iglesias;Juan Iglesias;21;Wing Back;Left;3;14;1;0;0;0;90;0;0;0;21;3;4;2;0;0;2;9;1;1;0;0;0;1;2;0;0;0;1;1;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;6wpnjdlg2p8f19y3gjpz1su6t;Francisco Femenía Far;Kiko Femenía;Kiko Femenía;17;Wing Back;Right;2;18;1;0;0;0;89;0;0;0;23;2;1;2;0;1;2;10;0;1;0;1;0;2;0;1;0;0;1;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;5gorfhj7uwpomrhlso1krxrkl;Mauro Wilney Arambarri Rosa;Mauro Arambarri;M. Arambarri;8;Midfielder;Left/Centre;11;12;1;0;0;0;90;0;0;0;19;11;1;0;0;0;4;0;4;1;0;1;0;3;0;0;0;0;1;2;1;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;ch1lxxbn01at4jmkafy4uevh1;Luis Milla Manzanares;Luis Milla;Luis Milla;5;Midfielder;Centre;8;29;1;0;0;0;90;0;0;0;42;8;2;2;0;0;0;0;2;0;0;0;0;0;0;0;3;0;1;0;0;1;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;1riebanoqbl7brs1bm3lkgxlg;Mario Martín Rielves;Mario Martín;Mario Martín;6;Midfielder;Centre/Right;7;4;1;0;0;0;34;0;0;0;5;7;1;0;0;1;3;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;c68syh6axbkqmcmvrpumqb8mi;Martín Adrián Satriano Costa;Martín Satriano;M. Satriano;10;Striker;Left/Centre;9;16;1;0;0;1;89;0;0;0;23;9;0;3;0;1;2;1;1;1;0;1;0;4;1;1;0;0;1;2;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;cei4ujo2jqzc9f0tmi8xgll62;Luis Ismael Vázquez;Luis Vázquez;L. Vázquez;19;Striker;Centre/Right;10;4;1;0;0;0;67;0;0;0;7;10;0;0;2;1;0;0;4;0;0;1;0;2;0;1;0;0;0;0;1;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;br4wylyaeqyxoss5of7r51boq;Abdelkabir Abqar;Abdel Abqar;A. Abqar;3;Substitute;Defender;0;3;0;0;0;0;56;0;0;0;7;0;6;4;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;alz5rwbxued4hgkts0panocus;Adrián Liso Lahoz;Adrián Liso;Adrián Liso;23;Substitute;Attacker;0;2;0;0;0;0;23;0;0;0;3;0;1;0;0;0;0;0;2;0;0;1;0;2;0;0;0;1;0;1;0;0;1
73;2526;2cbrliiyprq7a205rp3w1qz9w;ala-get;1n1j0wsl763lq7ee1k0c11c02;6lz4bncnjfcm7wrtuiovguv2t;Allan-Roméo Nyom;Allan Nyom;A. Nyom;12;Substitute;Defender;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
