league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalPass;formationPlace;fouls;totalClearance;totalSubOff;totalTackle;totalThrows;wonTackle;blockedScoringAtt;lostCorners;totalScoringAtt;yellowCard;shotOffTarget;cornerTaken;wasFouled;goalAssist;ontargetScoringAtt;wonCorners;goals;totalOffside;totalSubOn;redCard
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;4vlurpsi44g09g159t61u83bp;Unai Simón Mendibil;Unai Simón;Unai Simón;1;Goalkeeper;Centre;1;17;1;3;2;90;1;28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;8hm6d6395johhjsoe8jz6dcyd;Yuri Berchiche Izeta;Yuri Berchiche;Yuri;17;Defender;Left;3;16;1;0;0;39;0;19;3;1;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;7fmpgkx58o9pivo2bbnxxkt05;Aymeric Jean Louis Gérard Alphonse Laporte;Aymeric Laporte;Aymeric Laporte;14;Defender;Left/Centre;6;59;1;1;2;90;0;71;6;0;5;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;5kd57453a90zahgdxwkghr816;Aitor Paredes Casamichana;Aitor Paredes;Aitor Paredes;4;Defender;Centre/Right;5;60;1;0;2;90;0;64;5;2;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;b91n9sdabth8oocdawayybdud;Andoni Gorosabel Espinosa;Andoni Gorosabel;Andoni Gorosabel;2;Defender;Right;2;33;1;0;2;90;0;38;2;2;2;0;0;10;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;ck7lu09geq8mi6vkf2llyi5ii;Mikel Jauregizar Alboniga;Mikel Jauregizar;Mikel Jauregizar;18;Defensive Midfielder;Left/Centre;4;19;1;0;0;63;0;23;4;1;0;1;3;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;7ubtan6a51o79w469zawrqqqd;Íñigo Ruíz de Galarreta Etxeberria;Íñigo Ruíz de Galarreta;Íñigo Ruíz de Galarreta;16;Defensive Midfielder;Centre/Right;8;54;1;0;0;76;0;60;8;2;0;1;2;1;2;0;0;1;0;1;0;1;1;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;66jotyvbhtz5cjvhbby6luelm;Nicholas Williams Arthuer;Nico Williams;Nico Williams;10;Attacking Midfielder;Left;11;32;1;0;0;76;0;34;11;2;0;1;0;0;0;1;0;2;0;0;0;1;0;1;1;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;3tzvbdszdrj1tayik9igbve8l;Gorka Guruzeta Rodríguez;Gorka Guruzeta;Gorka Guruzeta;11;Attacking Midfielder;Centre;10;15;1;0;0;62;0;16;10;1;0;1;0;0;0;0;0;4;0;1;0;0;0;3;1;2;2;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;26wj6flfqi59vgz6vwjgur2ay;Nicolás Serrano Galdeano;Nico Serrano;Nico Serrano;22;Attacking Midfielder;Right;7;22;1;0;2;89;0;25;7;1;0;1;0;1;0;0;0;5;0;3;1;0;0;2;0;1;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;ddvvwqxpsqqboupi3gx1ijhed;Iñaki Williams Arthuer;Iñaki Williams;I. Williams;9;Striker;Centre;9;26;1;0;2;90;0;32;9;1;1;0;1;0;1;2;0;5;0;3;0;2;2;0;0;0;1;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;5ayo0fp6wod7cqg71e38zdz4k;Adama Boiro Boiro;Adama Boiro;Adama Boiro;19;Substitute;Defender;0;38;0;0;2;51;0;40;0;2;0;0;2;2;1;0;1;0;0;0;0;3;0;0;0;0;0;1;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;b2rqgjegzeyq6wy6qu63zz2fo;Unai Gómez Etxebarria;Unai Gómez;Unai Gómez;20;Substitute;Midfielder;0;3;0;0;2;14;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;v7isqpxiursyjhj5rmhyhjv9;Íñigo Lekue Martínez;Íñigo Lekue;Íñigo Lekue;15;Substitute;Defender;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;7aoe0u87gxgv9tvgrotcfue7e;Roberto Navarro Muñoz;Robert Navarro;Robert Navarro;23;Substitute;Midfielder;0;14;0;0;2;28;0;15;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;1;0;1;0;1;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;1xsrdgt40nb6p9qvt6mf272fo;Alejandro Rego Mora;Alejandro Rego;Alejandro Rego;30;Substitute;Midfielder;0;24;0;0;2;27;0;26;0;2;1;0;1;0;0;2;0;2;1;0;0;0;0;0;2;0;0;1;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;3czravw89omgc9o4s0w3l1bg5;esru3us4k7xaj6hjycz78pdsk;Selton Sued Sánchez Camilo;Selton Sánchez;Selton Sánchez;44;Substitute;Midfielder;0;5;0;0;2;14;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;7udphhcokm6vralyz5gkovxsl;Mathew David Ryan;Mathew Ryan;M. Ryan;13;Goalkeeper;Centre;1;45;1;13;4;90;3;52;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;d34tmogp5h4rwuo3pcxtwp0fe;Manuel Sánchez de la Peña;Manu Sánchez;Manu Sánchez;23;Defender;Left;3;32;1;0;4;90;0;36;3;0;2;0;2;6;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;2y25g5wgiygxbp97r22o1a1as;Alan Agustín Matturro Romero;Alan Matturro;A. Matturro;3;Defender;Left/Centre;6;8;1;0;0;17;0;12;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;49230s4p4daocrftccqqbeqjt;Adrián de la Fuente Barquilla;Adrián de la Fuente;Adrián de la Fuente;4;Defender;Centre/Right;5;37;1;0;2;65;0;47;5;1;2;1;2;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;5oge5fhmna0oduqvjisoa1djp;Jeremy Isaiah Richard Toljan;Jeremy Toljan;J. Toljan;22;Defender;Right;2;28;1;0;4;90;0;31;2;1;4;0;2;4;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;e98i1kwb733b830mk2wqdlene;Pablo Martínez Andrés;Pablo Martínez;Pablo Martínez;10;Defensive Midfielder;Left/Centre;4;18;1;0;2;65;0;32;4;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;dlxi9jrz36ge900qdsd9c0mlm;Ugo Raghouber;Ugo Raghouber;U. Raghouber;14;Defensive Midfielder;Centre/Right;8;41;1;0;2;81;0;45;8;0;4;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;8kj8kbwbfiqloxiilj0i00ep6;Iván Romero de Ávila Araque;Iván Romero;Iván Romero;9;Attacking Midfielder;Left;11;16;1;0;2;65;0;21;11;0;0;1;0;1;0;0;0;2;0;1;0;2;0;1;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;6gtfe9aysdrcht4v2rluu0ley;Carlos Álvarez Rivera;Carlos Álvarez;Carlos Álvarez;24;Attacking Midfielder;Centre;10;9;1;0;2;45;0;17;10;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;20s72mrpp0gl3hd333zaows2c;Kareem Tunde Ruiz;Kareem Tunde;Kareem Tunde;26;Attacking Midfielder;Right;7;20;1;0;4;90;0;30;7;1;1;0;2;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;bl3o0pt262qax5cwv4jeu82s4;Karl Edouard Blaise Etta Eyong;Karl Etta Eyong;K. Etta Eyong;21;Striker;Centre;9;12;1;0;4;90;0;17;9;3;1;0;1;0;0;1;0;1;0;0;0;2;0;0;2;0;0;0;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;kdf39fz73dd5n2nzlsuwbq3t;Kervin Fabián Arriaga Villanueva;Kervin Arriaga;K. Arriaga;16;Substitute;Midfielder;0;24;0;0;1;44;0;29;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;1;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;6w641bd5laym8cnxg6mecsmqc;Francisco Cortés Gracia;Paco Cortés;Paco Cortés;27;Substitute;Attacker;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;4ig4kv8c1xew1jlsy1k2iga21;Unai Elgezabal Udondo;Unai Elgezabal;Unai Elgezabal;5;Substitute;Defender;0;14;0;0;2;25;0;16;0;0;3;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;cbh5v5yi380uvbt5z2xbxemfo;Carlos Espí Escrihuela;Carlos Espí;Carlos Espí;19;Substitute;Attacker;0;2;0;0;2;25;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;38igxi5sn8v00xtciwhqb44fe;Iker Losada Aragunde;Iker Losada;Iker Losada;18;Substitute;Attacker;0;1;0;0;2;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2cp6ugeg62t6fg02bkkkukums;ath-lev;4grc9qgcvusllap8h5j6gc5h5;6lnttemmflhxp700fr069ty0a;Jon Ander Olasagasti Imizcoz;Jon Olasagasti;Jon Olasagasti;8;Substitute;Midfielder;0;7;0;0;2;25;0;11;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0
