league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalPass;totalThrows;formationPlace;fouls;totalClearance;totalSubOff;totalTackle;yellowCard;totalOffside;wonTackle;ontargetScoringAtt;totalScoringAtt;blockedScoringAtt;wonCorners;cornerTaken;shotOffTarget;wasFouled;totalSubOn;cleanSheet;goalAssist;goals
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;2yt9oajv9dkbju8tgy1g2nmqd;Jan Oblak;Jan Oblak;J. Oblak;13;Goalkeeper;Centre;1;14;1;5;1;2;90;3;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;7mvqysbmyf6uj3jny3qpqw2ga;Matteo Ruggeri;Matteo Ruggeri;M. Ruggeri;3;Defender;Left;3;32;1;0;1;0;45;0;35;0;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;1vyh50nfaq2kq5pmivpkc1psl;Dávid Hancko;Dávid Hancko;D. Hancko;17;Defender;Left/Centre;6;78;1;0;1;0;90;0;85;2;6;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;548jzfl9higq44w9bgqvcjh05;José María Giménez de Vargas;José María Giménez;J. Giménez;2;Defender;Centre/Right;5;93;1;0;1;1;90;0;101;1;5;2;4;0;1;1;0;0;2;2;0;0;0;0;0;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;amxunh6enoc99r07cp7qt621h;Marcos Llorente Moreno;Marcos Llorente;Marcos Llorente;14;Defender;Right;2;54;1;0;1;0;90;0;61;5;2;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;4ea0sjczqa5ah1w720zlakkfe;Thiago Ezequiel Almada;Thiago Almada;T. Almada;11;Midfielder;Left;11;26;1;0;1;0;45;0;29;0;11;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;b9kfek16otvdorssn0wzkb36d;Jorge Resurrección Merodio;Jorge Resurrección Merodio;Koke;6;Midfielder;Left/Centre;8;121;1;0;1;0;90;0;132;0;8;2;3;0;1;0;0;1;0;0;0;0;4;0;0;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;1filh68q6hdk921qkdo7rsvmc;Rodrigo Mendoza Martinez Moya;Rodrigo Mendoza;Rodrigo Mendoza;4;Midfielder;Centre/Right;4;38;1;0;1;0;55;0;43;0;4;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;5es43b4a7fv0lkmp63dj439ey;Giuliano Simeone Baldini;Giuliano Simeone;G. Simeone;20;Midfielder;Right;7;27;1;0;1;0;90;0;37;1;7;1;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;8d04q3yp2kouwog0lj0s7ew2x;Ademola Olajade Alade Aylola Lookman;Ademola Lookman;A. Lookman;22;Striker;Left/Centre;9;20;1;0;1;0;70;0;22;1;9;1;0;1;0;1;2;0;0;2;0;1;0;2;0;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;9ikkuxd19avliz1khcrm82gyy;Julián Alvarez;Julián Alvarez;J. Alvarez;19;Striker;Centre/Right;10;10;1;0;1;0;45;0;13;0;10;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;5zoz3mjooujpv0wdcphyrztd6;Alejandro Baena Rodríguez;Álex Baena;Álex Baena;10;Substitute;Midfielder;0;19;0;0;0;0;45;0;24;1;0;3;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;716n1970vi9rvw5b4w9qmjfth;Antoine Griezmann;Antoine Griezmann;A. Griezmann;7;Substitute;Attacker;0;10;0;0;0;0;35;0;13;2;0;0;0;0;0;0;2;0;0;1;0;0;2;1;0;1;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;6xulax65kp4aid70nk7g5jr2t;Robin Aimé Robert Le Normand Mainfray;Robin Le Normand;Robin Le Normand;24;Substitute;Defender;0;49;0;0;0;0;45;0;53;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;6akzpi6rd6qq0ke07ojnhpoet;Alexander Sørloth;Alexander Sørloth;A. Sørloth;9;Substitute;Attacker;0;2;0;0;0;0;45;0;2;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;1;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;4ku8o6uf87yd8iecdalipo6wd;q00t04zyy8idanvhpee3ubu2;Obed Gómez Vargas;Obed Vargas;O. Vargas;21;Substitute;Midfielder;0;12;0;0;0;0;20;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;routhh0ialijcg3egagouig9;Álvaro Valles Rosa;Álvaro Valles;Álvaro Valles;1;Goalkeeper;Centre;1;23;1;4;0;2;90;5;43;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;9ak3zczupeken1itsmkherbh1;Ricardo Iván Rodríguez Araya;Ricardo Rodríguez;R. Rodríguez;12;Defender;Left;3;21;1;0;0;0;90;0;23;6;3;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2d48hhckok4yi8bluy55trf2s;atm-bet;ah8dala7suqqkj04n2l8xz4zd;2r4450bqkmpcf1ogmcfhvczmy;Natan Bernardo de Souza;Natan Bernardo de Souza;Natan;4;Defender;Left/Centre;6;26;1;5;0;1;90;0;27;0;6;0;5;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0
