league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;lostCorners;minsPlayed;saves;totalPass;formationPlace;totalClearance;totalThrows;wonCorners;totalTackle;wonTackle;fouls;ontargetScoringAtt;shotOffTarget;totalScoringAtt;wasFouled;blockedScoringAtt;goalAssist;totalSubOff;cornerTaken;goals;totalSubOn;goalsConceded;totalOffside
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;5f8kjgsaabn2li5r7bvpebbsa;Joan García Pons;Joan García;Joan García;13;Goalkeeper;Centre;1;21;1;1;4;1;90;4;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;bzgh5psb1janz9y3btpswngbu;Alejandro Balde Martínez;Alejandro Balde;Alejandro Balde;3;Defender;Left;3;84;1;1;0;0;90;0;89;3;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;4ggz7e009bq3yltc9o6mifbah;Eric García Martret;Eric García;Eric García;24;Defender;Left/Centre;6;98;1;1;0;1;90;0;104;6;5;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;bkwxem45cf48k14euwqe7rs44;Pau Cubarsí Paredes;Pau Cubarsí;Pau Cubarsí;5;Defender;Centre/Right;5;100;1;1;0;0;90;0;108;5;4;0;1;1;0;3;1;1;2;1;0;0;0;0;0;0;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;cscn06kwqfzo09h0dc5ybt1pl;Jules Olivier Koundé;Jules Koundé;J. Koundé;23;Defender;Right;2;76;1;1;0;0;90;0;84;2;1;9;1;1;1;0;0;1;2;0;1;0;0;0;0;0;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;4gq1u1mqg0qzekh1u5djleeax;Daniel Olmo Carvajal;Dani Olmo;Dani Olmo;20;Midfielder;Left/Centre;8;41;0;1;0;0;67;0;43;8;1;0;1;2;2;1;1;0;3;0;2;2;1;0;0;0;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;3hht0os2uzu234yq550i3fbe2;Marc Casadó Torras;Marc Casadó;Marc Casadó;17;Midfielder;Centre;4;90;1;1;0;0;90;0;97;4;0;0;2;2;2;1;0;0;1;3;1;0;0;0;0;0;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;cjll1xrw3xulnl23c9tlf6rys;Fermín López Marín;Fermín López;Fermín López;16;Midfielder;Centre/Right;7;51;0;1;0;1;84;0;55;7;0;0;1;4;4;0;1;0;1;1;0;1;1;0;0;0;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;604osk9a3lxpfpkavuziqmn6x;Marcus Rashford;Marcus Rashford;M. Rashford;14;Striker;Left/Centre;11;37;0;1;0;0;67;0;46;11;1;0;5;0;0;0;1;2;8;0;5;0;1;7;0;0;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;afxjicw89683nlpms9yy5x51x;Robert Lewandowski;Robert Lewandowski;R. Lewandowski;9;Striker;Centre;9;13;0;1;0;0;78;0;16;9;2;0;0;0;0;1;1;0;2;1;1;0;1;0;1;0;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;abr79wsl0folgkyvl821ggs2c;Lamine Yamal Nasraoui Ebana;Lamine Yamal Nasraoui Ebana;Lamine Yamal;10;Striker;Centre/Right;10;52;0;1;0;0;78;0;62;10;0;1;0;1;1;0;1;2;4;1;1;0;1;5;1;0;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;66psa7xh8odnlp39ue5vzpes4;Roony Bardghji;Roony Bardghji;R. Bardghji;19;Substitute;Attacker;0;12;0;0;0;0;12;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;4et6r42e7q2ojgaumwnua2kgk;Marc Bernal Casas;Marc Bernal;Marc Bernal;22;Substitute;Midfielder;0;9;0;0;0;0;23;0;12;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;29pq64smaxdwlraopnxoleqxh;João Pedro Cavaco Cancelo;João Pedro Cavaco Cancelo;João Cancelo;2;Substitute;Defender;0;12;0;0;0;0;12;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;atdg5275m47swrm5nrip8m9lg;Tomás Noël Marqués Morera;Tomás Marqués;Tomás Marqués;43;Substitute;Midfielder;0;6;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;agh9ifb2mw3ivjusgedj7c3fe;2szgrzcosfeifh664tgt3mfvt;Ferran Torres García;Ferran Torres;Ferran Torres;7;Substitute;Attacker;0;3;0;0;0;0;23;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
73;2526;2dhi57c0oalm6wvrjttsm44k4;bar-mll;50x1m4u58lffhq6v6ga1hbxmy;5qh2kdatvb03o8oiqvkaaxje2;Leonardo Román Riquelme;Leo Román;Leo Román;1;Goalkeeper;Centre;1;10;0;1;3;2;90;4;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
