league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;penGoalsConceded;penaltyFaced;saves;totalClearance;totalPass;wasFouled;formationPlace;fouls;lostCorners;shotOffTarget;totalScoringAtt;totalTackle;totalThrows;wonTackle;penaltyConceded;totalSubOff;cornerTaken;yellowCard;goals;ontargetScoringAtt;totalOffside;wonCorners;goalAssist;totalSubOn;blockedScoringAtt
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;1j75xt37w8q04ixbyjwhtfh05;Aarón Escandell Banacloche;Aarón Escandell;Aarón Escandell;13;Goalkeeper;Centre;1;28;1;3;2;90;1;1;2;2;47;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;6p8xl2smgf1ta7txpcj7cabu2;Javier López Carballo;Javi López;Javi López;25;Defender;Left;3;26;1;0;2;90;1;0;0;4;30;2;3;2;1;1;1;2;10;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;9iqmeo87l56hr3gymmxgkxysq;David Mota Veiga Teixeira do Carmo;David Mota Veiga Teixeira do Carmo;David Carmo;16;Defender;Left/Centre;6;58;1;1;2;90;1;0;0;7;75;0;6;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;9jw0h4escxh3eqz8oh860r3yt;Eric Bertrand Bailly;Eric Bailly;E. Bailly;2;Defender;Centre/Right;5;53;1;1;2;90;1;0;0;11;64;2;5;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;akjusy9dt1qd2fjhttviek6ol;Ignacio Vidal Miralles;Nacho Vidal;Nacho Vidal;22;Defender;Right;2;25;1;0;2;81;1;0;0;3;34;3;2;1;0;0;0;3;9;1;0;1;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;1u9sn1cu0pq16mina2q6d6dwp;Santiago Colombatto;Santiago Colombatto;S. Colombatto;11;Defensive Midfielder;Left/Centre;4;28;1;0;2;81;1;0;0;1;32;2;4;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;7qoshvypodx2yovs65d29kgoa;Kwasi Sibo;Kwasi Sibo;K. Sibo;6;Defensive Midfielder;Centre/Right;8;16;1;0;1;65;0;0;0;2;23;0;8;1;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;60b3ef904dyvuh61cgkajcley;Ilyas Chaira Oihi;Ilyas Chaira;I. Chaira;7;Attacking Midfielder;Left;11;15;1;0;2;90;1;0;0;0;22;2;11;0;0;1;2;4;0;3;0;0;0;0;1;1;1;1;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;a4r44oe89pwoinogij6t0go6i;Alberto Reina Campos;Alberto Reina;Alberto Reina;5;Attacking Midfielder;Centre;10;16;1;0;1;65;0;0;0;0;21;3;10;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;7kyxr0ntcthtbohvozw93v52i;Haissem Hassan;Haissem Hassan;H. Hassan;10;Attacking Midfielder;Right;7;10;1;0;0;57;0;0;0;0;14;0;7;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;6nr7ekkfr3n9tr44z6fowj5gq;Federico Sebastián Viñas Barboza;Federico Viñas;F. Viñas;9;Striker;Centre;9;10;1;0;2;90;1;0;0;1;16;1;9;0;1;1;1;3;0;1;0;0;0;0;0;0;3;0;1;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;8n42fc5g0qewvh9pdh4ef1e51;Lucas Ahijado Quintana;Lucas Ahijado;Lucas Ahijado;24;Substitute;Defender;0;6;0;0;0;9;0;0;0;1;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;bw58qgyapbrlir4h629cr5uj9;Santiago Cazorla González;Santi Cazorla;Santi Cazorla;8;Substitute;Midfielder;0;14;0;0;1;25;1;0;0;0;18;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;9xyhn7xadm9zl908lonnj0x04;Thiago Cruz Fernández;Thiago Fernández;T. Fernández;15;Substitute;Attacker;0;7;0;0;2;33;1;0;0;0;8;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;kswz5xg9b8d2zzslpfxpn7fu;Nicolás Fonseca;Nicolás Fonseca;N. Fonseca;23;Substitute;Midfielder;0;23;0;0;1;25;1;0;0;0;31;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;1;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;clo928vcczjp0mczavs5o7p5k;cw9754xmqdnskeswigkl7u5ii;Álex Forés Mendoza;Álex Forés;Álex Forés;19;Substitute;Attacker;0;1;0;0;0;9;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;4vlurpsi44g09g159t61u83bp;Unai Simón Mendibil;Unai Simón;Unai Simón;1;Goalkeeper;Centre;1;12;1;9;1;90;0;0;0;0;32;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;8hm6d6395johhjsoe8jz6dcyd;Yuri Berchiche Izeta;Yuri Berchiche;Yuri;17;Defender;Left;3;39;1;0;1;90;0;0;0;4;49;1;3;1;1;0;0;3;7;2;0;0;0;0;0;0;0;0;1;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;7fmpgkx58o9pivo2bbnxxkt05;Aymeric Jean Louis Gérard Alphonse Laporte;Aymeric Laporte;Aymeric Laporte;14;Defender;Left/Centre;6;40;1;0;1;90;0;0;0;7;45;0;6;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2dut8dksy5wicxc8bk1fy582c;ovi-ath;3czravw89omgc9o4s0w3l1bg5;5kd57453a90zahgdxwkghr816;Aitor Paredes Casamichana;Aitor Paredes;Aitor Paredes;4;Defender;Centre/Right;5;27;1;0;1;90;0;0;0;4;32;0;5;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
